pmid	doi	title	Hugo_Symbol
36001451	10.1097/PAS.0000000000001956	Targeted Mutational Profiling Reveals Clonal Relationships in Metachronous Occurrence of Classic Hodgkin and Mediastinal Large B-Cell Lymphomas.	ARID1A
35879731	10.1186/s40364-022-00401-4	Dynamic change of soluble interleukin-2 receptor distinguished molecular heterogeneity and microenvironment alterations in diffuse large B-cell lymphoma.	ARID1A
35794096	10.1038/s41467-022-31355-8	Clinical relevance of molecular characteristics in Burkitt lymphoma differs according to age.	ARID1A
35727053	10.1002/cncr.34348	Differential prognostic effect of systemic inflammation in patients with non-small cell lung cancer treated with immunotherapy or chemotherapy: A post hoc analysis of the phase 3 OAK trial.	ARID1A
35454811	10.3390/cancers14081904	Deciphering Genetic Alterations of Hairy Cell Leukemia and Hairy Cell Leukemia-like Disorders in 98 Patients.	ARID1A
35317330	10.14740/wjon1436	Non-GCB Diffuse Large B-Cell Lymphoma With an Atypical Disease Course: A Case Report and Clinical Exome Analysis.	ARID1A
35172382	10.1002/JLB.5A0721-361R	Genomic heterogeneity contributed to different prognosis between adult and pediatric acute lymphoblastic.	ARID1A
35054466	10.3390/life12010073	The Pathologic and Genetic Characteristics of Extranodal NK/T-Cell Lymphoma.	ARID1A
35038193	10.1111/his.14617	Incidence, clinicopathological features and genetics of in-situ follicular neoplasia: a comprehensive screening study in a Japanese cohort.	ARID1A
34791836	10.1002/cam4.4422	Identification of a genetic signature enriching for response to ibrutinib in relapsed/refractory follicular lymphoma in the DAWN phase 2 trial.	ARID1A
34649275	10.1182/bloodadvances.2021005316	Worse outcome and distinct mutational pattern in follicular lymphoma with anti-HBc positivity.	ARID1A
34560683	10.1097/PAS.0000000000001813	A Comprehensive Clinicopathologic and Molecular Study of 19 Primary Effusion Lymphomas in HIV-infected Patients.	ARID1A
34348985	10.1136/jclinpath-2021-207441	Clinicopathological characteristics and genetic variations of uterine tumours resembling ovarian sex cord tumours.	ARID1A
34265801	10.1097/PAS.0000000000001780	Plasticity of Mature B Cells Between Follicular and Classic Hodgkin Lymphomas: A Series of 22 Cases Expanding the Spectrum of Transdifferentiation.	ARID1A
34070951	10.3390/diagnostics11060999	Diagnostic and Prognostic Value of Circulating Cell-Free DNA for Cholangiocarcinoma.	ARID1A
34039950	10.1038/s41408-021-00493-5	Genomic insights into the pathogenesis of Epstein-Barr virus-associated diffuse large B-cell lymphoma by whole-genome and targeted amplicon sequencing.	ARID1A
33829512	10.1111/his.14378	Bcl-2-negative IGH-BCL2 translocation-negative follicular lymphoma of the thyroid differs genetically and epigenetically from Bcl-2-positive IGH-BCL2 translocation-positive follicular lymphoma.	ARID1A
33431788	10.1038/s41392-020-00437-8	CREBBP/EP300 mutations promoted tumor progression in diffuse large B-cell lymphoma through altering tumor-associated macrophage polarization via FBXW7-NOTCH-CCL2/CSF1 axis.	ARID1A
33376237	10.1038/s41392-020-00331-3	Combination of anti-PD-1 antibody with P-GEMOX as a potentially effective immunochemotherapy for advanced natural killer/T cell lymphoma.	ARID1A
33252851	10.1002/ctm2.221	Influence of oncogenic mutations and tumor microenvironment alterations on extranodal invasion in diffuse large B-cell lymphoma.	ARID1A
32978169	10.1158/0008-5472.CAN-20-2147	EZH2-Targeted Therapies in Cancer: Hype or a Reality.	ARID1A
32918521	10.1002/pbc.28704	Aggressive Langerhans cell histiocytosis following T-cell acute lymphoblastic leukemia.	ARID1A
32083995	10.1200/JCO.19.02314	Genomic Landscape of Waldenström Macroglobulinemia and Its Impact on Treatment Strategies.	ARID1A
31747604	10.1016/j.celrep.2019.10.083	Targeting Excessive EZH1 and EZH2 Activities for Abnormal Histone Methylation and Transcription Network in Malignant Lymphomas.	ARID1A
31423576	10.1111/bjh.16159	M7-FLIPI is not prognostic in follicular lymphoma patients with first-line rituximab chemo-free therapy.	ARID1A
31300419	10.1182/bloodadvances.2018029546	Sporadic and endemic Burkitt lymphoma have frequent <i>FOXO1</i> mutations but distinct hotspots in the AKT recognition motif.	ARID1A
31123138	10.1136/jclinpath-2019-205727	Intravascular NK/T-cell lymphoma: clinicopathological and integrated molecular analysis of two cases provides a clue to disease pathogenesis.	ARID1A
30886885	10.1016/j.gore.2019.02.007	Endometrial cancer arising after complete remission of uterine malignant lymphoma: A case report and mutation analysis.	ARID1A
