pmid	doi	year	title	Hugo_Symbol
30305939	10.1136/esmoopen-2018-000387	2022	BET bromodomain inhibitor birabresib in mantle cell lymphoma: in vivo activity and identification of novel combinations to overcome adaptive resistance.	ATR
34679598	10.3390/diagnostics11101902	2022	A Multi-mRNA Prognostic Signature for Anti-TNFα Therapy Response in Patients with Inflammatory Bowel Disease.	ATR
34791862	10.33594/000000471	2022	Atrazine Inhalation Worsen Pulmonary Fibrosis Regulating the Nuclear Factor-Erythroid 2-Related Factor (Nrf2) Pathways Inducing Brain Comorbidities.	ATR
34886743	10.1080/15257770.2021.2013500	2022	Fludarabine nucleoside induces major changes in the p53 interactome in human B-lymphoid cancer cell lines.	ATR
35439335	10.1002/hon.3007	2022	The potential efficacy and mechanism of bendamustine in entra-nodal NK/T cell lymphoma.	ATR
35510955	10.15252/emmm.202215816	2022	A preclinical model of peripheral T-cell lymphoma GATA3 reveals DNA damage response pathway vulnerability.	ATR
35589932	10.1038/s41598-022-12426-8	2022	Long-term outcomes of cataract surgery with toric intraocular lens implantation by the type of preoperative astigmatism.	ATR
31885322	10.1080/15384101.2019.1706903	2021	The double dealing of cyclin D1.	ATR
32321318	10.1080/13543784.2020.1760245	2021	Novel agents for mantle cell lymphoma: molecular rational and clinical data.	ATR
32504211	10.1007/s10689-020-00192-3	2021	Germline variants discovered in lymphoma patients undergoing tumor profiling: a case series.	ATR
32517809	10.1186/s13046-020-01597-9	2021	A novel M phase blocker, DCZ3301 enhances the sensitivity of bortezomib in resistant multiple myeloma through DNA damage and mitotic catastrophe.	ATR
32571801	10.26508/lsa.202000671	2021	Small molecule inhibitors and a kinase-dead expressing mouse model demonstrate that the kinase activity of Chk1 is essential for mouse embryos and cancer cells.	ATR
32601814	10.1007/s11864-020-00763-7	2021	Targeting DNA Damage Repair Pathways in Pancreatic Adenocarcinoma.	ATR
32653773	10.1016/j.ejca.2020.05.010	2021	Accelerating drug development for neuroblastoma: Summary of the Second Neuroblastoma Drug Development Strategy forum from Innovative Therapies for Children with Cancer and International Society of Paediatric Oncology Europe Neuroblastoma.	ATR
33257682	10.1038/s41419-020-03231-0	2021	ASH2L drives proliferation and sensitivity to bleomycin and other genotoxins in Hodgkin's lymphoma and testicular cancer cells.	ATR
