pmid	doi	year	title	Hugo_Symbol
34560683	10.1097/PAS.0000000000001813	2022	A Comprehensive Clinicopathologic and Molecular Study of 19 Primary Effusion Lymphomas in HIV-infected Patients.	B2M
34614146	10.1182/blood.2020010263	2022	Validation of POD24 as a robust early clinical end point of poor survival in FL from 5225 patients on 13 clinical trials.	B2M
34664256	10.1111/bjh.17894	2022	Tracking the evolution of untreated high-intermediate/high-risk diffuse large B-cell lymphoma by circulating tumour DNA.	B2M
35075971	10.1080/10428194.2021.2010060	2022	Circulating tumor DNA in primary mediastinal large B-cell lymphoma versus classical Hodgkin lymphoma: a retrospective study.	B2M
35368100	10.1002/hon.2994	2022	A novel clinical immune-related prognostic model predicts the overall survival of mantle cell lymphoma.	B2M
35611992	10.1002/gcc.23069	2022	Primary mediastinal large B-cell lymphoma is characterized by large-scale copy-neutral loss of heterozygosity.	B2M
35795062	10.3389/fonc.2022.870487	2022	Plasma Concentrations and Cancer-Associated Mutations in Cell-Free Circulating DNA of Treatment-Naive Follicular Lymphoma for Improved Non-Invasive Diagnosis and Prognosis.	B2M
35885481	10.3390/diagnostics12071575	2022	Cell-Free DNA for Genomic Analysis in Primary Mediastinal Large B-Cell Lymphoma.	B2M
36001451	10.1097/PAS.0000000000001956	2022	Targeted Mutational Profiling Reveals Clonal Relationships in Metachronous Occurrence of Classic Hodgkin and Mediastinal Large B-Cell Lymphomas.	B2M
36055572	10.1016/j.clim.2022.109105	2022	A novel immune-related epigenetic signature based on the transcriptome for predicting the prognosis and therapeutic response of patients with diffuse large B-cell lymphoma.	B2M
32079702	10.3324/haematol.2019.237719	2021	Targeted genotyping of circulating tumor DNA for classical Hodgkin lymphoma monitoring: a prospective study.	B2M
32961552	10.1182/blood.2020007507	2021	Mutational landscape of gray zone lymphoma.	B2M
32964767	10.1080/10428194.2020.1821011	2021	Frequent mutations in HLA and related genes in extranodal NK/T cell lymphomas.	B2M
33311649	10.1038/s41379-020-00720-7	2021	Targeted massively parallel sequencing of mature lymphoid neoplasms: assessment of empirical application and diagnostic utility in routine clinical practice.	B2M
33332932	10.4143/crt.2020.1060	2021	Prognostic Stratification of Patients with Burkitt Lymphoma Using Serum β2-microglobulin Levels.	B2M
33567641	10.3390/cancers13040682	2021	Genomic Landscape of Hodgkin Lymphoma.	B2M
33569430	10.21037/atm-20-7574	2021	Molecular profiling of Chinese systemic anaplastic large cell lymphoma patients: novel evidence of genetic heterogeneity.	B2M
33747936	10.3389/fonc.2021.622648	2021	Genomic Mutation Profile of Primary Gastrointestinal Diffuse Large B-Cell Lymphoma.	B2M
33777778	10.3389/fonc.2021.628807	2021	Mutational Profile and Clonal Evolution of Relapsed/Refractory Diffuse Large B-Cell Lymphoma.	B2M
33964277	10.1016/j.humpath.2021.04.014	2021	Relative frequency and clinicopathologic characteristics of MYC-rearranged follicular lymphoma.	B2M
