pmid	doi	year	title	Hugo_Symbol
32393046	10.1080/09603123.2020.1757043	2022	The expression of microRNAs and exposure to environmental contaminants related to human health: a review.	BCL6
33779481	10.1080/01676830.2021.1904426	2022	Double-hit and triple-hit high-grade B-cell lymphoma of the ocular adnexa.	BCL6
34180720	10.1177/10668969211027409	2022	Aggressive Cyclin D1 Negative Blastoid Variant Mantle Cell Lymphoma-A Case Report.	BCL6
34265801	10.1097/PAS.0000000000001780	2022	Plasticity of Mature B Cells Between Follicular and Classic Hodgkin Lymphomas: A Series of 22 Cases Expanding the Spectrum of Transdifferentiation.	BCL6
34374890	10.1007/s12029-021-00662-6	2022	Primary ALK-Positive Large B Cell Lymphoma of Pancreas.	BCL6
34392269	10.1097/PAS.0000000000001750	2022	Mutational Landscape of TdT+ Large B-cell Lymphomas Supports Their Distinction From B-lymphoblastic Neoplasms: A Multiparameter Study of a Rare and Aggressive Entity.	BCL6
34456240	10.1097/PAI.0000000000000967	2022	Screening Strategy for Detecting Double-Hit Lymphoma in a Resource-Limited Setting.	BCL6
34519021	10.1111/bjh.17815	2022	Clinico-biological features and outcome of patients with splenic marginal zone lymphoma with histological transformation.	BCL6
34559466	10.1111/ijlh.13709	2022	Discordant high-grade B-cell lymphoma with MYC and BCL6 rearrangements presenting as a pericardial effusion.	BCL6
34601504	10.1038/s41379-021-00938-z	2022	Histopathologic, immunophenotypic, and mutational landscape of follicular lymphomas with plasmacytic differentiation.	BCL6
34608246	10.1038/s41379-021-00909-4	2022	Blastoid high-grade B-cell lymphoma initially presenting in bone marrow: a diagnostic challenge.	BCL6
34617271	10.1111/bjh.17874	2022	Epstein-Barr virus status of sporadic Burkitt lymphoma is associated with patient age and mutational features.	BCL6
34637146	10.1111/his.14585	2022	EBV<sup>+</sup> high-grade B cell lymphoma with MYC and BCL2 and/or BCL6 rearrangements: a multi-institutional study.	BCL6
34654055	10.1182/bloodadvances.2021006034	2022	Diffuse large B-cell lymphomas in adults with aberrant coexpression of CD10, BCL6, and MUM1 are enriched in IRF4 rearrangements.	BCL6
34698964	10.1007/s10637-021-01196-1	2022	FX1, a BCL6 inhibitor, reactivates BCL6 target genes and suppresses HTLV-1-infected T cells.	BCL6
34707034	10.3960/jslrt.21017	2022	Clinicopathological analysis of diffuse large B-cell lymphoma lacking surface immunoglobulin light chain restriction on flow cytometry.	BCL6
34727403	10.1111/pin.13182	2022	AID is a poor prognostic marker of high-grade B-cell lymphoma with MYC and BCL2 and/or BCL6 rearrangements.	BCL6
34727830	10.1080/10428194.2021.1998480	2022	Fish evaluation of additional cytogenetic aberrations and hyperdiploidy in childhood Burkitt lymphoma.	BCL6
34774129	10.1016/j.str.2021.10.010	2022	Structural basis of Apt48 inhibition of the BCL6 BTB domain.	BCL6
34788750	10.1159/000519074	2022	Application of Hans Algorithm for Subcategorization of Diffuse Large B-Cell Lymphoma in Fine-Needle Aspiration Biopsy Cytology.	BCL6
34788985	10.3324/haematol.2021.279631	2022	Mutational landscape of high-grade B-cell lymphoma with <i>MYC-</i>, <i>BCL2</i> and/or <i>BCL6</i> rearrangements characterized by whole-exome sequencing.	BCL6
34809978	10.1016/j.fertnstert.2021.09.036	2022	B-cell lymphoma 6 expression is not associated with live birth in a normal responder in vitro fertilization population.	BCL6
34842019	10.1080/10428194.2021.2008383	2022	Fitting double-hit lymphoma into the aggressive lymphoma spectrum: a square peg in a round hole?	BCL6
34861697	10.1182/bloodadvances.2021006156	2022	Epstein Barr virus-positive B-cell lymphoma is highly vulnerable to MDM2 inhibitors in vivo.	BCL6
34907996	10.1097/PAS.0000000000001852	2022	Human Germinal Center-associated Lymphoma (HGAL) Is a Reliable Marker of Normal and Neoplastic Follicular Helper T Cells Including Angioimmunoblastic T-Cell Lymphoma.	BCL6
34910327	10.1111/jop.13269	2022	Oral versus extra-oral plasmablastic lymphoma: A comparative analysis of 101 cases.	BCL6
34917911	10.1016/j.jhepr.2021.100386	2022	ROCK2 inhibition attenuates profibrogenic immune cell function to reverse thioacetamide-induced liver fibrosis.	BCL6
34951009	10.1111/bjh.17971	2022	Prognostic impact of TP53 mutation in newly diagnosed diffuse large B-cell lymphoma patients treated in the FIL-DLCL04 trial.	BCL6
34990752	10.1016/j.canlet.2021.12.035	2022	An orally available small molecule BCL6 inhibitor effectively suppresses diffuse large B cell lymphoma cells growth in vitro and in vivo.	BCL6
35036912	10.1177/2632010X211070774	2022	Rare but Potentially Fatal Presentations of Diffuse Large B-cell Lymphoma: Leukemic Phase or Hemophagocytic Syndrome in Bone Marrow.	BCL6
35045798	10.1080/10428194.2021.2024821	2022	High grade B-cell lymphoma with <i>MYC</i>, <i>BCL2</i> and/or <i>BCL6</i> rearrangements: unraveling the genetic landscape of a rare aggressive subtype of non-Hodgkin lymphoma.	BCL6
35046056	10.1158/1078-0432.CCR-21-3617	2022	First-in-Human Dose-Escalation Study of Cyclin-Dependent Kinase 9 Inhibitor VIP152 in Patients with Advanced Malignancies Shows Early Signs of Clinical Efficacy.	BCL6
35067515	10.1097/PAS.0000000000001828	2022	Composite Classic Hodgkin Lymphoma and Follicular Lymphoma: A Clinicopathologic Study of 22 Cases With Review of 27 Additional Cases in the Literature.	BCL6
35091546	10.1038/s41420-022-00833-9	2022	Pharmacological targeting PIKfyve and tubulin as an effective treatment strategy for double-hit lymphoma.	BCL6
35152630	10.3760/cma.j.cn112151-20210826-00604	2022	[Clinicopathological features and prognosis of high-grade B-cell lymphoma with MYC and bcl-2 and/or bcl-6 rearrangements].	BCL6
35183824	10.1016/j.prp.2022.153804	2022	Immunohistochemical algorithms and gene expression profiling in primary cutaneous B-cell lymphoma.	BCL6
35220171	10.1016/j.prp.2022.153812	2022	Prognostic value of Bcl2 and Bcl6 in primary cutaneous large B-cell lymphoma: A systematic review and meta-analysis.	BCL6
35256863	10.2147/CMAR.S345745	2022	MUM1 Expression versus Hans Algorithm to Predict Prognosis in Indonesian Diffuse Large B-Cell Lymphoma Patients Receiving R-CHOP.	BCL6
35277463	10.1136/jitc-2020-002029corr1	2022	Correction: MYC/BCL2/BCL6 triple hit and TP53 deletion in a case of high-grade B cell lymphoma receiving CAR T cell immunotherapy.	BCL6
35297566	10.1111/pin.13223	2022	Clinicopathological analysis of follicular lymphoma with BCL2, BCL6, and MYC rearrangements.	BCL6
