pmid	doi	year	title	Hugo_Symbol
32821125	10.2147/OTT.S258365	2022	<i>SET-CAN</i> Fusion Gene in Acute Leukemia and Myeloid Neoplasms: Report of Three Cases and a Literature Review.	BCOR
34057377	10.1177/10668969211021997	2022	<i>CRTC1-SS18</i> Fusion Sarcoma With Aberrant Anaplastic Lymphoma Kinase Expression.	BCOR
34180720	10.1177/10668969211027409	2022	Aggressive Cyclin D1 Negative Blastoid Variant Mantle Cell Lymphoma-A Case Report.	BCOR
34265801	10.1097/PAS.0000000000001780	2022	Plasticity of Mature B Cells Between Follicular and Classic Hodgkin Lymphomas: A Series of 22 Cases Expanding the Spectrum of Transdifferentiation.	BCOR
34414699	10.1631/jzus.B2000797	2022	LG-ESSs and HG-ESSs: underlying molecular alterations and potential therapeutic strategies.	BCOR
34749754	10.1186/s13000-021-01166-4	2022	Primary breast CD20-positive extranodal NK/T cell lymphoma with stomach involvement: a case report and literature review.	BCOR
34957890	10.1080/10428194.2021.2015587	2022	Loss of function mutations of <i>BCOR</i> in classical Hodgkin lymphoma.	BCOR
34980830	10.1097/PAS.0000000000001859	2022	Clinicopathologic and Genetic Features of Primary T-cell Lymphomas of the Central Nervous System: An Analysis of 11 Cases Using Targeted Gene Sequencing.	BCOR
35592856	10.3389/fmed.2022.808378	2022	A Somatic Mutation Signature Predicts the Best Overall Response to Anti-programmed Cell Death Protein-1 Treatment in Epidermal Growth Factor Receptor/Anaplastic Lymphoma Kinase-Negative Non-squamous Non-small Cell Lung Cancer.	BCOR
35708139	10.3324/haematol.2022.281226	2022	Monomorphic epitheliotropic intestinal T-cell lymphoma comprises morphologic and genomic heterogeneity impacting outcome.	BCOR
35882439	10.1182/bloodadvances.2022007541	2022	Genetic and immunohistochemical profiling of NK/T-cell Lymphomas reveals prognostically relevant BCOR-MYC association.	BCOR
35920299	10.1096/fj.202200061RR	2022	Mcm2 hypomorph leads to acute leukemia or hematopoietic stem cell failure, dependent on genetic context.	BCOR
35957990	10.3389/fphys.2022.946282	2022	Molecular mechanism of hyperactive tooth root formation in oculo-facio-cardio-dental syndrome.	BCOR
31822801	10.1038/s41379-019-0415-5	2021	Mutational profile and EBV strains of extranodal NK/T-cell lymphoma, nasal type in Latin America.	BCOR
32139296	10.1016/j.clml.2019.11.007	2021	Defining Acute Myeloid Leukemia Ontogeny in Older Patients.	BCOR
32527129	10.21037/apm-19-430b	2021	Glans metastatic extra-nodal natural killer/T-cell lymphoma, nasal-type with HDAC inhibitor as maintenance therapy: a rare case report with literature review.	BCOR
32584970	10.1182/blood.2020005289	2021	Genomic and epigenomic insights into the origin, pathogenesis, and clinical behavior of mantle cell lymphoma subtypes.	BCOR
33374737	10.3390/ijms22010074	2021	Pathogenic Impacts of Dysregulated Polycomb Repressive Complex Function in Hematological Malignancies.	BCOR
33468080	10.1186/s12885-021-07806-8	2021	The mutation of BCOR is highly recurrent and oncogenic in mature T-cell lymphoma.	BCOR
33491151	10.1007/s00381-020-05035-1	2021	Lenz microphthalmia syndrome in neurosurgical practice: a case report and review of the literature.	BCOR
33808787	10.3390/cancers13061414	2021	EBV and the Pathogenesis of NK/T Cell Lymphoma.	BCOR
34570179	10.1182/bloodadvances.2021004668	2021	Mutational patterns and their correlation to CHIP-related mutations and age in hematological malignancies.	BCOR
28487787	10.1155/2017/5083463	2020	EBV-Negative Monomorphic B-Cell Posttransplant Lymphoproliferative Disorder with Marked Morphologic Pleomorphism and Pathogenic Mutations in <i>ASXL1</i>, <i>BCOR</i>, <i>CDKN2A</i>, <i>NF1</i>, and <i>TP53</i>.	BCOR
30618304	10.1080/10428194.2018.1543885	2020	<i>BCOR</i> and <i>BCORL1</i> mutations in myelodysplastic syndromes (MDS): clonal architecture and impact on outcomes.	BCOR
30917298	10.1177/0022034519837248	2020	Mutational Signatures in Mandibular Ameloblastoma Correlate with Smoking.	BCOR
30992267	10.1182/blood.2018864173	2020	Engineered Bcor mutations lead to acute leukemia of progenitor B-1 lymphocyte origin in a sensitized background.	BCOR
