pmid	doi	year	title	Hugo_Symbol
33416167	10.3892/or.2020.7888	2021	Involvement of Blnk and Foxo1 in tumor suppression in BCR‑ABL1‑transformed pro‑B cells.	BLNK
33570628	10.1182/bloodadvances.2020001665	2021	Inhibition of B-cell receptor signaling disrupts cell adhesion in mantle cell lymphoma via RAC2.	BLNK
34653294	10.1111/cas.15164	2021	C/EBPβ induces B-cell acute lymphoblastic leukemia and cooperates with BLNK mutations.	BLNK
31882553	10.21873/cgp.20169	2020	BRD4-Regulated Molecular Targets in Mantle Cell Lymphoma: Insights into Targeted Therapeutic Approach.	BLNK
32420699	10.1002/cam4.3136	2020	Serine-227 in the N-terminal kinase domain of RSK2 is a potential therapeutic target for mantle cell lymphoma.	BLNK
32585766	10.1002/1878-0261.12753	2020	Identification of BLNK and BTK as mediators of rituximab-induced programmed cell death by CRISPR screens in GCB-subtype diffuse large B-cell lymphoma.	BLNK
33020271	10.1073/pnas.2007946117	2020	Rewiring of B cell receptor signaling by Epstein-Barr virus LMP2A.	BLNK
29931583	10.1007/s10637-018-0623-8	2019	Dual targeting of bromodomain-containing 4 by AZD5153 and BCL2 by AZD4320 against B-cell lymphomas concomitantly overexpressing c-MYC and BCL2.	BLNK
30872780	10.1038/s41375-019-0442-8	2019	Inhibition of SYK or BTK augments venetoclax sensitivity in SHP1-negative/BCL-2-positive diffuse large B-cell lymphoma.	BLNK
30890517	10.12122/j.issn.1673-4254.2019.02.20	2019	[Structure and function of B-cell linker and its role in the development of B cell-related diseases].	BLNK
30402490	10.1155/2018/6728128	2018	Gene Expression Profile Signature of Aggressive Waldenström Macroglobulinemia with Chromosome 6q Deletion.	BLNK
26354285	10.1002/hon.2251	2017	Concomitant high expression of Toll-like receptor (TLR) and B-cell receptor (BCR) signalling molecules has clinical implications in mantle cell lymphoma.	BLNK
28369050	10.1038/ni.3716	2017	Antagonism of B cell enhancer networks by STAT5 drives leukemia and poor patient survival.	BLNK
28791394	10.3892/mmr.2017.7158	2017	Identification of key genes and pathways associated with classical Hodgkin lymphoma by bioinformatics analysis.	BLNK
28972016	10.1182/blood-2017-06-743252	2017	Philadelphia chromosome-like acute lymphoblastic leukemia.	BLNK
26522721	10.1038/onc.2015.385	2016	ZFP521 contributes to pre-B-cell lymphomagenesis through modulation of the pre-B-cell receptor signaling pathway.	BLNK
26703467	10.1074/jbc.M115.637835	2016	B Cell Linker Protein (BLNK) Is a Selective Target of Repression by PAX5-PML Protein in the Differentiation Block That Leads to the Development of Acute Lymphoblastic Leukemia.	BLNK
27016671	10.1016/j.molimm.2016.03.007	2016	PAX5 promotes pre-B cell proliferation by regulating the expression of pre-B cell receptor and its downstream signaling.	BLNK
28476192	10.1016/j.arcmed.2016.12.005	2016	Gene Expression Profiling of Acute Lymphoblastic Leukemia in Children with Very Early Relapse.	BLNK
25080849	10.1111/ejh.12427	2015	B-cell receptor signalling and its crosstalk with other pathways in normal and malignant cells.	BLNK
25391967	10.1007/s11060-014-1655-3	2015	Differential expression of Toll-like receptor (TLR) and B cell receptor (BCR) signaling molecules in primary diffuse large B-cell lymphoma of the central nervous system.	BLNK
24240734	10.1007/s00401-013-1202-x	2014	Systems biology of primary CNS lymphoma: from genetic aberrations to modeling in mice.	BLNK
24169826	10.1182/blood-2012-12-473090	2013	The Myc-miR-17-92 axis amplifies B-cell receptor signaling via inhibition of ITIM proteins: a novel lymphomagenic feed-forward loop.	BLNK
22262777	10.1182/blood-2011-04-351965	2012	CIN85 is required for Cbl-mediated regulation of antigen receptor signaling in human B cells.	BLNK
