pmid	doi	year	title	Hugo_Symbol
33297669	10.3324/haematol.2020.267294	2022	Phenogenomic heterogeneity of post-transplant plasmablastic lymphomas.	BRAF
33722842	10.1136/jclinpath-2020-207205	2022	Clinicopathological characteristic of ciliated muconodular papillary tumour of the lung.	BRAF
33952592	10.1136/jclinpath-2021-207597	2022	Adequacy of small biopsy and cytology specimens for comprehensive genomic profiling of patients with non-small-cell lung cancer to determine eligibility for immune checkpoint inhibitor and targeted therapy.	BRAF
34015890	10.4143/crt.2021.218	2022	Comparison of the Data of a Next-Generation Sequencing Panel from K-MASTER Project with That of Orthogonal Methods for Detecting Targetable Genetic Alterations.	BRAF
34309914	10.1111/jcpt.13489	2022	Advances in targeted therapy in non-small cell lung cancer with actionable mutations and leptomeningeal metastasis.	BRAF
34687488	10.1002/gcc.23005	2022	Clinicopathological features and resistance mechanisms in HIP1-ALK-rearranged lung cancer: A multicenter study.	BRAF
34704312	10.1111/cas.15176	2022	Real-world data on NGS using the Oncomine DxTT for detecting genetic alterations in non-small-cell lung cancer: WJOG13019L.	BRAF
34710243	10.1002/ajh.26390	2022	Hairy cell leukemia 2022: Update on diagnosis, risk-stratification, and treatment.	BRAF
34802044	10.1038/s41379-021-00954-z	2022	A novel diagnostic approach for the classification of small B-cell lymphoid neoplasms based on the NanoString platform.	BRAF
34843129	10.1111/his.14603	2022	ALK rearrangements in infantile fibrosarcoma-like spindle cell tumours of soft tissue and kidney.	BRAF
34952945	10.1038/s41379-021-01002-6	2022	Genomic landscape of Epstein-Barr virus-positive extranodal marginal zone lymphomas of mucosa-associated lymphoid tissue.	BRAF
35012520	10.1186/s12890-021-01803-0	2022	Global prognostic impact of driver genetic alterations in patients with lung adenocarcinoma: a real-life study.	BRAF
35064935	10.1111/his.14619	2022	Parallel evolution of two distinct lymphoid proliferations in clonal haematopoiesis.	BRAF
35076701	10.1001/jamanetworkopen.2021.44923	2022	Trends in Prices of Drugs Used to Treat Metastatic Non-Small Cell Lung Cancer in the US From 2015 to 2020.	BRAF
35092381	10.31557/APJCP.2022.23.1.131	2022	Correlation between Programmed Death Ligand-1(PD-L1) Expression and Driver Gene Mutations in Non-Small Cell Lung Carcinoma- Adenocarcinoma Phenotype.	BRAF
