pmid	doi	year	title	Hugo_Symbol
35053438	10.3390/cancers14020274	2022	The Antitumor Effect of Caffeic Acid Phenethyl Ester by Downregulating Mucosa-Associated Lymphoid Tissue 1 via AR/p53/NF-κB Signaling in Prostate Carcinoma Cells.	BTG2
35300216	10.2147/JIR.S341355	2022	The Mutation of <i>BTG2</i> Gene Predicts a Poor Outcome in Primary Testicular Diffuse Large B-Cell Lymphoma.	BTG2
35401516	10.3389/fimmu.2022.842439	2022	Oncogenic Mutations and Tumor Microenvironment Alterations of Older Patients With Diffuse Large B-Cell Lymphoma.	BTG2
35646048	10.3389/fgene.2022.878618	2022	Whole-Genome/Exome Sequencing Uncovers Mutations and Copy Number Variations in Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System.	BTG2
35880434		2022	Emerging role of anti-proliferative protein BTG1 and BTG2.	BTG2
35928872	10.3389/fonc.2022.932674	2022	Cell-Free DNA Sequencing of Intraocular Fluid as Liquid Biopsy in the Diagnosis of Vitreoretinal Lymphoma.	BTG2
33021411	10.1080/10428194.2020.1827243	2021	Frequent loss of BTG1 activity and impaired interactions with the Caf1 subunit of the Ccr4-Not deadenylase in non-Hodgkin lymphoma.	BTG2
33206936	10.1182/blood.2020005650	2021	Genomic and transcriptomic correlates of Richter transformation in chronic lymphocytic leukemia.	BTG2
33777778	10.3389/fonc.2021.628807	2021	Mutational Profile and Clonal Evolution of Relapsed/Refractory Diffuse Large B-Cell Lymphoma.	BTG2
33945543	10.1371/journal.pone.0248886	2021	Detection of new drivers of frequent B-cell lymphoid neoplasms using an integrated analysis of whole genomes.	BTG2
34944954	10.3390/cancers13246334	2021	Impact of a Faulty Germinal Center Reaction on the Pathogenesis of Primary Diffuse Large B Cell Lymphoma of the Central Nervous System.	BTG2
32059783	10.1016/j.cell.2020.01.029	2020	Lymphoma Driver Mutations in the Pathogenic Evolution of an Iconic Human Autoantibody.	BTG2
32457623	10.3389/fphar.2020.00630	2020	Early Response to the Plant Toxin Stenodactylin in Acute Myeloid Leukemia Cells Involves Inflammatory and Apoptotic Signaling.	BTG2
32565964	10.3892/ol.2020.11552	2020	Comprehensive characterization of driver genes in diffuse large B cell lymphoma.	BTG2
30350856	10.1002/jcp.27407	2019	Tumor suppressors BTG1 and BTG2: Beyond growth control.	BTG2
30733272	10.3324/haematol.2018.207928	2019	Burkitt-like lymphoma with 11q aberration: a germinal center-derived lymphoma genetically unrelated to Burkitt lymphoma.	BTG2
31220210	10.1093/carcin/bgz068	2019	Genomic pattern of intratumor heterogeneity predicts the risk of progression in early stage diffuse large B-cell lymphoma.	BTG2
30184526	10.1159/000492850	2018	MicroRNA High Throughput Loss-of-Function Screening Reveals an Oncogenic Role for miR-21-5p in Hodgkin Lymphoma.	BTG2
26757737	10.1007/s00401-016-1536-2	2016	Genomic characterization of primary central nervous system lymphoma.	BTG2
27036158	10.3324/haematol.2015.139675	2016	Tumor suppressors BTG1 and BTG2 regulate early mouse B-cell development.	BTG2
24140094	10.1016/j.metabol.2013.09.010	2014	Anti-diabetic actions of glucagon-like peptide-1 on pancreatic beta-cells.	BTG2
22323293	10.1091/mbc.E11-06-0524	2012	Intermediate progenitors are increased by lengthening of the cell cycle through calcium signaling and p53 expression in human neural progenitors.	BTG2
22808135	10.1371/journal.pone.0040332	2012	Genome-wide detection of genes targeted by non-Ig somatic hypermutation in lymphoma.	BTG2
17466295	10.1016/j.yexcr.2007.03.021	2007	Role for Btg1 and Btg2 in growth arrest of WEHI-231 cells through arginine methylation following membrane immunoglobulin engagement.	BTG2
7768965	10.1007/BF01209594	1995	Differential expression of TIS21 and TIS1 genes in the various organs of Balb/c mice, thymic carcinoma tissues and human cancer cell lines.	BTG2
