pmid	doi	year	title	Hugo_Symbol
33870156	10.1016/j.jhepr.2021.100250	2022	Genetic or pharmacological reduction of cholangiocyte senescence improves inflammation and fibrosis in the <i>Mdr2</i> <sup><i>-/-</i></sup>  mouse.	CASP8
34276918	10.4084/MJHID.2021.049	2022	Crocin Promotes Apoptosis in Human EBV-Transformed B-Lymphocyte via Intrinsic Pathway.	CASP8
34302634	10.1007/s13258-021-01142-8	2022	Lactucin induces apoptosis through reactive oxygen species-mediated BCL-2 and CFLAR<sub>L</sub> downregulation in Caki-1 cells.	CASP8
34853447	10.1038/s41418-021-00908-7	2022	Bcl-3 promotes TNF-induced hepatocyte apoptosis by regulating the deubiquitination of RIP1.	CASP8
35178927	10.19540/j.cnki.cjcmm.20210902.701	2022	[Molecular mechanism of Ganoderma against gastric cancer based on network pharmacology and experimental test].	CASP8
35628538	10.3390/ijms23105721	2022	Therapeutic Potential of Pretreatment with Exosomes Derived from Stem Cells from the Apical Papilla against Cisplatin-Induced Acute Kidney Injury.	CASP8
31954371	10.1016/j.redox.2019.101403	2021	Superoxide induced inhibition of death receptor signaling is mediated via induced expression of apoptosis inhibitory protein cFLIP.	CASP8
32575162	10.1002/cbf.3569	2021	Characterization of antiapoptotic microRNAs in primary Sjögren's syndrome.	CASP8
33039058	10.1016/S1875-5364(20)60019-X	2021	Dracocephalum palmatum Stephan extract induces apoptosis in human prostate cancer cells via the caspase-8-mediated extrinsic pathway.	CASP8
33162537	10.11406/rinketsu.61.1365	2021	[Lymphoproliferative disorders and inborn errors of immunity].	CASP8
33241658	10.1111/jcmm.16117	2021	Anti-coronavirus disease 2019 (COVID-19) targets and mechanisms of puerarin.	CASP8
33297339	10.3390/nu12123755	2021	Gene Expression Alterations Associated with Oleuropein-Induced Antiproliferative Effects and S-Phase Cell Cycle Arrest in Triple-Negative Breast Cancer Cells.	CASP8
33356695	10.1080/10408363.2020.1855623	2021	Immunologic evaluation and genetic defects of apoptosis in patients with autoimmune lymphoproliferative syndrome (ALPS).	CASP8
33913583	10.1002/cbin.11619	2021	Nuclear respiratory factor 1 protects H9C2 cells against hypoxia-induced apoptosis via the death receptor pathway and mitochondrial pathway.	CASP8
33922439	10.3390/cells10050987	2021	Targeting Cutaneous T-Cell Lymphoma Cells by Ingenol Mebutate (PEP005) Correlates with PKCδ Activation, ROS Induction as Well as Downregulation of XIAP and c-FLIP.	CASP8
33974882	10.1016/j.ejphar.2021.174167	2021	Effects of trans-resveratrol on type 1 diabetes-induced up-regulation of apoptosis and mitogen-activated protein kinase signaling in retinal pigment epithelium of Dark Agouti rats.	CASP8
33995372	10.3389/fimmu.2021.656356	2021	Next Generation Sequencing for Detecting Somatic <i>FAS</i> Mutations in Patients With Autoimmune Lymphoproliferative Syndrome.	CASP8
34627429	10.19746/j.cnki.issn.1009-2137.2021.05.018	2021	[Relationships between CASP8, Fas Gene Polymorphisms and the Prognosis of Patients with Non-Hodgkin's Lymphoma in Han Nationality].	CASP8
34945004	10.3390/cancers13246384	2021	Artificial Neural Networks Predicted the Overall Survival and Molecular Subtypes of Diffuse Large B-Cell Lymphoma Using a Pancancer Immune-Oncology Panel.	CASP8
30859901	10.1080/15548627.2019.1591672	2020	Mitophagy regulates mitochondrial network signaling, oxidative stress, and apoptosis during myoblast differentiation.	CASP8
30990357	10.1080/15548627.2019.1607694	2020	Cell quality control mechanisms maintain stemness and differentiation potential of P19 embryonic carcinoma cells.	CASP8
31220671	10.1016/j.bioorg.2019.103053	2020	Protective effect of hypoxylonol C and 4,5,4',5'-tetrahydroxy-1,1'-binaphthyl isolated from Annulohypoxylon annulatum against streptozotocin-induced damage in INS-1 cells.	CASP8
31730868	10.1016/j.lfs.2019.117038	2020	Effect of maternal omega-3 fatty acids and vitamin E supplementation on placental apoptotic markers in rat model of early and late onset preeclampsia.	CASP8
31752870	10.1186/s12917-019-2167-3	2020	Effects of prostaglandin F<sub>2α</sub> (PGF<sub>2α</sub>) on cell-death pathways in the bovine corpus luteum (CL).	CASP8
31908105	10.1111/cas.14296	2020	Efficient recruitment of c-FLIP<sub>L</sub> to the death-inducing signaling complex leads to Fas resistance in natural killer-cell lymphoma.	CASP8
31974619	10.3892/mmr.2019.10873	2020	Chidamide induces necroptosis via regulation of c‑FLIPL expression in Jurkat and HUT‑78 cells.	CASP8
32075108	10.3390/ijms21041298	2020	C5, A Cassaine Diterpenoid Amine, Induces Apoptosis via the Extrinsic Pathways in Human Lung Cancer Cells and Human Lymphoma Cells.	CASP8
29755111	10.1038/s41417-018-0022-5	2019	Genomic landscape and prognostic analysis of mantle cell lymphoma.	CASP8
29891925	10.1038/s41598-018-27106-9	2019	Cadmium-induced apoptosis in neuronal cells is mediated by Fas/FasL-mediated mitochondrial apoptotic signaling pathway.	CASP8
30061179	10.1042/BSR20180391	2019	<i>In vivo</i> and <i>in vitro</i> effects of hyperplasia suppressor gene on the proliferation and apoptosis of lung adenocarcinoma A549 cells.	CASP8
30175514	10.1111/nep.13487	2019	Loss of receptor interacting protein kinases 3 and caspase-8 augments intrinsic apoptosis in tubular epithelial cell and promote kidney ischaemia-reperfusion injury.	CASP8
31810928	10.21873/anticanres.13878	2019	Evaluation of Combination Treatment Effect With TRAIL-secreting Mesenchymal Stem Cells and Compound C Against Glioblastoma.	CASP8
28199208	10.2741/4549	2018	Macrophage migration inhibitory factor siRNA inhibits hepatic metastases of colorectal cancer cells.	CASP8
28427190	10.18632/oncotarget.15843	2018	Pygopus2 inhibits the efficacy of paclitaxel-induced apoptosis and induces multidrug resistance in human glioma cells.	CASP8
28643758	10.4103/0973-1482.176172	2018	Effects of EF-24, RAD001, and paclitaxel on the expression profiles of apoptotic and anti-apoptotic genes.	CASP8
28765878	10.3892/ijmm.2017.3081	2018	Grifola frondosa polysaccharides induce breast cancer cell apoptosis via the mitochondrial-dependent apoptotic pathway.	CASP8
28972304	10.1002/1878-0261.12140	2018	DR5-Cbl-b/c-Cbl-TRAF2 complex inhibits TRAIL-induced apoptosis by promoting TRAF2-mediated polyubiquitination of caspase-8 in gastric cancer cells.	CASP8
29617412	10.1371/journal.pone.0195116	2018	Tissue Inhibitor of Metalloproteinase-3 (TIMP-3) induces FAS dependent apoptosis in human vascular smooth muscle cells.	CASP8
29966986	10.1016/j.biopha.2018.06.164	2018	In vitro combinatorial anti-proliferative and immunosuppressive effects of Brucea javanica extract with CX-4945 and imatinib in human T-cell acute lymphoblastic leukemia cells.	CASP8
30111413	10.7534/j.issn.1009-2137.2018.04.025	2018	[Apoptosis of Murine T-Cell Lymphoma EL4 Cells Induced by Murine Cytomegalovirus and Its Mechanism].	CASP8
26905515	10.1007/s00296-016-3443-1	2017	Fas/FasL, Bcl2 and Caspase-8 gene polymorphisms in Chinese patients with rheumatoid arthritis.	CASP8
27176505	10.3892/ijo.2016.3518	2017	The pyrrolo-1,5-benzoxazepine, PBOX-15, enhances TRAIL‑induced apoptosis by upregulation of DR5 and downregulation of core cell survival proteins in acute lymphoblastic leukaemia cells.	CASP8
27193732	10.2131/jts.41.403	2017	Ochratoxin A mediates MAPK activation, modulates IL-2 and TNF-α mRNA expression and induces apoptosis by mitochondria-dependent and mitochondria-independent pathways in human H9 T cells.	CASP8
27391025	10.1371/journal.pone.0158987	2017	The Interaction of CD154 with the α5β1 Integrin Inhibits Fas-Induced T Cell Death.	CASP8
27678524	10.1016/j.taap.2016.09.021	2017	A microtubule inhibitor, ABT-751, induces autophagy and delays apoptosis in Huh-7 cells.	CASP8
27868169	10.1007/s11010-016-2883-y	2017	Articulatin-D induces apoptosis via activation of caspase-8 in acute T-cell leukemia cell line.	CASP8
27929746	10.1080/15384101.2016.1261226	2017	Exogenous expression of SAMHD1 inhibits proliferation and induces apoptosis in cutaneous T-cell lymphoma-derived HuT78 cells.	CASP8
27998762	10.1016/j.canlet.2016.12.010	2017	Rocaglamide breaks TRAIL-resistance in human multiple myeloma and acute T-cell leukemia in vivo in a mouse xenogtraft model.	CASP8
28154184	10.1074/jbc.M116.754184	2017	Bax/Bak-independent mitochondrial depolarization and reactive oxygen species induction by sorafenib overcome resistance to apoptosis in renal cell carcinoma.	CASP8
28361856		2017	Aberrant promoter hypermethylation of selected apoptotic genes in childhood acute lymphoblastic leukemia among North Indian population.	CASP8
24614587	10.1371/journal.pone.0091359	2016	KSHV RTA abolishes NFκB responsive gene expression during lytic reactivation by targeting vFLIP for degradation via the proteasome.	CASP8
25248880	10.3109/10428194.2014.953149	2016	The potential evasion of immune surveillance in mucosa associated lymphoid tissue lymphoma by DcR2-mediated up-regulation of nuclear factor-κB.	CASP8
25663566	10.1007/s12016-015-8466-y	2016	Updated Understanding of Autoimmune Lymphoproliferative Syndrome (ALPS).	CASP8
