pmid	doi	year	title	Hugo_Symbol
29707316	10.21037/jtd.2018.02.31	2022	Single nucleotide polymorphisms of casitas B-lineage lymphoma proto-oncogene-b predict outcomes of patients with advanced non-small cell lung cancer after first-line platinum based doublet chemotherapy.	CBLB
32158232	10.2147/OTT.S224866	2022	Effects of Atypical Protein Kinase C Inhibitor (DNDA) on Lung Cancer Proliferation and Migration by PKC-ι/FAK Ubiquitination Through the Cbl-b Pathway.	CBLB
33882749	10.1177/24725552211000675	2022	In Vitro Ubiquitination Platform Identifies Methyl Ellipticiniums as Ubiquitin Ligase Inhibitors.	CBLB
34272310	10.1136/jitc-2021-002889	2022	Tumor rejection in <i>Cblb</i> <sup>-/-</sup> mice depends on IL-9 and Th9 cells.	CBLB
34836490	10.1080/15548627.2021.1997053	2022	HYPK coordinates degradation of polyneddylated proteins by autophagy.	CBLB
35181779	10.1158/2326-6066.CIR-20-0973	2022	Overproduction of IFNγ by Cbl-b-Deficient CD8+ T Cells Provides Resistance against Regulatory T Cells and Induces Potent Antitumor Immunity.	CBLB
35288194	10.1016/j.ejphar.2022.174876	2022	Cbl-b modulated TrkA ubiquitination and function in the dorsal root ganglion of mice.	CBLB
35733270	10.1073/pnas.2201490119	2022	IFT80 negatively regulates osteoclast differentiation via association with Cbl-b to disrupt TRAF6 stabilization and activation.	CBLB
27371568	10.1074/jbc.A113.529925	2021	Myostatin induces insulin resistance via Casitas B-lineage lymphoma b (Cblb)-mediated degradation of insulin receptor substrate 1 (IRS1) in response to high calorie diet intake.	CBLB
31663116	10.1002/jcp.29338	2021	miR-22-3p enhances the intrinsic regenerative abilities of primary sensory neurons via the CBL/p-EGFR/p-STAT3/GAP43/p-GAP43 axis.	CBLB
32373983	10.26355/eurrev_202004_21027	2021	The effect of Casitas b-lineage lymphoma b on regulating T follicular helper in lupus nephritis.	CBLB
33625672	10.1007/s12094-021-02569-x	2021	Hypoxia-mediated down-regulation of miRNAs' biogenesis promotes tumor immune escape in bladder cancer.	CBLB
33741730	10.1136/jitc-2020-001975	2021	<i>CBLB</i> ablation with CRISPR/Cas9 enhances cytotoxicity of human placental stem cell-derived NK cells for cancer immunotherapy.	CBLB
33848699	10.1016/j.bmc.2021.116130	2021	An affinity prediction approach for the ligand of E3 ligase Cbl-b and an insight into substrate binding pattern.	CBLB
34038132	10.1021/acs.jnatprod.1c00367	2021	Sinularamides A-G, Terpenoid-Derived Spermidine and Spermine Conjugates with Casitas B-Lineage Lymphoma Proto-Oncogene B (Cbl-b) Inhibitory Activities from a <i>Sinularia</i> sp. Soft Coral.	CBLB
34048740	10.1016/j.ejphar.2021.174205	2021	BDNF modulated KCC2 ubiquitylation in spinal cord dorsal horn of mice.	CBLB
34535769	10.1038/s41388-021-02012-z	2021	Identification of mutations that cooperate with defects in B cell transcription factors to initiate leukemia.	CBLB
27446403	10.3892/ol.2016.4730	2020	Cbl-b promotes cell detachment via ubiquitination of focal adhesion kinase.	CBLB
30442330	10.1016/j.cellimm.2018.11.002	2020	Regulation of immune responses by E3 ubiquitin ligase Cbl-b.	CBLB
30452556	10.1093/eurheartj/ehy714	2020	Deficiency of the T cell regulator Casitas B-cell lymphoma-B aggravates atherosclerosis by inducing CD8+ T cell-mediated macrophage death.	CBLB
31056398	10.1016/j.ccell.2019.03.014	2020	Mitochondrial ClpP-Mediated Proteolysis Induces Selective Cancer Cell Lethality.	CBLB
31531847	10.1002/eji.201948204	2020	TAM receptors attenuate murine NK-cell responses via E3 ubiquitin ligase Cbl-b.	CBLB
31790392	10.1371/journal.pbio.3000554	2020	Dynamic trafficking and turnover of JAM-C is essential for endothelial cell migration.	CBLB
32154175	10.3389/fonc.2020.00181	2020	miR-1323 Promotes Cell Migration in Lung Adenocarcinoma by Targeting Cbl-b and Is an Early Prognostic Biomarker.	CBLB
29205205	10.1038/tpj.2017.41	2019	Gene expression and linkage analysis implicate CBLB as a mediator of rituximab resistance.	CBLB
29513566	10.1152/ajpcell.00184.2017	2019	Reactive oxygen species upregulate expression of muscle atrophy-associated ubiquitin ligase Cbl-b in rat L6 skeletal muscle cells.	CBLB
29729186	10.1002/hep.30073	2019	CD2-Associated Protein Contributes to Hepatitis C, Virus Propagation and Steatosis by Disrupting Insulin Signaling.	CBLB
29938552	10.1177/0300060518770955	2019	Isoflurane decreases interleukin-2 production by increasing c-Cbl and Cbl-b expression in rat peripheral blood mononuclear cells.	CBLB
30021515	10.1186/s12871-018-0555-z	2019	Increased expression of the Cbl family of E3 ubiquitin ligases decreases Interleukin-2 production in a rat model of peripheral neuropathy.	CBLB
30024968	10.1371/journal.ppat.1007111	2019	Hepatitis C virus enters liver cells using the CD81 receptor complex proteins calpain-5 and CBLB.	CBLB
30402490	10.1155/2018/6728128	2019	Gene Expression Profile Signature of Aggressive Waldenström Macroglobulinemia with Chromosome 6q Deletion.	CBLB
28970470	10.1038/s41467-017-00830-y	2018	NFAT2 is a critical regulator of the anergic phenotype in chronic lymphocytic leukaemia.	CBLB
28972304	10.1002/1878-0261.12140	2018	DR5-Cbl-b/c-Cbl-TRAF2 complex inhibits TRAIL-induced apoptosis by promoting TRAF2-mediated polyubiquitination of caspase-8 in gastric cancer cells.	CBLB
25351606	10.1111/1756-185X.12509	2017	Dysregulation of anergy-related factors involved in regulatory T cells defects in Systemic Lupus Erythematosus patients: Rapamycin and Vitamin D efficacy in restoring regulatory T cells.	CBLB
26732495	10.1016/j.cllc.2015.11.008	2017	Single Nucleotide Polymorphisms in CBLB, a Regulator of T-Cell Response, Predict Radiation Pneumonitis and Outcomes After Definitive Radiotherapy for Non-Small-Cell Lung Cancer.	CBLB
27039262	10.1016/j.jid.2016.03.024	2017	Identification of Gene Mutations and Fusion Genes in Patients with Sézary Syndrome.	CBLB
27432944	10.1084/jem.20151932	2017	E3 ubiquitin ligase Cbl-b negatively regulates C-type lectin receptor-mediated antifungal innate immunity.	CBLB
27685907		2017	Cbl-b regulates the sensitivity of cetuximab through ubiquitin-proteasome system in human gastric cancer cells.	CBLB
28100467	10.1242/dev.138164	2017	An essential role of CBL and CBL-B ubiquitin ligases in mammary stem cell maintenance.	CBLB
28940360	10.1111/cei.13054	2017	Lys63-polyubiquitination by the E3 ligase casitas B-lineage lymphoma-b (Cbl-b) modulates peripheral regulatory T cell tolerance in patients with systemic lupus erythematosus.	CBLB
25952305	10.1002/humu.22809	2016	Molecular Diversity and Associated Phenotypic Spectrum of Germline CBL Mutations.	CBLB
26087197	10.18632/oncotarget.4382	2016	The E3 ubiquitin ligase Cbl-b improves the prognosis of RANK positive breast cancer patients by inhibiting RANKL-induced cell migration and metastasis.	CBLB
26342078	10.1074/jbc.M115.661413	2016	Pro-oncogenic Roles of HLXB9 Protein in Insulinoma Cells through Interaction with Nono Protein and Down-regulation of the c-Met Inhibitor Cblb (Casitas B-lineage Lymphoma b).	CBLB
26416283	10.4049/jimmunol.1501200	2016	Protein Tyrosine Phosphatase SHP-1 Modulates T Cell Responses by Controlling Cbl-b Degradation.	CBLB
26583948	10.1164/rccm.201502-0250OC	2016	Small Molecule T315 Promotes Casitas B-Lineage Lymphoma-Dependent Degradation of Epidermal Growth Factor Receptor via Y1045 Autophosphorylation.	CBLB
24614797	10.1507/endocrj.ej14-0048	2015	Ubiquitin ligase Cbl-b and obesity-induced insulin resistance.	CBLB
24632608	10.1038/onc.2014.22	2015	MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy.	CBLB
24875217	10.4161/cc.29213	2015	E3 ubiquitin ligase Cbl-b in innate and adaptive immunity.	CBLB
25261476	10.4049/jimmunol.1303077	2015	A multiple sclerosis-associated variant of CBLB links genetic risk with type I IFN function.	CBLB
25285640	10.1016/j.bbrc.2014.09.125	2015	Cbl regulates the activity of SIRT2.	CBLB
25691332	10.1111/febs.13238	2015	Ionizing radiation-inducible miR-30e promotes glioma cell invasion through EGFR stabilization by directly targeting CBL-B.	CBLB
25701378	10.1007/s13277-015-3232-6	2015	Celecoxib sensitizes gastric cancer to rapamycin via inhibition of the Cbl-b-regulated PI3K/Akt pathway.	CBLB
25829233	10.1016/j.clim.2015.03.018	2015	Cbl-b-deficient mice express alterations in trafficking-related molecules but retain sensitivity to the multiple sclerosis therapeutic agent, FTY720.	CBLB
25891013	10.1002/art.39163	2015	The anergy induction of M3 muscarinic acetylcholine receptor-reactive CD4+ T cells suppresses experimental sialadenitis-like Sjögren's syndrome.	CBLB
26112603	10.1016/j.febslet.2015.06.015	2015	E3 ubiquitin ligase Cbl-b suppresses human ORMDL3 expression through STAT6 mediation.	CBLB
24161672	10.1016/j.febslet.2013.10.007	2014	Lipid raft-regulated IGF-1R activation antagonizes TRAIL-induced apoptosis in gastric cancer cells.	CBLB
24229686		2014	Cbl-b and PI3K/Akt pathway are differently involved in oxygen-glucose deprivation preconditioning in PC12 cells.	CBLB
24451368	10.1074/jbc.M113.529925	2014	Myostatin induces insulin resistance via Casitas B-lineage lymphoma b (Cblb)-mediated degradation of insulin receptor substrate 1 (IRS1) protein in response to high calorie diet intake.	CBLB
24553136	10.1038/nature12998	2014	The E3 ligase Cbl-b and TAM receptors regulate cancer metastasis via natural killer cells.	CBLB
24651487	10.1371/journal.pone.0089792	2014	Recruitment of Cbl-b to B cell antigen receptor couples antigen recognition to Toll-like receptor 9 activation in late endosomes.	CBLB
22456178	10.1016/j.ejca.2012.03.005	2013	TRAIL-activated EGFR by Cbl-b-regulated EGFR redistribution in lipid rafts antagonises TRAIL-induced apoptosis in gastric cancer cells.	CBLB
23280105	10.1002/art.37833	2013	Casitas B lineage lymphoma b is a key regulator of peripheral tolerance in systemic lupus erythematosus.	CBLB
23349502	10.2337/db12-0677	2013	Cbl-b is a critical regulator of macrophage activation associated with obesity-induced insulin resistance in mice.	CBLB
23663663	10.1111/febs.12333	2013	Multimeric and differential binding of CIN85/CD2AP with two atypical proline-rich sequences from CD2 and Cbl-b*.	CBLB
23684068	10.1016/j.jaci.2013.03.046	2013	T-cell receptor ligation causes Wiskott-Aldrich syndrome protein degradation and F-actin assembly downregulation.	CBLB
23749633	10.4049/jimmunol.1202068	2013	T cell activation threshold regulated by E3 ubiquitin ligase Cbl-b determines fate of inducible regulatory T cells.	CBLB
22072526	10.1002/gcc.20949	2012	Casitas B lymphoma mutations in childhood acute lymphoblastic leukemia.	CBLB
22884570	10.1016/j.febslet.2012.07.067	2012	Cbl-b-dependent degradation of FLIP(L) is involved in ATO-induced autophagy in leukemic K562 and gastric cancer cells.	CBLB
20038312		2011	[Expression of c-Cbl, Cbl-b, and epidermal growth factor receptor in gastric carcinoma and their clinical significance].	CBLB
21248250	10.4049/jimmunol.1003390	2011	Essential role of E3 ubiquitin ligase activity in Cbl-b-regulated T cell functions.	CBLB
21645455	10.3779/j.issn.1009-3419.2011.06.17	2011	[Expressions of c-Cbl, Cbl-b and EGFR and its role of prognosis in NSCLC].	CBLB
20668237	10.1073/pnas.1009209107	2010	T-cell regulation by casitas B-lineage lymphoma (Cblb) is a critical failsafe against autoimmune disease due to autoimmune regulator (Aire) deficiency.	CBLB
20805496	10.1073/pnas.1007575107	2010	Rapidly fatal myeloproliferative disorders in mice with deletion of Casitas B-cell lymphoma (Cbl) and Cbl-b in hematopoietic stem cells.	CBLB
20890046	10.1172/JCI41991	2010	Abrogating Cbl-b in effector CD8(+) T cells improves the efficacy of adoptive therapy of leukemia in mice.	CBLB
19343001	10.1097/CAD.0b013e3283160fd6	2009	PI3K/Akt is involved in bufalin-induced apoptosis in gastric cancer cells.	CBLB
19549983	10.1126/scisignal.276pe38	2009	Activation of T cells: releasing the brakes by proteolytic elimination of Cbl-b.	CBLB
19549985	10.1126/scisignal.2000046	2009	PKC-theta modulates the strength of T cell responses by targeting Cbl-b for ubiquitination and degradation.	CBLB
18201552	10.1016/j.bbrc.2008.01.032	2008	Identification and functional analysis of CBLB mutations in type 1 diabetes.	CBLB
18227156	10.1128/MCB.01505-07	2008	T-cell receptor-induced NF-kappaB activation is negatively regulated by E3 ubiquitin ligase Cbl-b.	CBLB
18832689	10.4049/jimmunol.181.8.5331	2008	Casitas B-lineage lymphoma b inhibits antigen recognition and slows cell cycle progression at late times during CD4+ T cell clonal expansion.	CBLB
17038529	10.1182/blood-2006-03-011759	2007	ZAP-70 enhances B-cell-receptor signaling despite absent or inefficient tyrosine kinase activation in chronic lymphocytic leukemia and lymphoma B cells.	CBLB
17259398	10.2337/db06-1027	2007	Genetic reconstitution of autoimmune type 1 diabetes with two major susceptibility genes in the rat.	CBLB
17364027	10.1172/JCI29472	2007	Ablation of Cbl-b provides protection against transplanted and spontaneous tumors.	CBLB
17391982	10.1016/j.smim.2007.02.004	2007	Regulation of peripheral T cell tolerance by the E3 ubiquitin ligase Cbl-b.	CBLB
17403934	10.1084/jem.20061699	2007	Spontaneous tumor rejection by cbl-b-deficient CD8+ T cells.	CBLB
17878343	10.4049/jimmunol.179.7.4473	2007	Negative regulation of CD40-mediated B cell responses by E3 ubiquitin ligase Casitas-B-lineage lymphoma protein-B.	CBLB
17045823	10.1016/j.immuni.2006.08.021	2006	Establishment of the major compatibility complex-dependent development of CD4+ and CD8+ T cells by the Cbl family proteins.	CBLB
15629882	10.1189/jlb.0904524	2005	CBLB variants in type 1 diabetes and their genetic interaction with CTLA4.	CBLB
15661906	10.4049/jimmunol.174.3.1472	2005	Differential control of CD28-regulated in vivo immunity by the E3 ligase Cbl-b.	CBLB
15897618	10.1538/expanim.54.111	2005	Identification of a major gene responsible for type 1 diabetes in the Komeda diabetes-prone rat.	CBLB
11591765	10.4049/jimmunol.167.8.4405	2001	CXCR3 expression on CD34(+) hemopoietic progenitors induced by granulocyte-macrophage colony-stimulating factor: II. Signaling pathways involved.	CBLB
