pmid	doi	year	title	Hugo_Symbol
34472720	10.1002/cnr2.1545	2022	Genetic features of precursor B-cell phenotype Burkitt leukemia with IGH-MYC rearrangement.	CCND3
34596253	10.1002/hon.2930	2022	Chronic lymphocytic leukemia with t(6;14) (p21;q32) CCND3-IGH: CCND3 rearrangement does not necessarily define a cyclin D1-negative mantle cell lymphoma.	CCND3
34605949	10.1007/s00277-021-04671-0	2022	Characterization of molecular genetics and clinicopathology in thymic MALT lymphoma.	CCND3
34617271	10.1111/bjh.17874	2022	Epstein-Barr virus status of sporadic Burkitt lymphoma is associated with patient age and mutational features.	CCND3
35359039	10.3760/cma.j.cn112151-20210904-00647	2022	[Clinicopathological and molecular genetic features of cyclin D1-negative mantle cell lymphoma].	CCND3
35687490	10.1182/bloodadvances.2021006654	2022	Genomic characterization of lymphomas in patients with inborn errors of immunity.	CCND3
35794096	10.1038/s41467-022-31355-8	2022	Clinical relevance of molecular characteristics in Burkitt lymphoma differs according to age.	CCND3
35982976	10.3389/fonc.2022.934008	2022	Exploring the current molecular landscape and management of multiple myeloma patients with the t(11;14) translocation.	CCND3
33122824	10.1038/s41388-020-01532-4	2021	Fbxl8 suppresses lymphoma growth and hematopoietic transformation through degradation of cyclin D3.	CCND3
33332554	10.1084/jem.20201699	2021	Cyclin D3 drives inertial cell cycling in dark zone germinal center B cells.	CCND3
33399078	10.1016/j.esmoop.2020.100012	2021	Clonal evolution in diffuse large B-cell lymphoma with central nervous system recurrence.	CCND3
33747936	10.3389/fonc.2021.622648	2021	Genomic Mutation Profile of Primary Gastrointestinal Diffuse Large B-Cell Lymphoma.	CCND3
33969276	10.1097/HS9.0000000000000563	2021	Acquisition of <i>TCF3</i> and <i>CCND3</i> Mutations and Transformation to Burkitt Lymphoma in a Case of B-Cell Prolymphocytic Leukemia.	CCND3
34058070	10.1002/1878-0261.13033	2021	NGS-based liquid biopsy profiling identifies mechanisms of resistance to ALK inhibitors: a step toward personalized NSCLC treatment.	CCND3
34098582	10.1182/blood.2020007591	2021	MicroRNA-497/195 is tumor suppressive and cooperates with CDKN2A/B in pediatric acute lymphoblastic leukemia.	CCND3
34114641	10.14670/HH-18-351	2021	The pathologic diagnosis of mantle cell lymphoma.	CCND3
34627430	10.19746/j.cnki.issn.1009-2137.2021.05.019	2021	[Clinical Characteristics and Prognosis Affecting-Factors of the Patients with Burkitt Lymphoma].	CCND3
31688139	10.1097/PAS.0000000000001390	2020	Identification of CD5/Cyclin D1 Double-negative Pleomorphic Mantle Cell Lymphoma: A Clinicopathologic, Genetic, and Gene Expression Study.	CCND3
31773249	10.1007/s00428-019-02704-8	2020	Update on lymphoproliferative disorders of the gastrointestinal tract: disease spectrum from indolent lymphoproliferations to aggressive lymphomas.	CCND3
31849147	10.1111/cas.14286	2020	Abemaciclib, a CDK4/6 inhibitor, exerts preclinical activity against aggressive germinal center-derived B-cell lymphomas.	CCND3
32059783	10.1016/j.cell.2020.01.029	2020	Lymphoma Driver Mutations in the Pathogenic Evolution of an Iconic Human Autoantibody.	CCND3
32449435	10.1080/15476286.2020.1772559	2020	Burkitt lymphoma-related <i>TCF3</i> mutations alter TCF3 alternative splicing by disrupting hnRNPH1 binding.	CCND3
32738175	10.1002/hon.2784	2020	Targeted next-generation sequencing reveals molecular heterogeneity in non-chronic lymphocytic leukemia clonal B-cell lymphocytosis.	CCND3
33095873	10.1182/bloodadvances.2019001307	2020	Landscape of driver mutations and their clinical impacts in pediatric B-cell precursor acute lymphoblastic leukemia.	CCND3
33207194	10.1016/j.celrep.2020.108403	2020	Cyclin D3 Governs Clonal Expansion of Dark Zone Germinal Center B Cells.	CCND3
30538135	10.1182/blood-2018-07-862151	2019	<i>CCND2</i> and <i>CCND3</i> hijack immunoglobulin light-chain enhancers in cyclin D1<sup>-</sup> mantle cell lymphoma.	CCND3
30733272	10.3324/haematol.2018.207928	2019	Burkitt-like lymphoma with 11q aberration: a germinal center-derived lymphoma genetically unrelated to Burkitt lymphoma.	CCND3
31557894	10.3390/cancers11101427	2019	FOXO1 Confers Maintenance of the Dark Zone Proliferation and Survival Program and Can Be Pharmacologically Targeted in Burkitt Lymphoma.	CCND3
29071477	10.1007/s12185-017-2360-8	2018	Enforced expression of MIR142, a target of chromosome translocation in human B-cell tumors, results in B-cell depletion.	CCND3
29295643	10.1080/10428194.2017.1413186	2018	The genomic landscape of two Burkitt lymphoma cases and derived cell lines: comparison between primary and relapse samples.	CCND3
29622548	10.1182/blood-2017-10-813576	2018	Tight regulation of FOXO1 is essential for maintenance of B-cell precursor acute lymphoblastic leukemia.	CCND3
30381403	10.1182/bloodadvances.2018019398	2018	Recurrent <i>CCND3</i> mutations in <i>MLL</i>-rearranged acute myeloid leukemia.	CCND3
27493231	10.1136/jim-2016-000233	2017	Restoration of microRNA-212 causes a G0/G1 cell cycle arrest and apoptosis in adult T-cell leukemia/lymphoma cells by repressing CCND3 expression.	CCND3
27668411	10.1002/ijc.30444	2017	Synergy of interleukin 10 and toll-like receptor 9 signalling in B cell proliferation: Implications for lymphoma pathogenesis.	CCND3
28069605	10.1182/blood-2016-11-751024	2017	Splenic diffuse red pulp small B-cell lymphoma displays increased expression of cyclin D3 and recurrent CCND3 mutations.	CCND3
28148900	10.18632/oncotarget.14846	2017	Angioimmunoblastic T cell lymphoma: novel molecular insights by mutation profiling.	CCND3
28151717	10.1158/1078-0432.CCR-15-2869	2017	Synergistic Drug Combinations with a CDK4/6 Inhibitor in T-cell Acute Lymphoblastic Leukemia.	CCND3
28209658	10.3324/haematol.2016.156885	2017	Relevance of ID3-TCF3-CCND3 pathway mutations in pediatric aggressive B-cell lymphoma treated according to the non-Hodgkin Lymphoma Berlin-Frankfurt-Münster protocols.	CCND3
28607489	10.1038/nature22797	2017	The metabolic function of cyclin D3-CDK6 kinase in cancer cell survival.	CCND3
