pmid	doi	year	title	Hugo_Symbol
32401663	10.1080/15513815.2020.1764680	2022	PD-L1 and PD-L2 Mutations in Pediatric Hodgkin Lymphoma: Do They Have Any Prognostic Significance?	CD274
33722840	10.1136/jclinpath-2020-207280	2022	Real-world biomarker testing rate and positivity rate in NSCLC in Spain: Prospective Central Lung Cancer Biomarker Testing Registry (LungPath) from the Spanish Society of Pathology (SEAP).	CD274
33870634	10.1111/ajco.13549	2022	Suitability of endobronchial ultrasound-guided transbronchial needle aspiration samples for programmed death ligand-1 testing in non-small cell lung cancer, the Bristol experience.	CD274
34520052	10.1111/bjh.17793	2022	9p24.1 alterations and programmed cell death 1 ligand 1 expression in early stage unfavourable classical Hodgkin lymphoma: an analysis from the German Hodgkin Study Group NIVAHL trial.	CD274
34585994	10.1080/10428194.2021.1984454	2022	Characteristics and clinical correlation of TIM-3 and PD-1/PD-L1 expressions in leukemic cells and tumor microenvironment in newly diagnosed acute myeloid leukemia.	CD274
34841687	10.1111/1759-7714.14216	2022	Comprehensive analysis of PD-L1 in non-small cell lung cancer with emphasis on survival benefit, impact of driver mutation and histological types, and archival tissue.	CD274
34842351	10.1002/cam4.4462	2022	PD-L1 expression is associated with the spontaneous regression of patients with methotrexate-associated lymphoproliferative disorders.	CD274
34862664	10.1111/apm.13195	2022	Prognostic implications of the tumor immune microenvironment and immune checkpoint pathway in primary central nervous system diffuse large B-cell lymphoma in the North Indian population.	CD274
34903527	10.1101/gr.275911.121	2022	Diverse tumorigenic consequences of human papillomavirus integration in primary oropharyngeal cancers.	CD274
34936940	10.1016/j.ejca.2021.11.013	2022	Baseline PD-L1 expression and tumour-infiltrated lymphocyte status predict the efficacy of durvalumab consolidation therapy after chemoradiotherapy in unresectable locally advanced patients with non-small-cell lung cancer.	CD274
34959071	10.1016/j.molimm.2021.12.014	2022	HomA and HomB, outer membrane proteins of Helicobacter pylori down-regulate activation-induced cytidine deaminase (AID) and Ig switch germline transcription and thereby affect class switch recombination (CSR) of Ig genes in human B-cells.	CD274
34968160	10.1080/21655979.2021.2014617	2022	microRNA-20b-5p overexpression combing Pembrolizumab potentiates cancer cells to radiation therapy via repressing programmed death-ligand 1.	CD274
34996890	10.1038/s41598-021-02515-5	2022	The expression and clinical significance of programmed cell death receptor 1 and its ligand in tumor tissues of patients with extranodal nasal NK/T cell lymphoma.	CD274
35032188	10.1007/s00277-022-04760-8	2022	Prognostic implication of CTLA-4, PD-1, and PD-L1 expression in aggressive adult T-cell leukemia-lymphoma.	CD274
35165282	10.1038/s41467-022-28479-2	2022	EBV miRNAs BART11 and BART17-3p promote immune escape through the enhancer-mediated transcription of PD-L1.	CD274
35194801	10.1111/bjd.21063	2022	Expression of immune checkpoint molecules programmed death protein 1, programmed death-ligand 1 and inducible T-cell co-stimulator in mycosis fungoides and Sézary syndrome: association with disease stage and clinical outcome.	CD274
35344582	10.1182/blood.2021014007	2022	Extracellular vesicles and PD-L1 suppress macrophages, inducing therapy resistance in TP53-deficient B-cell malignancies.	CD274
35359004	10.1182/bloodadvances.2022007104	2022	SIRPα+ macrophages are increased in patients with FL who progress or relapse after frontline lenalidomide and rituximab.	CD274
35373781	10.23736/S2784-8671.22.07275-9	2022	PD-1 and PD-L1 expression in mycosis fungoides and Sézary Syndrome.	CD274
35417939	10.3324/haematol.2021.280352	2022	Genomic determinants impacting the clinical outcome of mogamulizumab treatment for adult T-cell leukemia/lymphoma.	CD274
35443604	10.7754/Clin.Lab.2021.210701	2022	Programmed Death Ligand-1 is Frequently Expressed in Primary Acute Myeloid Leukemia and B-Acute Lymphoblastic Leukemia.	CD274
35644823	10.1186/s43046-022-00121-8	2022	The prognostic role of PD-1, PD-L1, ALK, and ROS1 proteins expression in non-small cell lung carcinoma patients from Egypt.	CD274
35655072	10.1038/s41598-022-13101-8	2022	Plasma extracellular vesicles bearing PD-L1, CD40, CD40L or TNF-RII are significantly reduced after treatment of AIDS-NHL.	CD274
35680804	10.19746/j.cnki.issn.1009-2137.2022.03.018	2022	[Inhibitory Effect of Interference with PD-L1 Expression on B-cell lymphoma in Mice].	CD274
35741318	10.3390/diagnostics12061507	2022	Hodgkin Lymphoma: Biology and Differential Diagnostic Problem.	CD274
35764886	10.1038/s41598-022-15162-1	2022	Mutations in the miR-142 gene are not common in myeloproliferative neoplasms.	CD274
35767735	10.1182/bloodadvances.2022007046	2022	The identification of TCF1+ progenitor exhausted T cells in THRLBCL may predict a better response to PD-1/PD-L1 blockade.	CD274
35774848	10.1155/2022/3276925	2022	Identification of CXCR4 Upregulation in Diffuse Large B-Cell Lymphoma Associated with Prognostic Significance and Clinicopathological Characteristics.	CD274
35789115	10.1111/his.14718	2022	Hodgkinoid histiocytosis: an atypical nodal CD30 and S100-positive histiocytosis with eosinophilia.	CD274
35848760	10.1097/PAS.0000000000001899	2022	9p24.1 Genetic Alteration and PD-L1 Expression Are Characteristic of De Novo and Methotrexate-associated Epstein-Barr Virus-positive Hodgkin Lymphoma, But Not Methotrexate-associated Hodgkin-like Lesions.	CD274
35922773	10.1186/s12885-022-09803-x	2022	Expression of PD1 and PDL1 as immune-checkpoint inhibitors in mantle cell lymphoma.	CD274
31608729	10.1080/10428194.2019.1675880	2021	PD-1/PD-L1 expression in extramedullary lesions of acute myeloid leukemia.	CD274
32803453	10.1007/s00428-020-02901-w	2021	Clinicopathological analysis of neoplastic PD-L1-positive EBV<sup>+</sup> diffuse large B cell lymphoma, not otherwise specified, in a Japanese cohort.	CD274
32815748	10.1080/0284186X.2020.1806358	2021	Different expression of BRAFV600E, ALK and PD-L1 in melanoma in children and adolescents: a nationwide retrospective study in Finland in 1990-2014.	CD274
32871584	10.1182/blood.2020006464	2021	Spatial signatures identify immune escape via PD-1 as a defining feature of T-cell/histiocyte-rich large B-cell lymphoma.	CD274
32964767	10.1080/10428194.2020.1821011	2021	Frequent mutations in HLA and related genes in extranodal NK/T cell lymphomas.	CD274
33028589	10.1158/1078-0432.CCR-20-1457	2021	CD19-specific CAR T Cells that Express a PD-1/CD28 Chimeric Switch-Receptor are Effective in Patients with PD-L1-positive B-Cell Lymphoma.	CD274
33091534	10.1016/j.canlet.2020.10.024	2021	NLRP3 inflammasome upregulates PD-L1 expression and contributes to immune suppression in lymphoma.	CD274
