pmid	doi	year	title	Hugo_Symbol
34216243	10.1007/s00277-021-04572-2	2022	Liquid biopsies of plasma and cerebrospinal fluid are useful for detection of intravascular lymphoma with central nervous system symptoms alone.	CD79B
34232979	10.1182/blood.2020010039	2022	The alternative RelB NF-κB subunit is a novel critical player in diffuse large B-cell lymphoma.	CD79B
34448823	10.1182/bloodadvances.2021004212	2022	The molecular hallmarks of primary and secondary vitreoretinal lymphoma.	CD79B
34638136	10.1182/bloodadvances.2020003698	2022	Zanubrutinib monotherapy for relapsed or refractory non-germinal center diffuse large B-cell lymphoma.	CD79B
34654055	10.1182/bloodadvances.2021006034	2022	Diffuse large B-cell lymphomas in adults with aberrant coexpression of CD10, BCL6, and MUM1 are enriched in IRF4 rearrangements.	CD79B
34672246	10.1080/10428194.2021.1980214	2022	Cytoplasmic CD79a is a promising biomarker for B lymphoblastic leukemia follow up post CD19 CAR-T therapy.	CD79B
34904799	10.1056/NEJMoa2115304	2022	Polatuzumab Vedotin in Previously Untreated Diffuse Large B-Cell Lymphoma.	CD79B
34980599	10.1158/1078-0432.CCR-21-3261	2022	Anti-CD79B Antibody-Drug Conjugate DCDS0780A in Patients with B-Cell Non-Hodgkin Lymphoma: Phase 1 Dose-Escalation Study.	CD79B
35028710	10.1007/s00428-021-03265-5	2022	Cell-of-origin classification using the Hans and Lymph2Cx algorithms in primary cutaneous large B-cell lymphomas.	CD79B
35126963	10.1177/20406207211072839	2022	MYD88<sup>L265P</sup> and CD79B double mutations type (MCD type) of diffuse large B-cell lymphoma: mechanism, clinical characteristics, and targeted therapy.	CD79B
35169086	10.11477/mf.1436204531	2022	[Perspectives on Precision Medicine in Primary Central Nervous System Lymphoma].	CD79B
35179642	10.1007/s00277-021-04394-2	2022	CD20/CD79a/PAX5/CD3-negative post-transplant lymphoma with aberrant actin and desmin co-expression-a potential differential diagnostic pitfall between PTLD and PTSMT.	CD79B
35210172	10.1016/j.preteyeres.2022.101053	2022	Challenges in the diagnosis and management of vitreoretinal lymphoma - Clinical and basic approaches.	CD79B
35223507	10.3389/fonc.2022.824632	2022	<i>PIM1</i> and <i>CD79B</i> Mutation Status Impacts the Outcome of Primary Diffuse Large B-Cell Lymphoma of the CNS.	CD79B
35236331	10.1186/s12885-022-09237-5	2022	Prognostic mutational subtyping in de novo diffuse large B-cell lymphoma.	CD79B
35240681	10.1182/bloodadvances.2021006801	2022	A multicenter retrospective study of polatuzumab vedotin in patients with large B-cell lymphoma after CAR T-cell therapy.	CD79B
35255429	10.1016/j.anndiagpath.2021.151886	2022	De Novo CD5-positive diffuse large B-cell lymphoma: A genomic profiling study and prognostic analysis of 46 patients.	CD79B
35326604	10.3390/cancers14061453	2022	DLBCL 1L-What to Expect beyond R-CHOP?	CD79B
35401516	10.3389/fimmu.2022.842439	2022	Oncogenic Mutations and Tumor Microenvironment Alterations of Older Patients With Diffuse Large B-Cell Lymphoma.	CD79B
35484253	10.1007/s00277-022-04827-6	2022	Richter's syndrome in central nervous system with MYD88L265P and CD79b mutation responded well to ibrutinib containing chemotherapy: a case report and review of the literature.	CD79B
35538064	10.1038/s41467-022-30050-y	2022	The genomic and transcriptional landscape of primary central nervous system lymphoma.	CD79B
35554927	10.1002/eji.202149746	2022	Spatial transcriptome of a germinal center plasmablastic burst hints at MYD88/CD79B mutants-enriched diffuse large B-cell lymphomas.	CD79B
35646048	10.3389/fgene.2022.878618	2022	Whole-Genome/Exome Sequencing Uncovers Mutations and Copy Number Variations in Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System.	CD79B
35663281	10.1016/j.lrr.2022.100325	2022	Immunotherapy in indolent Non-Hodgkin's Lymphoma.	CD79B
35726803	10.1080/14737140.2022.2093191	2022	Polatuzumab vedotin in relapsed / refractory aggressive B-cell lymphoma.	CD79B
35759728	10.1182/blood.2022015926	2022	Aberrant expansion of spontaneous splenic germinal centers induced by hallmark genetic lesions of aggressive lymphoma.	CD79B
35764309	10.1111/bjh.18341	2022	The molecular rationale for the combination of polatuzumab vedotin plus rituximab in diffuse large B-cell lymphoma.	CD79B
35807041	10.3390/jcm11133748	2022	BeEAM High-Dose Chemotherapy with Polatuzumab (Pola-BeEAM) before ASCT in Patients with DLBCL-A Pilot Study.	CD79B
35908982	10.1016/j.blre.2022.100992	2022	Follicular lymphoma: The long and winding road leading to your cure?	CD79B
35917107	10.1111/bjh.18384	2022	United we stand: Double targeting of CD79B and CD20 in diffuse large B-cell lymphoma.	CD79B
35928872	10.3389/fonc.2022.932674	2022	Cell-Free DNA Sequencing of Intraocular Fluid as Liquid Biopsy in the Diagnosis of Vitreoretinal Lymphoma.	CD79B
35933930	10.1016/j.ctrv.2022.102443	2022	Treatment strategies for patients with diffuse large B-cell lymphoma.	CD79B
35937947	10.1155/2022/6441139	2022	Genomic Mutation Landscape of Primary Breast Lymphoma: Next-Generation Sequencing Analysis.	CD79B
35963895	10.1007/s00262-022-03267-5	2022	Characterization of anti-CD79b/CD3 bispecific antibody, a potential therapy for B cell malignancies.	CD79B
36006771	10.1097/PAS.0000000000001957	2022	Clinicopathologic Features and Genomic Signature of De Novo CD5+ Diffuse Large B-Cell Lymphoma: A Multicenter Collaborative Study.	CD79B
36051079	10.1002/jha2.428	2022	Targetable alterations in primary extranodal diffuse large B-cell lymphoma.	CD79B
36059608	10.3389/fonc.2022.955080	2022	Circulating cell-free DNA and IL-10 from cerebrospinal fluids aid primary vitreoretinal lymphoma diagnosis.	CD79B
36081566	10.3389/fonc.2022.941347	2022	Molecular subtyping of CD5+ diffuse large B-cell lymphoma based on DNA-targeted sequencing and Lymph2Cx.	CD79B
32273478	10.3324/haematol.2020.251579	2021	Genetic lesions in MYC and STAT3 drive oncogenic transcription factor overexpression in plasmablastic lymphoma.	CD79B
32500753	10.1080/14712598.2020.1777979	2021	Polatuzumab vedotin for the treatment of adults with relapsed or refractory diffuse large B-cell lymphoma.	CD79B
32583848	10.1093/neuonc/noaa145	2021	Phase I/II study of tirabrutinib, a second-generation Bruton's tyrosine kinase inhibitor, in relapsed/refractory primary central nervous system lymphoma.	CD79B
32954807	10.2217/fon-2020-0675	2021	Polatuzumab vedotin, an anti-CD79b antibody-drug conjugate for the treatment of relapsed/refractory diffuse large B-cell lymphoma.	CD79B
33202420	10.1182/blood.2020008520	2021	EBV-associated primary CNS lymphoma occurring after immunosuppression is a distinct immunobiological entity.	CD79B
33232972	10.1182/blood.2020005244	2021	Adaptive T-cell immunity controls senescence-prone MyD88- or CARD11-mutant B-cell lymphomas.	CD79B
33273056	10.1158/1535-7163.MCT-20-0046	2021	An Anti-CD22-<i>seco</i>-CBI-Dimer Antibody-Drug Conjugate (ADC) for the Treatment of Non-Hodgkin Lymphoma That Provides a Longer Duration of Response than Auristatin-Based ADCs in Preclinical Models.	CD79B
33314668	10.1111/ijlh.13420	2021	Downregulation of Lymphoid enhancer-binding factor 1 (LEF-1) expression (by immunohistochemistry and/ flow cytometry) in chronic Lymphocytic Leukemia with atypical immunophenotypic and cytologic features.	CD79B
33452395	10.1038/s41598-021-81000-5	2021	EBF1 drives hallmark B cell gene expression by enabling the interaction of PAX5 with the MLL H3K4 methyltransferase complex.	CD79B
33452446	10.1038/s42003-020-01591-z	2021	CD79a promotes CNS-infiltration and leukemia engraftment in pediatric B-cell precursor acute lymphoblastic leukemia.	CD79B
33479306	10.1038/s41598-020-80376-0	2021	Proposal and validation of a method to classify genetic subtypes of diffuse large B cell lymphoma.	CD79B
33512416	10.1182/blood.2020007245	2021	Frequent genetic alterations in immune checkpoint-related genes in intravascular large B-cell lymphoma.	CD79B
33561953	10.3390/cancers13040650	2021	Spatial Heterogeneity in Large Resected Diffuse Large B-Cell Lymphoma Bulks Analysed by Massively Parallel Sequencing of Multiple Synchronous Biopsies.	CD79B
33562532	10.3390/cancers13040630	2021	Large-Scale Proteomic Analysis of Follicular Lymphoma Reveals Extensive Remodeling of Cell Adhesion Pathway and Identifies Hub Proteins Related to the Lymphomagenesis.	CD79B
33581493	10.1016/j.ctarc.2021.100310	2021	Diversity of genetic alterations of primary central nervous system lymphoma in Hispanic versus non-Hispanic patients.	CD79B
33583077	10.1002/hon.2842	2021	Real-life experience with the combination of polatuzumab vedotin, rituximab, and bendamustine in aggressive B-cell lymphomas.	CD79B
33639170	10.1016/j.jbc.2021.100465	2021	TNF receptor-associated factor 3 restrains B-cell receptor signaling in normal and malignant B cells.	CD79B
33747936	10.3389/fonc.2021.622648	2021	Genomic Mutation Profile of Primary Gastrointestinal Diffuse Large B-Cell Lymphoma.	CD79B
33777778	10.3389/fonc.2021.628807	2021	Mutational Profile and Clonal Evolution of Relapsed/Refractory Diffuse Large B-Cell Lymphoma.	CD79B
33935029	10.5045/br.2021.2020320	2021	Novel combination immunochemotherapy beyond CD20 for B-cell lymphomas.	CD79B
33940156	10.1016/j.ymthe.2021.04.038	2021	Composite CD79A/CD40 co-stimulatory endodomain enhances CD19CAR-T cell proliferation and survival.	CD79B
33942442	10.1111/cas.14937	2021	A phase 2 study of polatuzumab vedotin + bendamustine + rituximab in relapsed/refractory diffuse large B-cell lymphoma.	CD79B
34061467	10.1002/cam4.3983	2021	A new score including CD43 and CD180: Increased diagnostic value for atypical chronic lymphocytic leukemia.	CD79B
