pmid	doi	year	title	Hugo_Symbol
33509441	10.1053/j.seminhematol.2020.11.008	2022	A pilot clinical trial of oral tetrahydrouridine/decitabine for noncytotoxic epigenetic therapy of chemoresistant lymphoid malignancies.	CDKN2A
33870156	10.1016/j.jhepr.2021.100250	2022	Genetic or pharmacological reduction of cholangiocyte senescence improves inflammation and fibrosis in the <i>Mdr2</i> <sup><i>-/-</i></sup>  mouse.	CDKN2A
33932086	10.1002/1878-0261.12964	2022	An in vivo genome-wide shRNA screen identifies BCL6 as a targetable biomarker of paclitaxel resistance in breast cancer.	CDKN2A
34115902	10.1111/ced.14798	2022	The novel AKT inhibitor afuresertib suppresses human Merkel cell carcinoma MKL-1 cell growth.	CDKN2A
34217275	10.1186/s12920-021-01023-9	2022	Hypodiploidy in a pediatric patient of T-cell acute lymphoblastic leukemia: a case report.	CDKN2A
34308104	10.1093/jncics/pkab007	2022	Frequency of Pathogenic Germline Variants in Cancer-Susceptibility Genes in the Childhood Cancer Survivor Study.	CDKN2A
34369425	10.1097/FPC.0000000000000451	2022	The functional role of inherited CDKN2A variants in childhood acute lymphoblastic leukemia.	CDKN2A
34371436	10.1016/j.leukres.2021.106683	2022	Proposal and clinical application of molecular genetic risk scoring system, MRplus, for BCR-ABL1 negative pediatric B-cell acute lymphoblastic leukemia- report from a single centre.	CDKN2A
34440292	10.3390/genes12081118	2022	T-Cell Acute Lymphoblastic Leukemia: Biomarkers and Their Clinical Usefulness.	CDKN2A
34448823	10.1182/bloodadvances.2021004212	2022	The molecular hallmarks of primary and secondary vitreoretinal lymphoma.	CDKN2A
34591292	10.1007/s12185-021-03229-0	2022	Successful treatment of hepatosplenic T-cell lymphoma with fludarabine, high-dose cytarabine and subsequent unrelated umbilical cord blood transplantation.	CDKN2A
34657128	10.1038/s41375-021-01448-2	2022	Prognostic impact of chromosomal abnormalities and copy number alterations in adult B-cell precursor acute lymphoblastic leukaemia: a UKALL14 study.	CDKN2A
34670378	10.21037/apm-21-2256	2022	Neurolymphomatosis of multifocal peripheral nerve involvement: a case report.	CDKN2A
34727170	10.1182/bloodadvances.2021005522	2022	Decreased IL-10 accelerates B-cell leukemia/lymphoma in a mouse model of pediatric lymphoid leukemia.	CDKN2A
34787376	10.1002/cnr2.1587	2022	Philadelphia-like acute lymphoblastic leukemia: Characterization in a pediatric cohort in a referral center in Colombia.	CDKN2A
34807923	10.1371/journal.pone.0259674	2022	Establishment of the TBX-code reveals aberrantly activated T-box gene TBX3 in Hodgkin lymphoma.	CDKN2A
34808593	10.1016/j.cancergen.2021.10.003	2022	Clinical utility of chromosomal microarray in establishing clonality and high risk features in patients with Richter transformation.	CDKN2A
34821038	10.1111/ijlh.13769	2022	T cell lymphoblastic lymphoma with uncommon CD20 expression.	CDKN2A
34940123	10.3390/cimb43030149	2022	Molecular Genetics of Pre-B Acute Lymphoblastic Leukemia Sister Cell Lines during Disease Progression.	CDKN2A
34957727	10.2478/raon-2021-0050	2022	Clinical impacts of copy number variations in B-cell differentiation and cell cycle control genes in pediatric B-cell acute lymphoblastic leukemia: a single centre experience.	CDKN2A
34980830	10.1097/PAS.0000000000001859	2022	Clinicopathologic and Genetic Features of Primary T-cell Lymphomas of the Central Nervous System: An Analysis of 11 Cases Using Targeted Gene Sequencing.	CDKN2A
35028710	10.1007/s00428-021-03265-5	2022	Cell-of-origin classification using the Hans and Lymph2Cx algorithms in primary cutaneous large B-cell lymphomas.	CDKN2A
35074700	10.1016/j.prp.2022.153772	2022	Malignant pleural mesothelioma with an EML4-ALK fusion: Expect the unexpected!	CDKN2A
35115489	10.1038/s41467-022-28218-7	2022	An instructive role for Interleukin-7 receptor α in the development of human B-cell precursor leukemia.	CDKN2A
35117001	10.21037/tcr.2019.10.04	2022	Prognostic relevance of genetic variations in T-cell acute lymphoblastic leukemia/lymphoblastic lymphoma.	CDKN2A
35117454	10.21037/tcr.2019.12.79	2022	MicorRNA-148b inhibits cell proliferation and facilitates cell apoptosis by regulating DNA Methyltransferase 1 in endometrial cancer.	CDKN2A
35142151	10.3324/haematol.2021.279908	2022	A pilot study of the use of dynamic analysis of cell-free DNA from aqueous humor and vitreous fluid for the diagnosis and treatment monitoring of vitreoretinal lymphomas.	CDKN2A
35247197	10.1007/s12094-022-02781-3	2022	Distinct power of bone marrow microRNA signatures and tumor suppressor genes for early detection of acute leukemia.	CDKN2A
35373885	10.1002/pbc.29575	2022	Retrospective and integrative analyses of molecular characteristics and their specific imaging parameters in pediatric grade 1 gliomas.	CDKN2A
35538064	10.1038/s41467-022-30050-y	2022	The genomic and transcriptional landscape of primary central nervous system lymphoma.	CDKN2A
35726642	10.1161/HYPERTENSIONAHA.122.19137	2022	Cathepsin K Deficiency Prevented Kidney Damage and Dysfunction in Response to 5/6 Nephrectomy Injury in Mice With or Without Chronic Stress.	CDKN2A
35910501	10.6004/jadpro.2022.13.5.7	2022	An Approach to Diagnosis of Richter Transformation in Chronic Lymphocytic Leukemia.	CDKN2A
35932035	10.1186/s12920-022-01325-6	2022	Association of IKZF1 and CDKN2A gene polymorphisms with childhood acute lymphoblastic leukemia: a high-resolution melting analysis.	CDKN2A
36000950	10.1002/pbc.29926	2022	Diverse mutations and structural variations contribute to Notch signaling deregulation in paediatric T-cell lymphoblastic lymphoma.	CDKN2A
36006308	10.3390/vetsci9080393	2022	Simultaneous Analysis of the p16 Gene and Protein in Canine Lymphoma Cells and Their Correlation with pRb Phosphorylation.	CDKN2A
25289094	10.3892/ol.2014.2481	2021	Knockdown of DNA methyltransferase-1 inhibits proliferation and derepresses tumor suppressor genes in myeloma cells.	CDKN2A
