pmid	doi	title	Hugo_Symbol
36048893	10.1093/ajcp/aqac104	Systemic Presentation of Somatic TET2 Mutated B-Cell Lymphoma in a Child With Kabuki Syndrome and a Germline KMT2D Variant.	CXCR4
36030395	10.1111/ejh.13856	A comparison of four leukapheresis methods to harvest an optimal dose of CD34+ cells: A single center experience.	CXCR4
35954476	10.3390/cancers14153814	The Role of [<sup>68</sup>Ga]Ga-Pentixafor PET/CT or PET/MRI in Lymphoma: A Systematic Review.	CXCR4
35884548	10.3390/cancers14143488	Clinical Applications of Immuno-PET in Lymphoma: A Systematic Review.	CXCR4
35877223	10.3390/curroncol29070363	Concurrent Waldenstrom's Macroglobulinemia and Myelodysplastic Syndrome with a Sequent t(10;13)(p13;q22) Translocation.	CXCR4
35842683	10.1186/s13287-022-03011-x	Prostaglandin E1 reduces apoptosis and improves the homing of mesenchymal stem cells in pulmonary arterial hypertension by regulating hypoxia-inducible factor 1 alpha.	CXCR4
35802888	10.1080/10428194.2022.2074986	CXCR4 expression of multiple myeloma as a dynamic process: influence of therapeutic agents.	CXCR4
35794478	10.1038/s41586-022-04906-8	Super-enhancer hypermutation alters oncogene expression in B cell lymphoma.	CXCR4
35774848	10.1155/2022/3276925	Identification of CXCR4 Upregulation in Diffuse Large B-Cell Lymphoma Associated with Prognostic Significance and Clinicopathological Characteristics.	CXCR4
35770040	10.2147/TCRM.S338655	Zanubrutinib in Treating Waldenström Macroglobulinemia, the Last Shall Be the First.	CXCR4
35738903	10.2967/jnumed.122.264207	C-X-C Motif Chemokine Receptor 4-Targeted Radioligand Therapy in Patients with Advanced T-Cell Lymphoma.	CXCR4
35695746	10.1080/17474086.2022.2089110	Positron emission tomography/magnetic resonance imaging (PET/MRI) vs. gastroscopy: Can it improve detection of extranodal marginal zone lymphomas of the stomach following <i>H. pylori</i> treatment?	CXCR4
35674738	10.1007/s00259-022-05849-y	CXCR4-targeted theranostics in oncology.	CXCR4
35608747	10.1007/s11033-022-07163-0	Molecular effects of genistein, as a potential anticancer agent, on CXCR-4 and VEGF pathway in acute lymphoblastic leukemia.	CXCR4
35522562	10.1002/path.5924	CXCR4 mediates leukemic cell migration and survival in the testicular microenvironment.	CXCR4
35510210	10.1177/20406207221093962	Treatment paradigm in Waldenström macroglobulinemia: frontline therapy and beyond.	CXCR4
35454017	10.3390/diagnostics12040969	Nucleic Acid Biomarkers in Waldenström Macroglobulinemia and IgM-MGUS: Current Insights and Clinical Relevance.	CXCR4
35450208	10.1177/20406207221090886	Updates in hairy cell leukemia (HCL) and variant-type HCL (HCL-V): rationale for targeted treatments with a focus on ibrutinib.	CXCR4
35421785	10.1016/j.biopha.2022.112940	A diphtheria toxin-based nanoparticle achieves specific cytotoxic effect on CXCR4<sup>+</sup> lymphoma cells without toxicity in immunocompromised and immunocompetent mice.	CXCR4
35385630		Plerixafor on a WHIM - Promise or Fantasy of a New CXCR4 Inhibitor for This Rare, but Important Syndrome?	CXCR4
35358350	10.1002/ajh.26552	First- versus second-generation Bruton tyrosine kinase inhibitors in Waldenström's Macroglobulinemia: A systematic review and meta-analysis.	CXCR4
35339405	10.1016/j.clml.2022.02.005	SOHO State of the Art Updates and Next Questions: Targeted therapies and emerging novel treatment approaches for Waldenström Macroglobulinemia.	CXCR4
35316324	10.1182/blood.2021014723	Concurrent CDX2 cis-deregulation and UBTF::ATXN7L3 fusion define a novel high-risk subtype of B-cell ALL.	CXCR4
35255429	10.1016/j.anndiagpath.2021.151886	De Novo CD5-positive diffuse large B-cell lymphoma: A genomic profiling study and prognostic analysis of 46 patients.	CXCR4
35241482	10.2967/jnumed.121.263693	Imaging of C-X-C Motif Chemokine Receptor 4 Expression in 690 Patients with Solid or Hematologic Neoplasms using <sup>68</sup>Ga-PentixaFor PET.	CXCR4
35181615		Morphoproteomics Identifies SIRT1, EZH2 and CXCR4 Pathways in Diffuse Large B-Cell Lymphoma: Therapeutic Implications.	CXCR4
35149705	10.1038/s41598-022-05857-w	Cell surface expression of GRP78 and CXCR4 is associated with childhood high-risk acute lymphoblastic leukemia at diagnostics.	CXCR4
35149375	10.1016/j.ctarc.2022.100527	Current approach to Waldenström Macroglobulinemia.	CXCR4
35087759	10.3389/fonc.2021.801124	Determinants of Drug Resistance in B-Cell Non-Hodgkin Lymphomas: The Case of Lymphoplasmacytic Lymphoma/Waldenström Macroglobulinemia.	CXCR4
35078860	10.1158/1078-0432.CCR-21-3284	Targeting Refractory Mantle Cell Lymphoma for Imaging and Therapy Using C-X-C Chemokine Receptor Type 4 Radioligands.	CXCR4
35057088	10.3390/pharmaceutics14010192	Time-Prolonged Release of Tumor-Targeted Protein-MMAE Nanoconjugates from Implantable Hybrid Materials.	CXCR4
35037561	10.1080/10428194.2021.2020776	Clinical effects of a single dose of cannabinoids to patients with chronic lymphocytic leukemia.	CXCR4
35028611	10.1016/j.xcrm.2021.100470	Targeted blockade of immune mechanisms inhibit B precursor acute lymphoblastic leukemia cell invasion of the central nervous system.	CXCR4
35020191	10.1111/bjh.18036	Diagnosis and management of Waldenström macroglobulinaemia-A British Society for Haematology guideline.	CXCR4
34990523	10.4143/crt.2021.944	Predictive Parameters of Febrile Neutropenia and Clinical Significance of G-CSF Receptor Signaling Pathway in the Development of Neutropenia During R-CHOP Chemotherapy with Prophylactic Pegfilgrastim in Patients with Diffuse Large B-Cell Lymphoma.	CXCR4
34990302	10.1080/21655979.2021.2017590	Propofol induces the apoptosis of neural stem cells via microRNA-9-5p / chemokine CXC receptor 4 signaling pathway.	CXCR4
