pmid	doi	year	title	Hugo_Symbol
33579790	10.1136/gutjnl-2020-322935	2022	Oncogenetic landscape of lymphomagenesis in coeliac disease.	DDX3X
35726023	10.1038/s41684-022-00998-x	2022	The genomic landscape of canine diffuse large B-cell lymphoma identifies distinct subtypes with clinical and therapeutic implications.	DDX3X
35794096	10.1038/s41467-022-31355-8	2022	Clinical relevance of molecular characteristics in Burkitt lymphoma differs according to age.	DDX3X
35815807	10.1158/0008-5472.CAN-21-2454	2022	The X-Linked Helicase DDX3X Is Required for Lymphoid Differentiation and MYC-Driven Lymphomagenesis.	DDX3X
35882439	10.1182/bloodadvances.2022007541	2022	Genetic and immunohistochemical profiling of NK/T-cell Lymphomas reveals prognostically relevant BCOR-MYC association.	DDX3X
36000950	10.1002/pbc.29926	2022	Diverse mutations and structural variations contribute to Notch signaling deregulation in paediatric T-cell lymphoblastic lymphoma.	DDX3X
32732362	10.3324/haematol.2020.254276	2021	Genetic manipulation of primary human natural killer cells to investigate the functional and oncogenic roles of PRDM1.	DDX3X
33808787	10.3390/cancers13061414	2021	EBV and the Pathogenesis of NK/T Cell Lymphoma.	DDX3X
34437837	10.1016/j.molcel.2021.07.041	2021	Sequential inverse dysregulation of the RNA helicases DDX3X and DDX3Y facilitates MYC-driven lymphomagenesis.	DDX3X
34624215	10.1016/j.molcel.2021.09.009	2021	Sex, life, and death in MYC-driven lymphomagenesis.	DDX3X
34654425	10.1186/s12943-021-01437-0	2021	DDX3X loss is an adverse prognostic marker in diffuse large B-cell lymphoma and is associated with chemoresistance in aggressive non-Hodgkin lymphoma subtypes.	DDX3X
31738823	10.1182/blood.2019002699	2020	Distinct molecular profile of IRF4-rearranged large B-cell lymphoma.	DDX3X
31822801	10.1038/s41379-019-0415-5	2020	Mutational profile and EBV strains of extranodal NK/T-cell lymphoma, nasal type in Latin America.	DDX3X
32363958	10.1177/0300060520918087	2020	CD56-positive diffuse large B-cell lymphoma/leukemia with <i>BCL6/MYC</i> double-hit and multiple gene mutations: an indicator of poor prognosis?	DDX3X
32843425	10.1101/mcs.a004994	2020	Failure of tofacitinib to achieve an objective response in a <i>DDX3X-MLLT10</i> T-lymphoblastic leukemia with activating <i>JAK3</i> mutations.	DDX3X
33376237	10.1038/s41392-020-00331-3	2020	Combination of anti-PD-1 antibody with P-GEMOX as a potentially effective immunochemotherapy for advanced natural killer/T cell lymphoma.	DDX3X
30563911	10.1101/gr.241141.118	2019	Human papillomavirus and the landscape of secondary genetic alterations in oral cancers.	DDX3X
30664667	10.1038/s41564-018-0334-0	2019	Defective Epstein-Barr virus in chronic active infection and haematological malignancy.	DDX3X
30733272	10.3324/haematol.2018.207928	2019	Burkitt-like lymphoma with 11q aberration: a germinal center-derived lymphoma genetically unrelated to Burkitt lymphoma.	DDX3X
31123138	10.1136/jclinpath-2019-205727	2019	Intravascular NK/T-cell lymphoma: clinicopathological and integrated molecular analysis of two cases provides a clue to disease pathogenesis.	DDX3X
31300419	10.1182/bloodadvances.2018029546	2019	Sporadic and endemic Burkitt lymphoma have frequent <i>FOXO1</i> mutations but distinct hotspots in the AKT recognition motif.	DDX3X
31305266	10.1097/PAS.0000000000001324	2019	Chronic Active Epstein-Barr Virus Infection of T/NK-Cell Type Mimicking Classic Hodgkin Lymphoma: Clinicopathologic and Genetic Features of 8 Cases Supporting a Variant With ""Hodgkin/Reed-Sternberg-like"" Cells of NK Phenotype.	DDX3X
31311407	10.1080/15384047.2019.1638670	2019	Somatic mutations in <i>KMT2D</i> and <i>TET2</i> associated with worse prognosis in Epstein-Barr virus-associated T or natural killer-cell lymphoproliferative disorders.	DDX3X
31391454	10.1038/s41419-019-1825-5	2019	Avenanthramide A triggers potent ROS-mediated anti-tumor effects in colorectal cancer by directly targeting DDX3.	DDX3X
29674644	10.1038/s41467-018-03987-2	2018	Aggressive natural killer-cell leukemia mutational landscape and drug profiling highlight JAK-STAT signaling as therapeutic target.	DDX3X
29896680	10.1007/978-981-10-7230-7_21	2018	EBV in T-/NK-Cell Tumorigenesis.	DDX3X
30134235	10.1159/000492835	2018	Frequent Mutations in Natural Killer/T Cell Lymphoma.	DDX3X
30209976	10.1080/15384101.2018.1522912	2018	PTPN14 regulates Roquin2 stability by tyrosine dephosphorylation.	DDX3X
28033648	10.1002/gcc.22439	2017	Characterisation of the genomic landscape of CRLF2-rearranged acute lymphoblastic leukemia.	DDX3X
29375552	10.3389/fimmu.2017.01867	2017	Chronic Active Epstein-Barr Virus Disease.	DDX3X
26773734	10.1002/gcc.22348	2016	Frequent BCOR aberrations in extranodal NK/T-Cell lymphoma, nasal type.	DDX3X
25466511	10.1016/j.ejca.2014.10.017	2015	Differential proteomic analysis of endemic and sporadic Epstein-Barr virus-positive and negative Burkitt lymphoma.	DDX3X
26192917	10.1038/ng.3358	2015	Exome sequencing identifies somatic mutations of DDX3X in natural killer/T-cell lymphoma.	DDX3X
24584351	10.3324/haematol.2013.101725	2014	DDX3X-MLLT10 fusion in adults with NOTCH1 positive T-cell acute lymphoblastic leukemia.	DDX3X
23673860	10.1182/blood-2013-02-487256	2013	New MLLT10 gene recombinations in pediatric T-acute lymphoblastic leukemia.	DDX3X
14729942	10.1074/mcp.D300003-MCP200	2004	Identification of phosphoproteins and their phosphorylation sites in the WEHI-231 B lymphoma cell line.	DDX3X
