pmid	doi	year	title	Hugo_Symbol
34308104	10.1093/jncics/pkab007	2022	Frequency of Pathogenic Germline Variants in Cancer-Susceptibility Genes in the Childhood Cancer Survivor Study.	DICER1
33625672	10.1007/s12094-021-02569-x	2021	Hypoxia-mediated down-regulation of miRNAs' biogenesis promotes tumor immune escape in bladder cancer.	DICER1
31055868	10.1111/jdv.15652	2020	Low Drosha protein expression in cutaneous T-cell lymphoma is associated with worse disease outcome.	DICER1
32211398	10.3389/fbioe.2020.00179	2020	Identification of Familial Hodgkin Lymphoma Predisposing Genes Using Whole Genome Sequencing.	DICER1
29708584	10.1002/ijc.31576	2019	Whole genome sequencing reveals DICER1 as a candidate predisposing gene in familial Hodgkin lymphoma.	DICER1
30357359	10.1093/nar/gky946	2019	Aberrant splicing in B-cell acute lymphoblastic leukemia.	DICER1
30422774	10.1148/rg.2018180192	2019	Primary Lung Tumors in Children: Radiologic-Pathologic Correlation From the Radiologic Pathology Archives.	DICER1
30563911	10.1101/gr.241141.118	2019	Human papillomavirus and the landscape of secondary genetic alterations in oral cancers.	DICER1
31090156	10.1111/iep.12316	2019	The impact of variations in transcription of DICER and AGO2 on exacerbation of childhood B-cell lineage acute lymphoblastic leukaemia.	DICER1
26849145	10.18632/oncotarget.7162	2017	Impaired expression of DICER and some microRNAs in HBZ expressing cells from acute adult T-cell leukemia patients.	DICER1
28562508	10.1097/MPH.0000000000000863	2017	Biallelic PMS2 Mutation and Heterozygous DICER1 Mutation Presenting as Constitutional Mismatch Repair Deficiency With Corpus Callosum Agenesis: Case Report and Review of Literature.	DICER1
26526666	10.1007/s00431-015-2660-z	2016	Hodgkin lymphoma as a novel presentation of familial DICER1 syndrome.	DICER1
24857210	10.3760/cma.j.issn.0253-2727.2014.05.007	2015	[Association of microRNA-related genes (DROSHA, DICER1 and GEMIN4) polymorphisms with T-cell lymphoma prognosis].	DICER1
25195038	10.1007/s12032-014-0206-2	2015	Downregulated expression of Dicer1 predicts inferior survival in primary gastrointestinal diffuse large B-cell lymphoma treated with CHOP-like regimen and rituximab.	DICER1
25979949	10.1182/blood-2014-12-618892	2015	Dicer1 imparts essential survival cues in Notch-driven T-ALL via miR-21-mediated tumor suppressor Pdcd4 repression.	DICER1
23418872	10.3109/10428194.2013.777068	2014	Mutation analysis of DICER1 gene in hematologic tumors.	DICER1
24013023	10.1016/j.semcancer.2013.08.005	2014	A review of the current understanding and clinical utility of miRNAs in esophageal cancer.	DICER1
22310293	10.1038/onc.2012.15	2013	Inhibition of miR-9 de-represses HuR and DICER1 and impairs Hodgkin lymphoma tumour outgrowth in vivo.	DICER1
22905260	10.1371/journal.pone.0043343	2013	RNA inhibition highlights cyclin D1 as a potential therapeutic target for mantle cell lymphoma.	DICER1
23251602	10.1371/journal.pone.0051640	2013	Variation in dicer gene is associated with increased survival in T-cell lymphoma.	DICER1
23297232	10.1073/pnas.1206761110	2013	tRNA-derived microRNA modulates proliferation and the DNA damage response and is down-regulated in B cell lymphoma.	DICER1
21937200	10.1016/j.jdermsci.2011.08.011	2012	High expression of Dicer reveals a negative prognostic influence in certain subtypes of primary cutaneous T cell lymphomas.	DICER1
22350759	10.1007/s11010-012-1261-7	2012	Biogenesis of Epstein-Barr virus microRNAs.	DICER1
20587524	10.1158/0008-5472.CAN-09-4736	2010	MicroRNA biogenesis is required for Myc-induced B-cell lymphoma development and survival.	DICER1
