pmid	doi	year	title	Hugo_Symbol
30122995	10.2147/CMAR.S157632	2022	Clinical and biological implications of <i>IDH1/2</i> in acute myeloid leukemia with <i>DNMT3A</i><sup>mut</sup>.	DNMT3A
30122998	10.2147/CMAR.S166714	2022	Biological and clinical influences of <i>NPM1</i> in acute myeloid leukemia patients with <i>DNMT3A</i> mutations.	DNMT3A
33849798	10.1016/j.clml.2021.03.002	2022	Clinicopathological Implications of RHOA Mutations in Angioimmunoblastic T-Cell Lymphoma: A Meta-analysis: RHOA mutations in AITL.	DNMT3A
34078586	10.1016/j.clml.2021.04.014	2022	Genetic Heterogeneity in Chronic Myeloid Leukemia: How Clonal Hematopoiesis and Clonal Evolution May Influence Prognosis, Treatment Outcome, and Risk of Cardiovascular Events.	DNMT3A
34164626	10.1158/2643-3230.BCD-20-0203	2022	Dissecting Clonal Hematopoiesis in Tissues of Classical Hodgkin Lymphoma Patients.	DNMT3A
34230442	10.1097/CCO.0000000000000773	2022	Epigenetic focus on angioimmunoblastic T-cell lymphoma: pathogenesis and treatment.	DNMT3A
34376373	10.1016/j.clml.2021.07.011	2022	Prognostic Impact of Concurrent DNMT3A, FLT3 and NPM1 Gene Mutations in Acute Myeloid Leukemia Patients.	DNMT3A
34751409	10.3892/or.2021.8221	2022	KLF4, DAPK1 and SPG20 promoter methylation is not affected by DNMT1 silencing and hypomethylating drugs in lymphoma cells.	DNMT3A
34840089	10.1016/j.clml.2021.10.015	2022	Excellent Prognosis of Low-Risk Myelodysplastic Syndromes (MDS) Without Detectable Myeloid-Related Mutations.	DNMT3A
34847227	10.1182/bloodadvances.2021004926	2022	Clonal hematopoiesis is associated with increased risk of progression of asymptomatic Waldenström macroglobulinemia.	DNMT3A
34926267	10.3389/fonc.2021.765544	2022	<i>SEPT6</i>_<i>TRIM33</i> Gene Fusion and Mutated TP53 Pathway Associate With Unfavorable Prognosis in Patients With B-Cell Lymphomas.	DNMT3A
34998786	10.1016/j.clml.2021.12.008	2022	The Application of NextGen Sequencing in the Diagnosis of Myeloid Neoplasms in Myeloma Patients With Cytopenia.	DNMT3A
35027675	10.1038/s41409-022-01567-z	2022	Clonal evolution in patients developing therapy-related myeloid neoplasms following autologous stem cell transplantation.	DNMT3A
35027991		2022	Update on recurrent mutations in angioimmunoblastic T-cell lymphoma.	DNMT3A
35064935	10.1111/his.14619	2022	Parallel evolution of two distinct lymphoid proliferations in clonal haematopoiesis.	DNMT3A
35247197	10.1007/s12094-022-02781-3	2022	Distinct power of bone marrow microRNA signatures and tumor suppressor genes for early detection of acute leukemia.	DNMT3A
35256801	10.1038/s41591-022-01708-3	2022	High burden of clonal hematopoiesis in first responders exposed to the World Trade Center disaster.	DNMT3A
35280829	10.3389/fonc.2022.811151	2022	Prognostic Significance of Comprehensive Gene Mutations and Clinical Characteristics in Adult T-Cell Acute Lymphoblastic Leukemia Based on Next-Generation Sequencing.	DNMT3A
35301414	10.1038/s41379-022-01022-w	2022	Nodal cytotoxic peripheral T-cell lymphoma occurs frequently in the clinical setting of immunodysregulation and is associated with recurrent epigenetic alterations.	DNMT3A
35380239	10.1007/s00277-022-04806-x	2022	The role of clonal hematopoiesis as driver of therapy-related myeloid neoplasms after autologous stem cell transplantation.	DNMT3A
35385357	10.1073/pnas.2120787119	2022	Transcriptome-wide subtyping of pediatric and adult T cell acute lymphoblastic leukemia in an international study of 707 cases.	DNMT3A
35459427	10.1080/10428194.2022.2064987	2022	Prognostic impact of early minimal residual disease combined with complete molecular evaluation in acute myeloid leukemia with mutated <i>NPM1</i>: a single center study.	DNMT3A
35533245	10.1158/2643-3230.BCD-21-0177	2022	Clonal Hematopoiesis Is Associated with Increased Risk of Severe Neurotoxicity in Axicabtagene Ciloleucel Therapy of Large B-Cell Lymphoma.	DNMT3A
35577752	10.1016/j.clml.2022.04.015	2022	Epigenetic Aberrations and Targets in Peripheral T-Cell Lymphoma.	DNMT3A
35593442	10.1177/23247096221097523	2022	DNA Methyl Transferase 3A (DNMT3A) Mutation Presenting as Isolated Pure Red Cell Aplasia.	DNMT3A
35639959	10.1182/blood.2021015019	2022	DNMT3A mutations define a unique biological and prognostic subgroup associated with cytotoxic T-cells in PTCL-NOS.	DNMT3A
35652795	10.1080/10428194.2022.2081323	2022	The characteristics and clinical prognosis analysis of ASXL1 mutations in Chinese adult patients with primary cytogenetically normal acute myeloid leukemia by next-generation sequencing.	DNMT3A
35835912	10.1038/s41588-022-01121-z	2022	Genome-wide analyses of 200,453 individuals yield new insights into the causes and consequences of clonal hematopoiesis.	DNMT3A
35846192	10.1002/jha2.354	2022	T-cell lymphoma, B-cell lymphoma, and myelodysplastic syndrome harboring common mutations: Trilineage tumorigenesis from a common founder clone.	DNMT3A
35895386	10.1111/bjd.21791	2022	Primary cutaneous peripheral T-cell lymphomas with a T-follicular helper phenotype: an integrative clinical, pathological and molecular case series study.	DNMT3A
35995702	10.1016/j.clml.2022.07.009	2022	Real-World Efficacy of 5-Azacytidine as Salvage Chemotherapy for Angioimmunoblastic T-cell Lymphoma.	DNMT3A
36012614	10.3390/ijms23169349	2022	Angioimmunoblastic T-Cell Lymphoma with Exuberant CD30-Positive Follicular Dendritic Cell Proliferation in a SARS-CoV-2 Patient: The Role of Mutational Analysis to Exclude an Associated Follicular Dendritic Cell Sarcoma.	DNMT3A
36093687	10.3233/CBM-220013	2022	TET-2 mutations predict poor outcomes and are associated with unfavorable clinical-biological features in PTCL, not otherwise specified and angioimmunoblastic T-cell lymphoma in Brazilian patients.	DNMT3A
25289094	10.3892/ol.2014.2481	2021	Knockdown of DNA methyltransferase-1 inhibits proliferation and derepresses tumor suppressor genes in myeloma cells.	DNMT3A
30583461	10.3390/cancers11010011	2021	Comprehensive Genomic Profiling Reveals Diverse but Actionable Molecular Portfolios across Hematologic Malignancies: Implications for Next Generation Clinical Trials.	DNMT3A
31028364	10.1038/s41379-019-0279-8	2021	Whole exome sequencing reveals mutations in FAT1 tumor suppressor gene clinically impacting on peripheral T-cell lymphoma not otherwise specified.	DNMT3A
