pmid	doi	year	title	Hugo_Symbol
35030632	10.1182/bloodadvances.2021006410	2022	Distinct clinical and genetic features of hepatitis B virus-associated follicular lymphoma in Chinese patients.	DUSP2
35646048	10.3389/fgene.2022.878618	2022	Whole-Genome/Exome Sequencing Uncovers Mutations and Copy Number Variations in Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System.	DUSP2
30213827	10.3324/haematol.2018.203224	2020	<i>JUNB</i>, <i>DUSP2</i>, <i>SGK1</i>, <i>SOCS1</i> and <i>CREBBP</i> are frequently mutated in T-cell/histiocyte-rich large B-cell lymphoma.	DUSP2
28879465	10.1007/s00292-017-0335-4	2019	[Nodular lymphocyte-dominant Hodgkin's lymphoma : LP cells show recurrent mutations in DUSP2, SGK1 and JUNB].	DUSP2
29989027	10.18632/oncotarget.25601	2019	New generation sequencing of targeted genes in the classical and the variant form of hairy cell leukemia highlights mutations in epigenetic regulation genes.	DUSP2
26658840	10.1038/leu.2015.328	2016	Highly recurrent mutations of SGK1, DUSP2 and JUNB in nodular lymphocyte predominant Hodgkin lymphoma.	DUSP2
22980495	10.1179/1607845412Y.0000000028	2013	Alteration of the gene expression profile of T-cell receptor αβ-modified T-cells with diffuse large B-cell lymphoma specificity.	DUSP2
22473939	10.1002/ajh.23184	2012	Inherited genetic variation and overall survival following follicular lymphoma.	DUSP2
20723301		2011	[Influence of dipyridamole on expression of PAC-1 and CD62p in patients with malignant lymphoma].	DUSP2
17827388	10.1182/blood-2007-05-088682	2008	Genetic variation in 1253 immune and inflammation genes and risk of non-Hodgkin lymphoma.	DUSP2
