pmid	doi	year	title	Hugo_Symbol
34371436	10.1016/j.leukres.2021.106683	2022	Proposal and clinical application of molecular genetic risk scoring system, MRplus, for BCR-ABL1 negative pediatric B-cell acute lymphoblastic leukemia- report from a single centre.	EBF1
34461601	10.1016/j.ebiom.2021.103559	2022	Loss of synergistic transcriptional feedback loops drives diverse B-cell cancers.	EBF1
34657128	10.1038/s41375-021-01448-2	2022	Prognostic impact of chromosomal abnormalities and copy number alterations in adult B-cell precursor acute lymphoblastic leukaemia: a UKALL14 study.	EBF1
35182476	10.1016/j.molcel.2022.01.015	2022	EBF1 nuclear repositioning instructs chromatin refolding to promote therapy resistance in T leukemic cells.	EBF1
35245453	10.1016/j.molcel.2022.02.015	2022	How to resist Notch-targeted T-leukemia therapy: Lineage- and MYC enhancer switch.	EBF1
35289450	10.1111/ped.14955	2022	Early diagnosis of EBF1-PDGFRB-positive acute lymphoblastic leukemia.	EBF1
35650277	10.1038/s41416-022-01806-6	2022	Measurable residual disease analysis in paediatric acute lymphoblastic leukaemia patients with ABL-class fusions.	EBF1
30335886	10.1002/jcb.27177	2021	EBF1 gene promotes the proliferation and inhibits the apoptosis of bone marrow CD34+ cells in patients with myelodysplastic syndrome through negative regulation of mitogen-activated protein kinase axis.	EBF1
31558067	10.1080/10428194.2019.1668938	2021	Efficacy of imatinib and chemotherapy in a pediatric patient with Philadelphia-like acute lymphoblastic leukemia with <i>Ebf1-Pdgfrb</i> fusion transcript.	EBF1
32068648	10.1097/MPH.0000000000001743	2021	B-Cell Precursor-Acute Lymphoblastic Leukemia With EBF1-PDGFRB Fusion Treated With Hematopoietic Stem Cell Transplantation and Imatinib: A Case Report and Literature Review.	EBF1
32364535	10.1172/JCI126726	2021	Genomic and epigenomic EBF1 alterations modulate TERT expression in gastric cancer.	EBF1
32467145	10.3324/haematol.2020.247973	2021	Philadelphia-like acute lymphoblastic leukemia is associated with minimal residual disease persistence and poor outcome. First report of the minimal residual disease-oriented GIMEMA LAL1913.	EBF1
32592278	10.1002/gcc.22882	2021	Frequency and prognostic impact of PAX5 p.P80R in pediatric acute lymphoblastic leukemia patients treated on an AIEOP-BFM acute lymphoblastic leukemia protocol.	EBF1
33004416	10.1101/gad.340216.120	2021	EBF1 and Pax5 safeguard leukemic transformation by limiting IL-7 signaling, Myc expression, and folate metabolism.	EBF1
33150465	10.1007/s00277-020-04332-8	2021	Effective treatment with imatinib for acute B-lymphoblastic leukaemia with EBF1-PDGFRB fusion.	EBF1
33369444	10.31557/APJCP.2020.21.12.3493	2021	Frequency and Correlation of Common Genes Copy Number Alterations in Childhood Acute Lymphoblastic Leukemia with Prognosis.	EBF1
33395752	10.1016/j.tranon.2020.100977	2021	Biomarkers of response to ibrutinib plus nivolumab in relapsed diffuse large B-cell lymphoma, follicular lymphoma, or Richter's transformation.	EBF1
33452395	10.1038/s41598-021-81000-5	2021	EBF1 drives hallmark B cell gene expression by enabling the interaction of PAX5 with the MLL H3K4 methyltransferase complex.	EBF1
33619557	10.1182/blood.2020009564	2021	EBF1 and PAX5 control pro-B cell expansion via opposing regulation of the Myc gene.	EBF1
33646306	10.1182/bloodadvances.2020001844	2021	Genome-wide interference of ZNF423 with B-lineage transcriptional circuitries in acute lymphoblastic leukemia.	EBF1
33707599	10.1038/s41598-021-85213-6	2021	Philadelphia chromosome-negative B-cell acute lymphoblastic leukaemia with kinase fusions in Taiwan.	EBF1
34535769	10.1038/s41388-021-02012-z	2021	Identification of mutations that cooperate with defects in B cell transcription factors to initiate leukemia.	EBF1
34824268	10.1038/s41467-021-27232-5	2021	Single-cell analysis identifies dynamic gene expression networks that govern B cell development and transformation.	EBF1
29931583	10.1007/s10637-018-0623-8	2020	Dual targeting of bromodomain-containing 4 by AZD5153 and BCL2 by AZD4320 against B-cell lymphomas concomitantly overexpressing c-MYC and BCL2.	EBF1
30874617	10.1038/s41598-019-41078-4	2020	Copy number alterations in B-cell development genes, drug resistance, and clinical outcome in pediatric B-cell precursor acute lymphoblastic leukemia.	EBF1
32054837	10.1038/s41467-019-14152-8	2020	Epigenetic specifications of host chromosome docking sites for latent Epstein-Barr virus.	EBF1
32522871	10.1073/pnas.1921139117	2020	Functional interplay of Epstein-Barr virus oncoproteins in a mouse model of B cell lymphomagenesis.	EBF1
32661308	10.1038/s41598-020-68311-9	2020	MLPA and DNA index improve the molecular diagnosis of childhood B-cell acute lymphoblastic leukemia.	EBF1
29348129	10.1182/blood-2017-07-796862	2019	Genomic CDKN2A/2B deletions in adult Ph<sup>+</sup> ALL are adverse despite allogeneic stem cell transplantation.	EBF1
