pmid	doi	title	Hugo_Symbol
35675522	10.1182/bloodadvances.2022007725	ETS1 is a novel transcriptional regulator of adult T-cell leukemia/lymphoma of North American descent.	ETS1
34763718	10.1186/s13046-021-02159-3	ASB2 is a direct target of FLI1 that sustains NF-κB pathway activation in germinal center-derived diffuse large B-cell lymphoma.	ETS1
33537078	10.7150/thno.52677	Conditioned medium from adipose-derived stem cells attenuates ischemia/reperfusion-induced cardiac injury through the microRNA-221/222/PUMA/ETS-1 pathway.	ETS1
33512466	10.1182/blood.2020010175	OBF1 and Oct factors control the germinal center transcriptional program.	ETS1
33479306	10.1038/s41598-020-80376-0	Proposal and validation of a method to classify genetic subtypes of diffuse large B cell lymphoma.	ETS1
32924017	10.1158/2643-3230.BCD-20-0026	Combinatorial ETS1-dependent control of oncogenic NOTCH1 enhancers in T-cell leukemia.	ETS1
32679859	10.3390/cancers12071912	Role of ETS1 in the Transcriptional Network of Diffuse Large B Cell Lymphoma of the Activated B Cell-Like Type.	ETS1
31181104	10.1371/journal.pone.0217542	A transcriptional signature associated with non-Hodgkin lymphoma in the blood of patients with Q fever.	ETS1
30940846	10.1038/s41598-019-41805-x	Insertional mutagenesis using the Sleeping Beauty transposon system identifies drivers of erythroleukemia in mice.	ETS1
30733272	10.3324/haematol.2018.207928	Burkitt-like lymphoma with 11q aberration: a germinal center-derived lymphoma genetically unrelated to Burkitt lymphoma.	ETS1
29512921	10.1111/jcmm.13525	ETS1 and SP1 drive DHX15 expression in acute lymphoblastic leukaemia.	ETS1
28270453	10.1182/blood-2016-09-742148	Activation of the <i>LMO2</i> oncogene through a somatically acquired neomorphic promoter in T-cell acute lymphoblastic leukemia.	ETS1
28264017	10.1371/journal.pone.0173298	NCOA1 is a novel susceptibility gene for multiple myeloma in the Chinese population: A case-control study.	ETS1
25795716	10.3324/haematol.2015.124305	Post-transplant molecularly defined Burkitt lymphomas are frequently MYC-negative and characterized by the 11q-gain/loss pattern.	ETS1
25791160	10.5301/jbm.5000134	Identification of biomarkers for the prognosis of pancreatic ductal adenocarcinoma with miRNA microarray data.	ETS1
25363344	10.3109/10428194.2014.981670	The transcription factor ETS1 in lymphomas: friend or foe?	ETS1
25279986	10.1016/j.ajhg.2014.09.004	Genome-wide association study identifies five susceptibility loci for follicular lymphoma outside the HLA region.	ETS1
25229333	10.18632/oncotarget.2399	Binding of a Smad4/Ets-1 complex to a novel intragenic regulatory element in exon12 of FPGS underlies decreased gene expression and antifolate resistance in leukemia.	ETS1
25210949	10.1111/jcmm.12399	HMGB1 mediates hyperglycaemia-induced cardiomyocyte apoptosis via ERK/Ets-1 signalling pathway.	ETS1
25145835	10.1111/bjh.13079	The oncogenic JUNB/CD30 axis contributes to cell cycle deregulation in ALK+ anaplastic large cell lymphoma.	ETS1
24491024	10.3109/10428194.2014.889824	Long-term effect of curcumin down-regulates expression of tumor necrosis factor-α and interleukin-6 via modulation of E26 transformation-specific protein and nuclear factor-κB transcription factors in livers of lymphoma bearing mice.	ETS1
24398325	10.1182/blood-2013-06-507996	A recurrent 11q aberration pattern characterizes a subset of MYC-negative high-grade B-cell lymphomas resembling Burkitt lymphoma.	ETS1
23926301	10.1182/blood-2013-01-475772	Deregulation of ETS1 and FLI1 contributes to the pathogenesis of diffuse large B-cell lymphoma.	ETS1
23522449	10.1016/j.leukres.2013.02.019	MicroRNA profiling reveals aberrant microRNA expression in adult ETP-ALL and functional studies implicate a role for miR-222 in acute leukemia.	ETS1
23246696	10.1016/j.gene.2012.12.009	Regulation of the MIR155 host gene in physiological and pathological processes.	ETS1
22920872	10.1051/medsci/2012288012	[Deciphering functional activity of TLX homeodomain oncogenes in T-ALL: a clue for a differentiating therapy?].	ETS1
22890838	10.1002/ijc.27774	High-resolution genomic profiling reveals clonal evolution and competition in gastrointestinal marginal zone B-cell lymphoma and its large cell variant.	ETS1
22581005	10.3324/haematol.2012.061770	ETS1 encoding a transcription factor involved in B-cell differentiation is recurrently deleted and down-regulated in classical Hodgkin's lymphoma.	ETS1
22516263	10.1016/j.ccr.2012.02.013	TLX homeodomain oncogenes mediate T cell maturation arrest in T-ALL via interaction with ETS1 and suppression of TCRα gene expression.	ETS1
22211287	10.1111/j.1365-2559.2011.04086.x	Intramucosal variant of nasal natural killer (NK)/T cell lymphoma has a better survival than does invasive variant: implication on loss of E26 transformation-specific sequence 1 (ETS-1) and T-box expressed in T cells (T-bet) with invasion.	ETS1
22150124	10.1111/j.1365-2141.2011.08962.x	Behind the scenes of non-nodal MCL: downmodulation of genes involved in actin cytoskeleton organization, cell projection, cell adhesion, tumour invasion, TP53 pathway and mutated status of immunoglobulin heavy chain genes.	ETS1
21329961	10.1016/j.humpath.2009.11.022	Transcription factors engaged in development of NK cells are commonly expressed in nasal NK/T-cell lymphomas.	ETS1
20511667	10.3324/haematol.2009.021428	Disturbed expression of the T-cell receptor/CD3 complex and associated signaling molecules in CD30+ T-cell lymphoproliferations.	ETS1
17397260	10.1371/journal.ppat.0030044	Systematic identification of cellular signals reactivating Kaposi sarcoma-associated herpesvirus.	ETS1
15889157	10.1038/sj.leu.2403787	Transcriptional regulation of parathyroid hormone-related protein promoter P3 by ETS-1 in adult T-cell leukemia/lymphoma.	ETS1
15369140	10.1111/j.1749-0774.2004.tb00079.x	Transcription factor expression in cell lines derived from natural killer-cell and natural killer-like T-cell leukemia-lymphoma.	ETS1
14557674	10.1159/000072964	Regulation of the human leukemia inhibitory factor gene by ETS transcription factors.	ETS1
8891896	10.1002/(sici)1097-4644(19960915)62:4&lt;506::aid-jcb8&gt;3.0.co;2-q	Heat shock inhibits pre-rRNA processing at the primary site in vitro and alters the activity of some rRNA binding proteins.	ETS1
8139017	10.1128/JVI.68.4.2320-2330.1994	Effects of provirus integration in the Tpl-1/Ets-1 locus in Moloney murine leukemia virus-induced rat T-cell lymphomas: levels of expression, polyadenylation, transcriptional initiation, and differential splicing of the Ets-1 mRNA.	ETS1
8280137	10.1006/bbrc.1993.2608	Sequence specific binding of the transcription factor c-Ets1 to the human immunodeficiency virus type I long terminal repeat.	ETS1
8350410	10.1128/JVI.67.9.5522-5528.1993	Activation of the human T-cell leukemia virus type I enhancer is mediated by binding sites for Elf-1 and the pets factor.	ETS1
8361234		Regulation of human T cell receptor beta gene expression by Ets-1.	ETS1
8330281	10.1016/0165-4608(93)90071-s	DNA fragments of altered electrophoretic mobility in leukemia samples can arise from double-strand DNA breaks at nuclease hypersensitive sites of active genes.	ETS1
1742746		Rearrangements on chromosome 11q23 in hematopoietic tumor-associated t(11;14) and t(11;19) translocations.	ETS1
2013228	10.1159/000133062	Relationship of the human protooncogene CBL2 on 11q23 to the t(4;11), t(11;22), and t(11;14) breakpoints.	ETS1
1829960	10.1002/gcc.2870030108	CD3G is within 200 kb of the leukemic t(4;11) translocation breakpoint.	ETS1
2251277	10.1073/pnas.87.23.9358	Mapping chromosome band 11q23 in human acute leukemia with biotinylated probes: identification of 11q23 translocation breakpoints with a yeast artificial chromosome.	ETS1
2528035	10.1016/0145-2126(89)90164-1	Deletion of c-ets1 and T3 gamma loci from the 11q- chromosome in the human monoblastic cell line U937.	ETS1
2461869	10.1007/BF01939909	Restriction fragment length polymorphisms in the ETS-1 proto-oncogene. Comparison of Saudi and Western populations.	ETS1
25210949	10.1111/jcmm.12399	HMGB1 mediates hyperglycaemia-induced cardiomyocyte apoptosis via ERK/Ets-1 signalling pathway.	ETS1
23926301	10.1182/blood-2013-01-475772	Deregulation of ETS1 and FLI1 contributes to the pathogenesis of diffuse large B-cell lymphoma.	ETS1
14557674	10.1159/000072964	Regulation of the human leukemia inhibitory factor gene by ETS transcription factors.	ETS1
29512921	10.1111/jcmm.13525	ETS1 and SP1 drive DHX15 expression in acute lymphoblastic leukaemia.	ETS1
22516263	10.1016/j.ccr.2012.02.013	TLX homeodomain oncogenes mediate T cell maturation arrest in T-ALL via interaction with ETS1 and suppression of TCRα gene expression.	ETS1
17397260	10.1371/journal.ppat.0030044	Systematic identification of cellular signals reactivating Kaposi sarcoma-associated herpesvirus.	ETS1
25279986	10.1016/j.ajhg.2014.09.004	Genome-wide association study identifies five susceptibility loci for follicular lymphoma outside the HLA region.	ETS1
