pmid	doi	year	title	Hugo_Symbol
34162179	10.3324/haematol.2021.278743	2022	Response and resistance to CDK12 inhibition in aggressive B-cell lymphomas.	EZH2
34382383	10.3324/haematol.2020.263251	2022	Whole-genome profiling of primary cutaneous anaplastic large cell lymphoma.	EZH2
34601504	10.1038/s41379-021-00938-z	2022	Histopathologic, immunophenotypic, and mutational landscape of follicular lymphomas with plasmacytic differentiation.	EZH2
34655667	10.1016/j.canlet.2021.10.010	2022	EZH2 inhibition confers PIK3CA-driven lung tumors enhanced sensitivity to PI3K inhibition.	EZH2
34788984	10.3324/haematol.2021.279177	2022	Genetic and genomic analysis of acute lymphoblastic leukemia in older adults reveals a distinct profile of abnormalities: analysis of 210 patients from the UKALL14 and UKALL60+ clinical trials.	EZH2
34793663	10.4143/crt.2021.1121	2022	Hypo-trimethylation of Histone H3 Lysine 4 and Hyper-tri/dimethylation of Histone H3 Lysine 27 as Epigenetic Markers of Poor Prognosis in Patients with Primary Central Nervous System Lymphoma.	EZH2
34837284	10.1111/cas.15224	2022	Decreased expression of T-cell-associated immune markers predicts poor prognosis in patients with follicular lymphoma.	EZH2
34904909	10.1080/14656566.2021.2014815	2022	Tazemetostat: a treatment option for relapsed/refractory follicular lymphoma.	EZH2
34957565	10.1002/path.5861	2022	Widespread in situ follicular neoplasia in patients who subsequently developed follicular lymphoma.	EZH2
35022084	10.1186/s13046-021-02234-9	2022	The follicular lymphoma epigenome regulates its microenvironment.	EZH2
35031597	10.1038/s41420-022-00819-7	2022	ALKBH5-mediated N<sup>6</sup>-methyladenosine modification of TRERNA1 promotes DLBCL proliferation via p21 downregulation.	EZH2
35034955	10.1038/s41375-021-01494-w	2022	Inhibition of the deubiquitinating enzyme USP47 as a novel targeted therapy for hematologic malignancies expressing mutant EZH2.	EZH2
35045798	10.1080/10428194.2021.2024821	2022	High grade B-cell lymphoma with <i>MYC</i>, <i>BCL2</i> and/or <i>BCL6</i> rearrangements: unraveling the genetic landscape of a rare aggressive subtype of non-Hodgkin lymphoma.	EZH2
35082399	10.1038/s41417-021-00415-4	2022	CDK12 activates MYC to repress miR-28-5p/EZH2 and amplifies tonic BCR signaling to promote the development of diffuse large B-cell lymphoma.	EZH2
35086959	10.1158/1535-7163.MCT-21-0216	2022	Acquired Resistance to EZH2 Inhibitor GSK343 Promotes the Differentiation of Human DLBCL Cell Lines toward an ABC-Like Phenotype.	EZH2
35151584	10.1016/j.clml.2021.12.014	2022	Combination of Atezolizumab and Tazemetostat in Patients With Relapsed/Refractory Diffuse Large B-Cell Lymphoma: Results From a Phase Ib Study.	EZH2
35157216	10.1007/s12325-022-02054-z	2022	A Matching-Adjusted Indirect Comparison of Single-Arm Trials in Patients with Relapsed or Refractory Follicular Lymphoma Who Received at Least Two Prior Systemic Treatments: Tazemetostat was Associated with a Lower Risk for Safety Outcomes Versus the PI3-Kinase Inhibitors Idelalisib, Duvelisib, Copanlisib, and Umbralisib.	EZH2
35173526	10.7150/ijbs.64752	2022	SOX8 Affects Tumoral SPARC Expression by Regulating EZH2 to Attenuate Effectiveness of albumin-bound paclitaxel in PDAC.	EZH2
35180337	10.46883.2022.25920946	2022	Follicular Lymphoma: a Focus on Current and Emerging Therapies	EZH2
35181615		2022	Morphoproteomics Identifies SIRT1, EZH2 and CXCR4 Pathways in Diffuse Large B-Cell Lymphoma: Therapeutic Implications.	EZH2
35236331	10.1186/s12885-022-09237-5	2022	Prognostic mutational subtyping in de novo diffuse large B-cell lymphoma.	EZH2
35247900	10.1158/2643-3230.BCD-21-0098	2022	Identification and Targeting of the Developmental Blockade in Extranodal Natural Killer/T-cell Lymphoma.	EZH2
35250278	10.2147/OTT.S267011	2022	Targeted Therapy for Relapsed/Refractory Follicular Lymphoma: Focus on Clinical Utility of Tazemetostat.	EZH2
35253299	10.1002/gcc.23036	2022	CRLF2 overexpression defines an immature-like subgroup which is rescued through restoration of the PRC2 function in T-cell precursor acute lymphoblastic leukemia.	EZH2
35357654	10.1007/s13402-022-00663-y	2022	BCL6 and the Notch pathway: a signaling axis leading to a novel druggable biotarget in triple negative breast cancer.	EZH2
35369397	10.6004/jadpro.2022.13.2.7	2022	Tazemetostat: EZH2 Inhibitor.	EZH2
