pmid	doi	title	Hugo_Symbol
35861049	10.1002/jsfa.12141	Research on apoptotic mechanism and related pathways involving in postmortem grass carp (Ctenopharyngodon idellus) muscle.	FAS
35858181	10.1002/hon.3054	Comparison of efficacy and safety of ripertamab (SCT400) versus rituximab (Mabthera<sup>®</sup> ) in combination with CHOP in patients with previously untreated CD20-positive diffuse large B-cell lymphoma: A randomized, single-blind, phase III clinical trial.	FAS
35809312	10.14715/cmb/2022.68.1.24	Effects of 7,12-Dimethylbenz(a)anthracene on Apoptosis of Breast Cancer Cells through Regulating Expressions of FasL and Bcl-2.	FAS
35789025	10.1002/hon.3045	Mechanisms underlying synergism between circularized tumor necrosis factor-related apoptosis inducing ligand and bortezomib in bortezomib-sensitive or -resistant myeloma cells.	FAS
35722364	10.21037/atm-22-2233	Mitochondria-specific peptide amphiphiles induce mitochondrial dysfunction and peripheral T-cell lymphomas (PTCL) damage.	FAS
35687490	10.1182/bloodadvances.2021006654	Genomic characterization of lymphomas in patients with inborn errors of immunity.	FAS
35646685	10.3389/fonc.2022.713476	A Combination of Cytokine-Induced Killer Cells With PD-1 Blockade and ALK Inhibitor Showed Substantial Intrinsic Variability Across Non-Small Cell Lung Cancer Cell Lines.	FAS
35641486	10.1038/s41419-022-04946-y	Hepatocyte Bcl-3 protects from death-receptor mediated apoptosis and subsequent acute liver failure.	FAS
35637951	10.7150/ijbs.68016	The Classical Apoptotic Adaptor FADD Regulates Glycolytic Capacity in Acute Lymphoblastic Leukemia.	FAS
35512184	10.1182/blood.2022015601	Risk assessment with low-pass whole-genome sequencing of cell-free DNA before CD19 CAR T-cell therapy for large B-cell lymphoma.	FAS
35479087	10.3389/fimmu.2022.841299	Inhibition of O-GlcNAcylation Decreases the Cytotoxic Function of Natural Killer Cells.	FAS
35447282	10.1016/j.canlet.2022.215678	MORTALIN-Ca<sup>2+</sup> axis drives innate rituximab resistance in diffuse large B-cell lymphoma.	FAS
35413358	10.1016/j.jad.2022.04.021	Neuroprotective role of Bacopa monnieri extract in modulating depression in an experimental rat model.	FAS
35393909	10.1080/09513590.2022.2061454	Effects of clinical and metabolic variables and hormones on the expression of immune protein biomarkers in the endometrium of women with polycystic ovary syndrome and normal-cycling controls.	FAS
35378398	10.1016/j.ecoenv.2022.113471	Complex molecular mechanism of ammonia-induced apoptosis in chicken peripheral blood lymphocytes: miR-27b-3p, heat shock proteins, immunosuppression, death receptor pathway, and mitochondrial pathway.	FAS
35280407	10.21037/atm-22-91	Mechanism of protective role of miR-874-3p in intervertebral disc degeneration.	FAS
35218445	10.1007/s11033-022-07280-w	Resistance to obinutuzumab-induced antibody-dependent cellular cytotoxicity caused by abnormal Fas signaling is overcome by combination therapies.	FAS
35214193	10.3390/pharmaceutics14020466	Hyaluronic Acid Nanoparticles for Immunogenic Chemotherapy of Leukemia and T-Cell Lymphoma.	FAS
35136485	10.18632/oncotarget.28189	GZ17-6.02 and axitinib interact to kill renal carcinoma cells.	FAS
35036396	10.3389/fped.2021.798959	Case Report: Autoimmune Lymphoproliferative Syndrome vs. Chronic Active Epstein-Barr Virus Infection in Children: A Diagnostic Challenge.	FAS
35035775	10.18632/oncotarget.28177	GZ17-6.02 and palbociclib interact to kill ER+ breast cancer cells.	FAS
35030634	10.1182/bloodadvances.2021006280	Indirect comparison of tisagenlecleucel and historical treatments for relapsed/refractory diffuse large B-cell lymphoma.	FAS
35030632	10.1182/bloodadvances.2021006410	Distinct clinical and genetic features of hepatitis B virus-associated follicular lymphoma in Chinese patients.	FAS
34999105	10.1016/j.chemosphere.2022.133550	Exploration of binding mechanism of triclosan towards cancer markers using molecular docking and molecular dynamics.	FAS
34980830	10.1097/PAS.0000000000001859	Clinicopathologic and Genetic Features of Primary T-cell Lymphomas of the Central Nervous System: An Analysis of 11 Cases Using Targeted Gene Sequencing.	FAS
34896245	10.1016/j.exphem.2021.12.193	Lipid uptake in chronic lymphocytic leukemia.	FAS
34848457	10.21873/anticanres.15422	Characteristics of Human Peripheral Blood γδ T Cells Expanded With Zoledronate.	FAS
34831003	10.3390/cancers13225849	AKF-D52, a Synthetic Phenoxypyrimidine-Urea Derivative, Triggers Extrinsic/Intrinsic Apoptosis and Cytoprotective Autophagy in Human Non-Small Cell Lung Cancer Cells.	FAS
34752896	10.1016/j.cbpc.2021.109241	Excessive manganese alters serum biochemical indices, induces histopathological alterations, and activates apoptosis in liver and cerebrum of Jianzhou Da'er goat (Capra hircus).	FAS
34627429	10.19746/j.cnki.issn.1009-2137.2021.05.018	[Relationships between CASP8, Fas Gene Polymorphisms and the Prognosis of Patients with Non-Hodgkin's Lymphoma in Han Nationality].	FAS
34615417	10.1080/19396368.2021.1980132	The balance between cell survival and death in the placenta: Do neurotrophins have a role?	FAS
