pmid	doi	year	title	Hugo_Symbol
33811277	10.1007/s10689-021-00244-2	2022	Constitutional 2p16.3 deletion including MSH6 and FBXO11 in a boy with developmental delay and diffuse large B-cell lymphoma.	FBXO11
34472720	10.1002/cnr2.1545	2022	Genetic features of precursor B-cell phenotype Burkitt leukemia with IGH-MYC rearrangement.	FBXO11
34625792	10.1182/bloodadvances.2021005682	2022	Frequent mutations of FBXO11 highlight BCL6 as a therapeutic target in Burkitt lymphoma.	FBXO11
31743519	10.1002/jcla.23122	2021	A long non-coding RNA LNBC3 facilitates non-small cell lung cancer progression by stabilizing BCL6.	FBXO11
33914737	10.1371/journal.pone.0237830	2021	Loss-of-function of Fbxo10, encoding a post-translational regulator of BCL2 in lymphomas, has no discernible effect on BCL2 or B lymphocyte accumulation in mice.	FBXO11
31042473	10.1016/j.celrep.2019.04.014	2020	Aryl Hydrocarbon Receptor Interacting Protein Maintains Germinal Center B Cells through Suppression of BCL6 Degradation.	FBXO11
31365872	10.1016/j.celrep.2019.06.079	2020	CRISPR/Cas9 Screens Reveal Multiple Layers of B cell CD40 Regulation.	FBXO11
28142295	10.1080/10428194.2017.1283029	2018	Identification of a tumor suppressor network in T-cell leukemia.	FBXO11
29154209	10.1016/j.molimm.2017.11.011	2018	External signals regulate germinal center fate-determining transcription factors in the A20 lymphoma cell line.	FBXO11
24349473	10.1371/journal.pone.0083244	2015	Whole exome sequencing identifies novel recurrently mutated genes in patients with splenic marginal zone lymphoma.	FBXO11
22113614	10.1038/nature10688	2012	FBXO11 targets BCL6 for degradation and is inactivated in diffuse large B-cell lymphomas.	FBXO11
