pmid	doi	year	title	Hugo_Symbol
33431788	10.1038/s41392-020-00437-8	2022	CREBBP/EP300 mutations promoted tumor progression in diffuse large B-cell lymphoma through altering tumor-associated macrophage polarization via FBXW7-NOTCH-CCL2/CSF1 axis.	FBXW7
33611795	10.1002/gcc.22943	2022	MYB rearrangements and over-expression in T-cell acute lymphoblastic leukemia.	FBXW7
35116617	10.21037/tcr-20-3473	2022	Complex genetic alterations contribute to rapid disease progression in an <i>ALK</i> rearrangement lung adenocarcinoma patient: a case report.	FBXW7
35117001	10.21037/tcr.2019.10.04	2022	Prognostic relevance of genetic variations in T-cell acute lymphoblastic leukemia/lymphoblastic lymphoma.	FBXW7
35129045	10.1080/10428194.2022.2032033	2022	Prognostic significance of <i>NOTCH1/FBXW7</i> mutations in pediatric T cell acute lymphoblastic leukemia: a study of minimal residual disease risk-directed CCLG-ALL 2008 treatment protocol.	FBXW7
35231988	10.3760/cma.j.issn.0253-2727.2022.01.005	2022	[Mutational spectrum and its prognostic significance in childhood acute lymphoblastic leukemia based on next-generation sequencing technology].	FBXW7
35279479	10.1016/j.imbio.2022.152205	2022	Optimized outcome prediction of oncogenetic mutations in non-early T-cell precursor acute lymphoblastic leukemia.	FBXW7
35280829	10.3389/fonc.2022.811151	2022	Prognostic Significance of Comprehensive Gene Mutations and Clinical Characteristics in Adult T-Cell Acute Lymphoblastic Leukemia Based on Next-Generation Sequencing.	FBXW7
35359405	10.3389/fonc.2022.842356	2022	Fbw7 Inhibits the Progression of Activated B-Cell Like Diffuse Large B-Cell Lymphoma by Targeting the Positive Feedback Loop of the LDHA/lactate/miR-223 Axis.	FBXW7
35726023	10.1038/s41684-022-00998-x	2022	The genomic landscape of canine diffuse large B-cell lymphoma identifies distinct subtypes with clinical and therapeutic implications.	FBXW7
35768390	10.3760/cma.j.cn112137-20211025-02358	2022	[Characteristics and prognostic effects of NOTCH1/FBXW7 gene mutations in T-cell acute lymphoblastic leukemia patients].	FBXW7
36000950	10.1002/pbc.29926	2022	Diverse mutations and structural variations contribute to Notch signaling deregulation in paediatric T-cell lymphoblastic lymphoma.	FBXW7
31804006	10.1002/cam4.2757	2021	RAS and TP53 can predict survival in adults with T-cell lymphoblastic leukemia treated with hyper-CVAD.	FBXW7
32234760	10.1158/1078-0432.CCR-19-4207	2021	A CpG Methylation Classifier to Predict Relapse in Adults with T-Cell Lymphoblastic Lymphoma.	FBXW7
32468878	10.1177/0300060520926093	2021	BI6727, a polo-like kinase 1 inhibitor with promising efficacy on Burkitt lymphoma cells.	FBXW7
32907612	10.1186/s12943-020-01254-x	2021	Loss of FBXW7-mediated degradation of BRAF elicits resistance to BET inhibitors in adult T cell leukemia cells.	FBXW7
33191568	10.1002/onco.13595	2021	More Insights on the Use of γ-Secretase Inhibitors in Cancer Treatment.	FBXW7
33436855	10.1038/s41598-020-80613-6	2021	Targeted sequencing to identify genetic alterations and prognostic markers in pediatric T-cell acute lymphoblastic leukemia.	FBXW7
33471866	10.1371/journal.ppat.1009179	2021	Kaposi's sarcoma-associated herpesvirus latency-associated nuclear antigen dysregulates expression of MCL-1 by targeting FBW7.	FBXW7
