pmid	doi	title	Hugo_Symbol
35504885	10.1038/s41419-022-04873-y	Somatic FOXC1 insertion mutation remodels the immune microenvironment and promotes the progression of childhood acute lymphoblastic leukemia.	FOXC1
34807923	10.1371/journal.pone.0259674	Establishment of the TBX-code reveals aberrantly activated T-box gene TBX3 in Hodgkin lymphoma.	FOXC1
32733009	10.1038/s41375-020-0999-2	Cross-talk between GLI transcription factors and FOXC1 promotes T-cell acute lymphoblastic leukemia dissemination.	FOXC1
32632082	10.4143/crt.2020.032	Forkhead Box C1 (FOXC1) Expression in Stromal Cells within the Microenvironment of T and NK Cell Lymphomas: Association with Tumor Dormancy and Activation.	FOXC1
29487724	10.18632/oncotarget.22742	FOXC1, the new player in the cancer sandbox.	FOXC1
29328384	10.3892/mmr.2018.8423	Forkhead box protein C1 promotes cell proliferation and invasion in human cervical cancer.	FOXC1
26406991	10.1371/journal.pone.0138416	Aberrantly Expressed OTX Homeobox Genes Deregulate B-Cell Differentiation in Hodgkin Lymphoma.	FOXC1
25533033	10.1182/blood-2014-04-568188	Jun-regulated genes promote interaction of diffuse large B-cell lymphoma with the microenvironment.	FOXC1
25043849	10.1002/gcc.22204	Deregulated FOX genes in Hodgkin lymphoma.	FOXC1
24844359	10.3109/10428194.2014.924119	Repressed BMP signaling reactivates NKL homeobox gene MSX1 in a T-ALL subset.	FOXC1
24237447	10.3109/10428194.2013.864762	Oncogenic deregulation of NKL homeobox gene MSX1 in mantle cell lymphoma.	FOXC1
22586443	10.1371/journal.pone.0033788	Single cell profiling of circulating tumor cells: transcriptional heterogeneity and diversity from breast cancer cell lines.	FOXC1
32733009	10.1038/s41375-020-0999-2	Cross-talk between GLI transcription factors and FOXC1 promotes T-cell acute lymphoblastic leukemia dissemination.	FOXC1
30209976	10.1080/15384101.2018.1522912	PTPN14 regulates Roquin2 stability by tyrosine dephosphorylation.	FOXC1
27505670	10.1016/j.ccell.2016.07.006	EZH2 and BCL6 Cooperate to Assemble CBX8-BCOR Complex to Repress Bivalent Promoters, Mediate Germinal Center Formation and Lymphomagenesis.	FOXC1
