pmid	doi	year	title	Hugo_Symbol
34926267	10.3389/fonc.2021.765544	2022	<i>SEPT6</i>_<i>TRIM33</i> Gene Fusion and Mutated TP53 Pathway Associate With Unfavorable Prognosis in Patients With B-Cell Lymphomas.	GNAS
35339799	10.1016/j.leukres.2022.106825	2022	Population-based targeted RNA sequencing reveals novel disease-related gene fusions in pediatric and adult T-ALL.	GNAS
32526052	10.1002/jbmr.4111	2021	A Signature of Circulating miRNAs Associated With Fibrous Dysplasia of Bone: the mirDys Study.	GNAS
33299887	10.1155/2020/9237381	2021	Proteomic Profiling Change and Its Implies in the Early Mycosis Fungoides (MF) Using Isobaric Tags for Relative and Absolute Quantification (iTRAQ).	GNAS
33507291	10.1182/blood.2020005712	2021	Prostaglandin E2 stimulates cAMP signaling and resensitizes human leukemia cells to glucocorticoid-induced cell death.	GNAS
28280620	10.21037/jgo.2017.01.14	2020	Potential actionable targets in appendiceal cancer detected by immunohistochemistry, fluorescent in situ hybridization, and mutational analysis.	GNAS
31930803		2020	[LINEAR MYCOSIS FUNGOIDES IN A BLASCHKOID DISTRIBUTION].	GNAS
29636358	10.1158/1078-0432.CCR-17-2452	2019	Resistance Mechanisms to Targeted Therapies in <i>ROS1</i><sup>+</sup> and <i>ALK</i><sup>+</sup> Non-small Cell Lung Cancer.	GNAS
29776634	10.1016/j.cll.2018.03.002	2019	Molecular Diagnostics in the Neoplasms of Small Intestine and Appendix: 2018 Update.	GNAS
30024968	10.1371/journal.ppat.1007111	2019	Hepatitis C virus enters liver cells using the CD81 receptor complex proteins calpain-5 and CBLB.	GNAS
27034005	10.18632/oncotarget.8427	2018	Phospho-proteomic analyses of B-Raf protein complexes reveal new regulatory principles.	GNAS
26507119	10.1080/15592294.2015.1110672	2016	Epigenetic instability at imprinting control regions in a Kras(G12D)-induced T-cell neoplasm.	GNAS
24828667	10.1097/JTO.0000000000000142	2015	Small-cell lung cancers in patients who never smoked cigarettes.	GNAS
25326804	10.1038/nm.3733	2015	Age-related mutations associated with clonal hematopoietic expansion and malignancies.	GNAS
22691121	10.3109/10428194.2012.701739	2013	Molecular characterization of de novo Philadelphia chromosome-positive acute myeloid leukemia.	GNAS
23530562	10.1111/pin.12045	2013	BCL10 as a useful marker for pancreatic acinar cell carcinoma, especially using endoscopic ultrasound cytology specimens.	GNAS
9328353	10.1210/mend.11.11.0013	1998	A novel mutation adjacent to the switch III domain of G(S alpha) in a patient with pseudohypoparathyroidism.	GNAS
7523385		1994	A novel Gs alpha mutant in a patient with Albright hereditary osteodystrophy uncouples cell surface receptors from adenylyl cyclase.	GNAS
