pmid	doi	year	title	Hugo_Symbol
33452442	10.1038/s41380-020-01003-y	2022	Aberrant role of ALK in tau proteinopathy through autophagosomal dysregulation.	GRB2
34429382	10.1126/scisignal.abe2606	2022	Comparative analysis of TCR and CAR signaling informs CAR designs with superior antigen sensitivity and in vivo function.	GRB2
34589930	10.1016/j.jtocrr.2020.100023	2022	Oncogenic Fusions May Be Frequently Present at Resistance of EGFR Tyrosine Kinase Inhibitors in Patients With NSCLC: A Brief Report.	GRB2
35574218	10.18632/oncotarget.28228	2022	Proteomic analysis reveals dual requirement for Grb2 and PLCγ1 interactions for BCR-FGFR1-Driven 8p11 cell proliferation.	GRB2
35895897	10.1182/blood.2022016424	2022	Gab2-MALT1 Axis Regulates Thromboinflammation and Deep Vein Thrombosis.	GRB2
36037968	10.1016/j.jbc.2022.102419	2022	Receptor-kinase EGFR-MAPK adaptor proteins mediate the epithelial response to Candida albicans via the cytolytic peptide toxin, candidalysin.	GRB2
33532178	10.1016/j.apsb.2020.07.010	2021	Tyrosine phosphatase SHP2 inhibitors in tumor-targeted therapies.	GRB2
33619116	10.1158/0008-5472.CAN-20-2297	2021	NPM-ALK-Induced Reprogramming of Mature TCR-Stimulated T Cells Results in Dedifferentiation and Malignant Transformation.	GRB2
33627783	10.1038/s41388-021-01684-x	2021	E3 ligase-inactivation rewires CBL interactome to elicit oncogenesis by hijacking RTK-CBL-CIN85 axis.	GRB2
33848463	10.1016/j.cell.2021.03.031	2021	Kinase-mediated RAS signaling via membraneless cytoplasmic protein granules.	GRB2
34409981	10.1042/BCJ20210175	2021	A nexus of miR-1271, PAX4 and ALK/RYK influences the cytoskeletal architectures in Alzheimer's Disease and Type 2 Diabetes.	GRB2
29556564	10.1016/j.bbrep.2018.01.007	2020	The role of the ShcD and RET interaction in neuroblastoma survival and migration.	GRB2
31151983	10.1182/blood.2019001043	2020	A novel model of controlling PD-L1 expression in ALK<sup>+</sup> anaplastic large cell lymphoma revealed by CRISPR screening.	GRB2
31362927	10.1182/bloodadvances.2018016162	2020	Interplay between HGAL and Grb2 proteins regulates B-cell receptor signaling.	GRB2
31789417	10.3892/ijmm.2019.4414	2020	Combination of the ginsenosides Rb3 and Rb2 exerts protective effects against myocardial ischemia reperfusion injury in rats.	GRB2
30024968	10.1371/journal.ppat.1007111	2019	Hepatitis C virus enters liver cells using the CD81 receptor complex proteins calpain-5 and CBLB.	GRB2
27472394	10.18632/oncotarget.10861	2018	c-CBL regulates melanoma proliferation, migration, invasion and the FAK-SRC-GRB2 nexus.	GRB2
26719098	10.1038/leu.2015.357	2017	Recurrent activating mutations of CD28 in peripheral T-cell lymphomas.	GRB2
26757737	10.1007/s00401-016-1536-2	2017	Genomic characterization of primary central nervous system lymphoma.	GRB2
28046066	10.1371/journal.ppat.1006120	2017	HTLV-1 bZIP Factor Enhances T-Cell Proliferation by Impeding the Suppressive Signaling of Co-inhibitory Receptors.	GRB2
26773044	10.1182/blood-2015-06-653006	2016	Distinct GAB2 signaling pathways are essential for myeloid and lymphoid transformation and leukemogenesis by BCR-ABL1.	GRB2
26781991	10.1158/0008-5472.CAN-15-1512	2016	NADPH Oxidase 1 Activity and ROS Generation Are Regulated by Grb2/Cbl-Mediated Proteasomal Degradation of NoxO1 in Colon Cancer Cells.	GRB2
25080849	10.1111/ejh.12427	2015	B-cell receptor signalling and its crosstalk with other pathways in normal and malignant cells.	GRB2
25575524	10.4077/CJP.2014.BAD281	2015	Effects of RING-SH2Grb², a chimeric protein containing the E3 ligase domain of Cbl, on the EGFR pathway.	GRB2
24104394	10.1038/leu.2013.291	2014	MicroRNA187 overexpression is related to tumor progression and determines sensitivity to bortezomib in peripheral T-cell lymphoma.	GRB2
24297922	10.1073/pnas.1319665110	2014	Lnk adaptor suppresses radiation resistance and radiation-induced B-cell malignancies by inhibiting IL-11 signaling.	GRB2
22987556	10.1002/bmb.20643	2013	Problem-solving test: signal transduction in Philadelphia chromosome positive leukemia cells.	GRB2
21189087	10.1902/jop.2010.100312	2012	Real-time quantitative polymerase chain reaction analysis of patients with refractory chronic periodontitis.	GRB2
22261070	10.1016/j.bpj.2011.09.058	2012	Analyzing the homeostasis of signaling proteins by a combination of Western blot and fluorescence correlation spectroscopy.	GRB2
