pmid	doi	year	title	Hugo_Symbol
34337566	10.1016/j.xcrm.2021.100350	2022	ASN007 is a selective ERK1/2 inhibitor with preferential activity against RAS-and RAF-mutant tumors.	HRAS
34341476	10.1038/s10038-021-00965-3	2022	PAX3/7-FOXO1 fusion-negative alveolar rhabdomyosarcoma in Schuurs-Hoeijmakers syndrome.	HRAS
35092381	10.31557/APJCP.2022.23.1.131	2022	Correlation between Programmed Death Ligand-1(PD-L1) Expression and Driver Gene Mutations in Non-Small Cell Lung Carcinoma- Adenocarcinoma Phenotype.	HRAS
35192832	10.1016/j.scitotenv.2022.153990	2022	Effects of gestational exposure to bisphenol A on the hepatic transcriptome and lipidome of rat dams: Intergenerational comparison of effects in the offspring.	HRAS
35363510	10.1200/JCO.21.02840	2022	Phase II Study of Selumetinib in Children and Young Adults With Tumors Harboring Activating Mitogen-Activated Protein Kinase Pathway Genetic Alterations: Arm E of the NCI-COG Pediatric MATCH Trial.	HRAS
35674396	10.1093/bioinformatics/btac380	2022	Prediction of Allosteric Communication Pathways in Proteins.	HRAS
35981360	10.19746/j.cnki.issn.1009-2137.2022.04.011	2022	[The Effect of KRAS on Proliferation and Apoptosis of T-ALL Cell Lines].	HRAS
32147503	10.1016/j.jid.2020.02.019	2021	Recurrent Oncogenic JAK and STAT Alterations in Cutaneous CD30-Positive Lymphoproliferative Disorders.	HRAS
33016928	10.1172/JCI139080	2021	Multiomic analysis and immunoprofiling reveal distinct subtypes of human angiosarcoma.	HRAS
33297669	10.3324/haematol.2020.267294	2021	Phenogenomic heterogeneity of post-transplant plasmablastic lymphomas.	HRAS
33397922	10.1038/s41467-020-20255-4	2021	A RAC-GEF network critical for early intestinal tumourigenesis.	HRAS
33512434	10.1182/blood.2020009082	2021	Nras Q61R/+ and Kras-/- cooperate to downregulate Rasgrp1 and promote lympho-myeloid leukemia in early T-cell precursors.	HRAS
33750196	10.1200/JCO.20.02903	2021	Tipifarnib in Head and Neck Squamous Cell Carcinoma With <i>HRAS</i> Mutations.	HRAS
34302028	10.1038/s41598-021-94566-x	2021	Development of thymic tumor in [LSL:Kras<sup>G12D</sup>; Pdx1-CRE] mice, an adverse effect associated with accelerated pancreatic carcinogenesis.	HRAS
30087949	10.1210/js.2018-00132	2020	Synchronous Independent Papillary Thyroid Carcinomas in Struma Ovarii and the Thyroid Gland With Different <i>RAS</i> Mutations.	HRAS
30946933	10.1016/j.humpath.2019.03.004	2020	The repertoire of genetic alterations in salivary duct carcinoma including a novel HNRNPH3-ALK rearrangement.	HRAS
32188628	10.1136/jclinpath-2020-206461	2020	Transcriptome complexity in intravascular NK/T-cell lymphoma.	HRAS
32620621	10.21873/anticanres.14371	2020	Anti-tumor Properties of <i>Picrasma quassioides</i> Extracts in H-Ras<sup>G12V</sup> Liver Cancer Are Mediated Through ROS-dependent Mitochondrial Dysfunction.	HRAS
29636358	10.1158/1078-0432.CCR-17-2452	2019	Resistance Mechanisms to Targeted Therapies in <i>ROS1</i><sup>+</sup> and <i>ALK</i><sup>+</sup> Non-small Cell Lung Cancer.	HRAS
29661787	10.1182/blood-2018-01-827949	2019	Thromboembolism in acute lymphoblastic leukemia: results of NOPHO ALL2008 protocol treatment in patients aged 1 to 45 years.	HRAS
29950132	10.1080/15548627.2018.1466013	2019	Role of the MAPK/cJun NH<sub>2</sub>-terminal kinase signaling pathway in starvation-induced autophagy.	HRAS
30875092	10.1002/bem.22177	2019	Carcinogenicity of intermediate frequency magnetic field in Tg.rasH2 mice.	HRAS
31199785	10.1371/journal.pgen.1008168	2019	Convergent genetic aberrations in murine and human T lineage acute lymphoblastic leukemias.	HRAS
27034005	10.18632/oncotarget.8427	2018	Phospho-proteomic analyses of B-Raf protein complexes reveal new regulatory principles.	HRAS
