pmid	doi	year	title	Hugo_Symbol
34472720	10.1002/cnr2.1545	2022	Genetic features of precursor B-cell phenotype Burkitt leukemia with IGH-MYC rearrangement.	ID3
34617271	10.1111/bjh.17874	2022	Epstein-Barr virus status of sporadic Burkitt lymphoma is associated with patient age and mutational features.	ID3
34861191	10.1016/j.cell.2021.11.016	2022	An NK-like CAR T cell transition in CAR T cell dysfunction.	ID3
35205758	10.3390/cancers14041010	2022	Low Mutational Burden of Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue in Patients with Primary Sjogren's Syndrome.	ID3
35504924	10.1038/s41467-022-30053-9	2022	IRF4 drives clonal evolution and lineage choice in a zebrafish model of T-cell lymphoma.	ID3
35681213	10.1186/s13058-022-01536-w	2022	Multiple roles for Bcl-3 in mammary gland branching, stromal collagen invasion, involution and tumor pathology.	ID3
35755944	10.1016/j.omtm.2022.05.006	2022	Selective B cell depletion upon intravenous infusion of replication-incompetent anti-CD19 CAR lentivirus.	ID3
35794096	10.1038/s41467-022-31355-8	2022	Clinical relevance of molecular characteristics in Burkitt lymphoma differs according to age.	ID3
32255708	10.1080/10428194.2020.1747068	2021	Burkitt lymphoma: bridging the gap between advances in molecular biology and therapy.	ID3
32947237	10.1016/j.tranon.2020.100855	2021	Identification of clinical molecular targets for childhood Burkitt lymphoma.	ID3
32981916	10.3960/jslrt.20021	2021	Integrative genomic analysis focused on cell cycle genes for MYC-driven aggressive mature B-cell lymphoma.	ID3
33106431	10.1073/pnas.2014308117	2021	A mosaic analysis system with Cre or Tomato expression in the mouse.	ID3
33747936	10.3389/fonc.2021.622648	2021	Genomic Mutation Profile of Primary Gastrointestinal Diffuse Large B-Cell Lymphoma.	ID3
34500601	10.3390/molecules26175167	2021	The Coffee Diterpene, Kahweol, Ameliorates Pancreatic β-Cell Function in Streptozotocin (STZ)-Treated Rat INS-1 Cells through NF-kB and p-AKT/Bcl-2 Pathways.	ID3
