pmid	doi	year	title	Hugo_Symbol
34448823	10.1182/bloodadvances.2021004212	2022	The molecular hallmarks of primary and secondary vitreoretinal lymphoma.	IGLL5
34605949	10.1007/s00277-021-04671-0	2022	Characterization of molecular genetics and clinicopathology in thymic MALT lymphoma.	IGLL5
35205758	10.3390/cancers14041010	2022	Low Mutational Burden of Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue in Patients with Primary Sjogren's Syndrome.	IGLL5
35255429	10.1016/j.anndiagpath.2021.151886	2022	De Novo CD5-positive diffuse large B-cell lymphoma: A genomic profiling study and prognostic analysis of 46 patients.	IGLL5
35359413	10.3389/fonc.2022.817635	2022	Analysis of Genetic Alterations in Ocular Adnexal Mucosa-Associated Lymphoid Tissue Lymphoma With Whole-Exome Sequencing.	IGLL5
35646048	10.3389/fgene.2022.878618	2022	Whole-Genome/Exome Sequencing Uncovers Mutations and Copy Number Variations in Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System.	IGLL5
35845190	10.1002/jha2.315	2022	Mutation profiles of diffuse large B-cell lymphoma transformation of splenic B-cell lymphoma/leukemia, unclassifiable on whole-exome sequencing.	IGLL5
35968590	10.3760/cma.j.issn.0253-2727.2022.06.006	2022	[Large B-cell lymphoma with IRF4 rearrangement: six case reports and a literature review].	IGLL5
36054329	10.1002/humu.24455	2022	de novo variant calling identifies cancer mutation signatures in the 1000 Genomes Project.	IGLL5
33479306	10.1038/s41598-020-80376-0	2021	Proposal and validation of a method to classify genetic subtypes of diffuse large B cell lymphoma.	IGLL5
33503299	10.1111/pin.13067	2021	B cell lymphoma with IRF4 rearrangement: A clinicopathological study of 13 cases.	IGLL5
33945543	10.1371/journal.pone.0248886	2021	Detection of new drivers of frequent B-cell lymphoid neoplasms using an integrated analysis of whole genomes.	IGLL5
33959502	10.3389/fonc.2021.638897	2021	c-Rel Is the Pivotal NF-κB Subunit in Germinal Center Diffuse Large B-Cell Lymphoma: A LYSA Study.	IGLL5
34312841	10.1111/bjh.17719	2021	Liquid biopsy: a non-invasive approach for Hodgkin lymphoma genotyping.	IGLL5
34925435	10.3389/fgene.2021.677650	2021	Genetic Landscape of Relapsed and Refractory Diffuse Large B-Cell Lymphoma: A Systemic Review and Association Analysis With Next-Generation Sequencing.	IGLL5
30606723	10.1182/bloodadvances.2018026419	2020	Identification of recurrent noncoding mutations in B-cell lymphoma using capture Hi-C.	IGLL5
31522287	10.1007/s00428-019-02658-x	2020	Lineage-negative lymphoma with a helper innate lymphoid cell phenotype.	IGLL5
31558468	10.1182/blood.2019001880	2020	The whole-genome landscape of Burkitt lymphoma subtypes.	IGLL5
31806993	10.2147/OTT.S227122	2020	Genomic Alterations In Primary Cardiac Diffuse Large B Cell Lymphoma: A Case Report And Literature Review.	IGLL5
32565964	10.3892/ol.2020.11552	2020	Comprehensive characterization of driver genes in diffuse large B cell lymphoma.	IGLL5
26524200	10.1002/cncy.21629	2016	Branched-chain in situ hybridization for κ and λ light chains: A powerful ancillary technique for determining B-cell clonality in cytology samples.	IGLL5
