pmid	doi	year	title	Hugo_Symbol
32885355	10.1007/s10637-020-00996-1	2022	The anti-malaria agent artesunate exhibits cytotoxic effects in primary effusion lymphoma.	IKBKB
33640899	10.1038/s41392-021-00477-8	2022	TRIM41 is required to innate antiviral response by polyubiquitinating BCL10 and recruiting NEMO.	IKBKB
34114393	10.19852/j.cnki.jtcm.2021.03.004	2022	Dihydromyricetin promotes apoptosis, suppresses proliferation and tumor necrosis factor-α-mediated nuclear factor kappa-B activation in nasopharyngeal carcinoma CNE-2 cell.	IKBKB
35525271	10.1016/j.jbc.2022.102012	2022	Mechanistic insights into the activation of the IKK kinase complex by the Kaposi's sarcoma herpes virus oncoprotein vFLIP.	IKBKB
35641486	10.1038/s41419-022-04946-y	2022	Hepatocyte Bcl-3 protects from death-receptor mediated apoptosis and subsequent acute liver failure.	IKBKB
32024820	10.1038/s41419-020-2294-6	2021	Reversal of CYLD phosphorylation as a novel therapeutic approach for adult T-cell leukemia/lymphoma (ATLL).	IKBKB
32473470	10.1016/j.cellimm.2020.104129	2021	Gain-of-function mutations in CARD11 promote enhanced aggregation and idiosyncratic signalosome assembly.	IKBKB
32627230	10.1002/jat.4003	2021	Cantharidin-induced acute hepatotoxicity: the role of TNF-α, IKK-α, Bcl-2, Bax and caspase3.	IKBKB
32682634	10.1016/j.jdermsci.2020.06.013	2021	Hydroa vacciniforme-like lymphoproliferative disorder: A study of clinicopathology and whole-exome sequencing in Chinese patients.	IKBKB
32858764	10.1111/jcmm.15774	2021	IKKε and TBK1 in diffuse large B-cell lymphoma: A possible mechanism of action of an IKKε/TBK1 inhibitor to repress NF-κB and IL-10 signalling.	IKBKB
32961552	10.1182/blood.2020007507	2021	Mutational landscape of gray zone lymphoma.	IKBKB
33098696	10.1111/ejh.13540	2021	RLTPR Q575E: A novel recurrent gain-of-function mutation in patients with adult T-cell leukemia/lymphoma.	IKBKB
33176636	10.2174/0929867327666201111142307	2021	A Critical Transcription Factor NF-κB as a Cancer Therapeutic Target and its Inhibitors as Cancer Treatment Options.	IKBKB
34132431	10.1002/ptr.7157	2021	Suppression of phosphoinositide 3-kinase/phosphoinositide-dependent kinase-1/serum and glucocorticoid-induced protein kinase pathway.	IKBKB
34474146	10.1016/j.exphem.2021.08.010	2021	miRNA-223-3p modulates ibrutinib resistance through regulation of the CHUK/Nf-κb signaling pathway in mantle cell lymphoma.	IKBKB
34521919	10.1038/s41598-021-97775-6	2021	KCTD15 deregulation is associated with alterations of the NF-κB signaling in both pathological and physiological model systems.	IKBKB
30688264	10.4103/1673-5374.249226	2020	<i>Shuxuetong</i> injection protects cerebral microvascular endothelial cells against oxygen-glucose deprivation reperfusion.	IKBKB
31324389	10.1016/j.prp.2019.152528	2020	Quantitative proteomics analysis of differentially expressed proteins in activated B-cell-like diffuse large B-cell lymphoma using quantitative proteomics.	IKBKB
31497245	10.18632/oncotarget.27098	2020	Proliferative, pro-inflammatory, and angiogenesis regulator gene expression profile defines prognosis in different histopathological subtypes of nodal peripheral T-cell lymphoma.	IKBKB
31606621	10.1016/j.biopha.2019.109530	2020	Investigation of candidate molecular biomarkers for expression profile analysis of the Gene expression omnibus (GEO) in acute lymphocytic leukemia (ALL).	IKBKB
32019925	10.1038/s41467-020-14502-x	2020	A central role of IKK2 and TPL2 in JNK activation and viral B-cell transformation.	IKBKB
32286300	10.1038/s41467-020-15576-3	2020	Modulation of virus-induced NF-κB signaling by NEMO coiled coil mimics.	IKBKB
29295643	10.1080/10428194.2017.1413186	2019	The genomic landscape of two Burkitt lymphoma cases and derived cell lines: comparison between primary and relapse samples.	IKBKB
29367645	10.1038/s41419-017-0157-6	2019	CD40L mediated alternative NFκB-signaling induces resistance to BCR-inhibitors in patients with mantle cell lymphoma.	IKBKB
30199532	10.1371/journal.pbio.2006347	2019	Transcriptional outcomes and kinetic patterning of gene expression in response to NF-κB activation.	IKBKB
30335863	10.1371/journal.pone.0206014	2019	Oncogenic mutations in IKKβ function through global changes induced by K63-linked ubiquitination and result in autocrine stimulation.	IKBKB
27840321	10.1016/j.freeradbiomed.2016.11.010	2018	Pro-apoptotic effects of lipid oxidation products: HNE at the crossroads of NF-κB pathway and anti-apoptotic Bcl-2.	IKBKB
28587181	10.3390/nu9060561	2018	Chronic Inflammatory Diseases and Green Tea Polyphenols.	IKBKB
28906487	10.1038/cddis.2017.442	2018	Identification of 11(13)-dehydroivaxillin as a potent therapeutic agent against non-Hodgkin's lymphoma.	IKBKB
29194363	10.3390/ijms18122581	2018	The E3 Ubiquitin Ligase RNF7 Negatively Regulates CARD14/CARMA2sh Signaling.	IKBKB
29333957	10.1177/1533034617745761	2018	MiR-98 Promotes Apoptosis of Glioma Cells via Suppressing IKBKE/NF-κB Pathway.	IKBKB
29649481	10.1016/j.bbrc.2018.04.057	2018	Role of IκB kinase β in regulating the remodeling of the CARMA1-Bcl10-MALT1 complex.	IKBKB
29665857	10.1186/s12977-018-0415-4	2018	The HTLV-1 oncoprotein Tax is modified by the ubiquitin related modifier 1 (Urm1).	IKBKB
30111412	10.7534/j.issn.1009-2137.2018.04.024	2018	[Effect of IKK2 Inhibitor LY2409881 on Diffuse Large B-Cell Lymphoma Cell Apoptosis and Its Mechanism].	IKBKB
27123832	10.1016/j.leukres.2016.04.012	2017	Identification of TBK1 and IKKε, the non-canonical IκB kinases, as crucial pro-survival factors in HTLV-1-transformed T lymphocytes.	IKBKB
27681433	10.1016/j.celrep.2016.08.080	2017	MALT1 Protease Activation Triggers Acute Disruption of Endothelial Barrier Integrity via CYLD Cleavage.	IKBKB
28689659	10.1016/j.molcel.2017.06.011	2017	Bcl3 Phosphorylation by Akt, Erk2, and IKK Is Required for Its Transcriptional Activity.	IKBKB
28931678	10.1128/JVI.01170-17	2017	IKKγ-Mimetic Peptides Block the Resistance to Apoptosis Associated with Kaposi's Sarcoma-Associated Herpesvirus Infection.	IKBKB
25748427	10.1371/journal.pone.0119363	2016	MALT1-ubiquitination triggers non-genomic NF-κB/IKK signaling upon platelet activation.	IKBKB
26158216	10.18632/oncotarget.4106	2016	Neutrophils trigger a NF-κB dependent polarization of tumor-supportive stromal cells in germinal center B-cell lymphomas.	IKBKB
26209362	10.1016/j.ejphar.2015.07.046	2016	A natural xanthone increases catalase activity but decreases NF-kappa B and lipid peroxidation in U-937 and HepG2 cell lines.	IKBKB
26247921	10.1002/jcp.25122	2016	Nuclear Translocation of p65 is Controlled by Sec6 via the Degradation of IκBα.	IKBKB
26275874	10.1007/82_2015_479	2016	Roles of the NF-κB Pathway in B-Lymphocyte Biology.	IKBKB
26525107	10.1038/ncomms9777	2016	The paracaspase MALT1 cleaves HOIL1 reducing linear ubiquitination by LUBAC to dampen lymphocyte NF-κB signalling.	IKBKB
26573110	10.3892/ijo.2015.3238	2016	Involvement of cyclic-nucleotide response element-binding family members in the radiation response of Ramos B lymphoma cells.	IKBKB
