pmid	doi	title	Hugo_Symbol
34662484	10.1002/pbc.29402	Allergies, genetic polymorphisms of Th2 interleukins, and childhood acute lymphoblastic leukemia: The ESTELLE study.	IL4R
33684939	10.1182/blood.2020007683	Characterization of DLBCL with a PMBL gene expression signature.	IL4R
31141539	10.1371/journal.pone.0216898	Epstein-Barr virus (EBV) activates NKL homeobox gene HLX in DLBCL.	IL4R
29883839	10.1016/j.canep.2018.05.004	Genetic polymorphisms of Th2 interleukins, history of asthma or eczema and childhood acute lymphoid leukaemia: Findings from the ESCALE study (SFCE).	IL4R
29467182	10.1182/blood-2017-09-808907	Somatic IL4R mutations in primary mediastinal large B-cell lymphoma lead to constitutive JAK-STAT signaling activation.	IL4R
29253230	10.3382/ps/pex343	Correlation between miRNAs and target genes in response to Campylobacter jejuni inoculation in chicken.	IL4R
28134252	10.1038/ncomms14290	THZ1 targeting CDK7 suppresses STAT transcriptional activity and sensitizes T-cell lymphomas to BCL2 inhibitors.	IL4R
27407063	10.1002/ijc.30263	Mantle cell lymphoma-variant Richter syndrome: Detailed molecular-cytogenetic and backtracking analysis reveals slow evolution of a pre-MCL clone in parallel with CLL over several years.	IL4R
27268263	10.1182/blood-2015-11-683003	Comprehensive characterization of programmed death ligand structural rearrangements in B-cell non-Hodgkin lymphomas.	IL4R
26448050	10.1371/journal.pone.0139329	Inherited Inflammatory Response Genes Are Associated with B-Cell Non-Hodgkin's Lymphoma Risk and Survival.	IL4R
22902050	10.1016/j.leukres.2012.07.014	Using haplotype analysis to elucidate significant associations between genes and Hodgkin lymphoma.	IL4R
22102710	10.3324/haematol.2011.048132	MicroRNA profiling of follicular lymphoma identifies microRNAs related to cell proliferation and tumor response.	IL4R
21421840	10.1182/blood-2010-10-312942	Clonal B cells in patients with hepatitis C virus-associated mixed cryoglobulinemia contain an expanded anergic CD21low B-cell subset.	IL4R
20299965	10.1097/QAD.0b013e328332d5b1	Cytokine signaling pathway polymorphisms and AIDS-related non-Hodgkin lymphoma risk in the multicenter AIDS cohort study.	IL4R
19515749	10.1093/annonc/mdp110	Favorable impact of the interleukin-4 receptor allelic variant I75 on the survival of diffuse large B-cell lymphoma patients demonstrated in a large prospective clinical trial.	IL4R
19508433	10.1111/j.1600-0609.2009.01288.x	Genetic variants in immunoregulatory genes and risk for childhood lymphomas.	IL4R
18633131	10.1182/blood-2007-09-111658	Host immune gene polymorphisms in combination with clinical and demographic factors predict late survival in diffuse large B-cell lymphoma patients in the pre-rituximab era.	IL4R
12154046		Mantle cell lymphomas express a distinct genetic signature affecting lymphocyte trafficking and growth regulation as compared with subpopulations of normal human B cells.	IL4R
11697499	10.3109/10428190109099331	Expression and production of interleukin 4 in B-cell chronic lymphocytic leukaemia.	IL4R
11513543	10.1006/clim.2001.5082	Analysis of the Ser786Pro interleukin-4 receptor alpha allelic variant in allergic and nonallergic asthma and its functional consequences.	IL4R
9761767	10.1165/ajrcmb.19.4.3208	Human eosinophils constitutively express a functional interleukin-4 receptor: interleukin-4 -induced priming of chemotactic responses and induction of PI-3 kinase activity.	IL4R
9545332	10.1074/jbc.273.16.9898	A role for the insulin-interleukin (IL)-4 receptor motif of the IL-4 receptor alpha-chain in regulating activation of the insulin receptor substrate 2 and signal transducer and activator of transcription 6 pathways. Analysis by mutagenesis.	IL4R
8624803	10.1016/s1074-7613(00)80677-9	Growth and gene expression are predominantly controlled by distinct regions of the human IL-4 receptor.	IL4R
22902050	10.1016/j.leukres.2012.07.014	Using haplotype analysis to elucidate significant associations between genes and Hodgkin lymphoma.	IL4R
24960198	10.1016/j.bbrc.2014.06.069	IL-4 receptor α in non-lipid rafts is the target molecule of strictinin in inhibiting STAT6 activation.	IL4R
19515749	10.1093/annonc/mdp110	Favorable impact of the interleukin-4 receptor allelic variant I75 on the survival of diffuse large B-cell lymphoma patients demonstrated in a large prospective clinical trial.	IL4R
10652211	10.1006/bbrc.2000.2080	Possible involvement of Shc in IL-4-induced germline epsilon transcription in a human B cell line.	IL4R
20299965	10.1097/QAD.0b013e328332d5b1	Cytokine signaling pathway polymorphisms and AIDS-related non-Hodgkin lymphoma risk in the multicenter AIDS cohort study.	IL4R
19508433	10.1111/j.1600-0609.2009.01288.x	Genetic variants in immunoregulatory genes and risk for childhood lymphomas.	IL4R
10856136	10.1067/mai.2000.107604	IL-4/IL-13 signaling beyond JAK/STAT.	IL4R
21061265	10.1002/mc.20688	Hodgkin disease risk: role of genetic polymorphisms and gene-gene interactions in inflammation pathway genes.	IL4R
20716621	10.1158/1055-9965.EPI-10-0389	Genetic polymorphisms in adaptive immunity genes and childhood acute lymphoblastic leukemia.	IL4R
18633131	10.1182/blood-2007-09-111658	Host immune gene polymorphisms in combination with clinical and demographic factors predict late survival in diffuse large B-cell lymphoma patients in the pre-rituximab era.	IL4R
19773279	10.1136/oem.2008.044024	Association between genetic variants in VEGF, ERCC3 and occupational benzene haematotoxicity.	IL4R
19573080	10.1111/j.1365-2141.2009.07790.x	Common genetic variants in candidate genes and risk of familial lymphoid malignancies.	IL4R
18636124	10.1371/journal.pone.0002816	Polymorphisms in the estrogen receptor 1 and vitamin C and matrix metalloproteinase gene families are associated with susceptibility to lymphoma.	IL4R
