pmid	doi	year	title	Hugo_Symbol
33764527	10.1002/cncr.33454	2022	Screening and identification of a novel FHL2 mutation by whole exome sequencing in twins with familial Waldenström macroglobulinemia.	IL6
34009095	10.1080/09273948.2021.1878233	2022	Consensus Recommendations for the Diagnosis of Vitreoretinal Lymphoma.	IL6
34039950	10.1038/s41408-021-00493-5	2022	Genomic insights into the pathogenesis of Epstein-Barr virus-associated diffuse large B-cell lymphoma by whole-genome and targeted amplicon sequencing.	IL6
34078642	10.1158/1055-9965.EPI-20-1704	2022	Cytokine Levels at Birth in Children Who Developed Acute Lymphoblastic Leukemia.	IL6
34131000	10.1158/1078-0432.CCR-20-4167	2022	Immune Activation and Microbial Translocation as Prognostic Biomarkers for AIDS-Related Non-Hodgkin Lymphoma in the AMC-034 Study.	IL6
34509934	10.1016/j.intimp.2021.108138	2022	LncRNA THUMPD3-AS1 enhances the proliferation and inflammatory response of chondrocytes in osteoarthritis.	IL6
34542753	10.1007/s10517-021-05268-3	2022	Changes in Bone Marrow Stromal Progenitor Cells in Patients with Hematoblastosis at the Onset of the Disease.	IL6
34691064	10.3389/fimmu.2021.750114	2022	Usefulness of Interleukin-18 as a Diagnostic Biomarker to Differentiate Adult-Onset Still's Disease With/Without Macrophage Activation Syndrome From Other Secondary Hemophagocytic Lymphohistiocytosis in Adults.	IL6
34788985	10.3324/haematol.2021.279631	2022	Mutational landscape of high-grade B-cell lymphoma with <i>MYC-</i>, <i>BCL2</i> and/or <i>BCL6</i> rearrangements characterized by whole-exome sequencing.	IL6
34935301	10.1002/vms3.694	2022	Neutrophilic leucocytosis induced by granulocyte colony-stimulating factor and interleukin-6 in canine primary lung adenocarcinoma.	IL6
35008292	10.3390/cancers14010128	2022	Increased Production of B-Cell Activating Cytokines and Altered Peripheral B-Cell Subset Distribution during HIV-Related Classical Hodgkin Lymphoma.	IL6
35014680	10.3892/mmr.2022.12592	2022	Role of TGM2 in T‑cell lymphoblastic lymphoma via regulation of IL‑6/JAK/STAT3 signalling.	IL6
35021606	10.3324/haematol.2021.280003	2022	Immune pathway upregulation and lower genomic instability distinguish EBV-positive nodal T/NK-cell lymphoma from ENKTL and PTCL-NOS.	IL6
35147475	10.1080/10428194.2022.2038373	2022	Pretreatment serum level of interleukin-6 predicts carfilzomib-induced hypertension in relapsed/refractory multiple myeloma.	IL6
35158867	10.3390/cancers14030598	2022	Diagnosing Vitreoretinal Lymphomas-An Analysis of the Sensitivity of Existing Tools.	IL6
35186744	10.3389/fonc.2022.808511	2022	Clinical Features, Diagnosis, Management and Prognosis of Primary Intraocular Lymphoma.	IL6
35187467	10.1016/j.clinpr.2022.100137	2022	Higher mortality of hospitalized haematologic patients with COVID-19 compared to non-haematologic is driven by thrombotic complications and development of ARDS: An age-matched cohorts study.	IL6
35345499	10.2147/IMCRJ.S345149	2022	A Case of Intraocular Lymphoma Diagnosed by Subretinal Fluid Biopsy.	IL6
35349392	10.1080/15384101.2022.2054096	2022	MCL-1 is a clinically targetable vulnerability in breast cancer.	IL6
35399163	10.1155/2022/1840589	2022	Siltuximab-Related Favorable Clinical Outcome for a Patient Suffering from Idiopathic Multicentric Castleman Disease.	IL6
35432366	10.3389/fimmu.2022.856039	2022	IL-6 and IL-10 Are Associated With Gram-Negative and Gram-Positive Bacteria Infection in Lymphoma.	IL6
35546979	10.22092/ari.2021.356202.1803	2022	Renoprotective Potential of the Ultra-Pure Lipopolysaccharide from Rhodobacter Sphaeroides on Acutely Injured Kidneys in an Animal Model.	IL6
35642002	10.1186/s12967-022-03451-2	2022	Role of chemokine-mediated angiogenesis in resistance towards crizotinib and its reversal by anlotinib in EML4-ALK positive NSCLC.	IL6
35884913	10.3390/biomedicines10071608	2022	Downregulation of STAT3 in Epstein-Barr Virus-Positive Hodgkin Lymphoma.	IL6
35997599	10.1089/vim.2021.0224	2022	Expression Pattern of Inflammatory and Anti-Inflammatory Cytokines and Key Differential Transcription Factors in Peripheral Blood Mononuclear Cells of Iranian Coronavirus Disease 2019 Patients with Different Disease Severity.	IL6
36098043	10.1002/jcla.24689	2022	Logistic regression models of cytokines in differentiating vitreoretinal lymphoma from uveitis.	IL6
30443842	10.1007/s12253-018-0536-z	2021	The Expression of Interferon Gamma (IFN-γ) and Interleukin 6 (IL6) in Patients with Acute Lymphoblastic Leukemia (ALL).	IL6
32118299	10.1111/bjh.16523	2021	Pro-inflammatory cytokines favor the emergence of ETV6-RUNX1-positive pre-leukemic cells in a model of mesenchymal niche.	IL6
32270320	10.1007/s00403-020-02062-5	2021	The polymorphisms of IL-6/STAT3 signaling pathway may contribute to cutaneous T-cell lymphomas susceptibility.	IL6
32614271	10.1089/jir.2020.0012	2021	Interleukin-6-Mediated Inflammation May Cause Methotrexate-Induced Leukoencephalopathy.	IL6
32669372	10.1158/1078-0432.CCR-20-1434	2021	Tumor Microenvironment Composition and Severe Cytokine Release Syndrome (CRS) Influence Toxicity in Patients with Large B-Cell Lymphoma Treated with Axicabtagene Ciloleucel.	IL6
32767331	10.26355/eurrev_202008_22488	2021	Correlations of IL-6 and IL-10 gene polymorphisms with childhood acute lymphoblastic leukemia.	IL6
