pmid	doi	year	title	Hugo_Symbol
34952945	10.1038/s41379-021-01002-6	2022	Genomic landscape of Epstein-Barr virus-positive extranodal marginal zone lymphomas of mucosa-associated lymphoid tissue.	IRF8
35086136	10.1182/bloodadvances.2021004366	2022	IRF8 is a transcriptional activator of CD37 expression in diffuse large B-cell lymphoma.	IRF8
35460405	10.1093/ajcp/aqac044	2022	IRF8 as a Novel Marker to Differentiate Between CD30-Positive Large Cell Lymphomas.	IRF8
35609565	10.1182/bloodadvances.2022007322	2022	A unifying hypothesis for PNMZL and PTFL: morphological variants with a common molecular profile.	IRF8
35834399	10.1097/PAS.0000000000001932	2022	Pediatric-Type Indolent B-Cell Lymphomas With Overlapping Clinical, Pathologic, and Genetic Features.	IRF8
36030374	10.1002/eji.202250037	2022	IRF8 regulates efficacy of therapeutic anti-CD20 monoclonal antibodies.	IRF8
33751038	10.1093/hmg/ddab066	2021	Sequencing at lymphoid neoplasm susceptibility loci maps six myeloma risk genes.	IRF8
33939500	10.1177/10668969211013402	2021	A Pedigree Analysis and Clonal Correlations of the Coexistence of B-Cell Lymphoma and Histiocytic/Dendritic Cell Tumor.	IRF8
34478526	10.1182/bloodadvances.2021005215	2021	Frequent mutated B2M, EZH2, IRF8, and TNFRSF14 in primary bone diffuse large B-cell lymphoma reflect a GCB phenotype.	IRF8
32012328	10.1002/hon.2718	2020	High throughput sequencing reveals high specificity of TNFAIP3 mutations in ocular adnexal marginal zone B-cell lymphomas.	IRF8
32535543	10.1016/j.cancergen.2020.05.002	2020	Generation and characterization of the Eµ-Irf8 mouse model.	IRF8
32546039	10.1080/10428194.2020.1775216	2020	TBLR1 and CREBBP as potential novel prognostic immunohistochemical biomarkers in diffuse large B-cell lymphoma.	IRF8
33017467	10.1182/bloodadvances.2020002049	2020	The synergistic proapoptotic effect of PARP-1 and HDAC inhibition in cutaneous T-cell lymphoma is mediated via Blimp-1.	IRF8
30105896	10.1002/jcp.27045	2019	Ameloblastin attenuates RANKL-mediated osteoclastogenesis by suppressing activation of nuclear factor of activated T-cell cytoplasmic 1 (NFATc1).	IRF8
31000603	10.1073/pnas.1901258116	2019	Transcription factors IRF8 and PU.1 are required for follicular B cell development and BCL6-driven germinal center responses.	IRF8
31024321	10.3389/fphar.2019.00367	2019	Inhibitory Effect of KP-A038 on Osteoclastogenesis and Inflammatory Bone Loss Is Associated With Downregulation of Blimp1.	IRF8
31292115	10.1182/blood.2019001126	2019	Integrative genomic analysis identifies key pathogenic mechanisms in primary mediastinal large B-cell lymphoma.	IRF8
31444033	10.1016/j.jaut.2019.102317	2019	Genetic contributors and soluble mediators in prediction of autoimmune comorbidity.	IRF8
29463002	10.3390/ijms19020601	2018	Inhibitory Effect of Purpurogallin on Osteoclast Differentiation in Vitro through the Downregulation of c-Fos and NFATc1.	IRF8
29899297	10.3390/ijms19061758	2018	Molecular Mechanisms of Disease Progression in Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type during Ibrutinib Therapy.	IRF8
28533310	10.1182/blood-2017-03-776278	2017	Mutations of <i>MAP2K1</i> are frequent in pediatric-type follicular lymphoma and result in ERK pathway activation.	IRF8
28537908	10.18632/oncotarget.17693	2017	Increased expression of IRF8 in tumor cells inhibits the generation of Th17 cells and predicts unfavorable survival of diffuse large B cell lymphoma patients.	IRF8
26932576	10.1038/leu.2016.27	2016	PU.1 cooperates with IRF4 and IRF8 to suppress pre-B-cell leukemia.	IRF8
27098631		2016	Extranodal B Cell Lymphoma with Prominent Spindle Cell Features Arising in Uterus and in Maxillary Sinus: Report of Two Cases and Literature Review.	IRF8
27338637	10.1038/modpathol.2016.102	2016	A study of the mutational landscape of pediatric-type follicular lymphoma and pediatric nodal marginal zone lymphoma.	IRF8
27559096	10.1126/scitranslmed.aad8949	2016	Thymidine phosphorylase exerts complex effects on bone resorption and formation in myeloma.	IRF8
26316891	10.7150/jca.12067	2015	Loss of IRF8 Inhibits the Growth of Diffuse Large B-cell Lymphoma.	IRF8
23573829	10.3109/10428194.2013.793324	2014	IRF8 is associated with germinal center B-cell-like type of diffuse large B-cell lymphoma and exceptionally involved in translocation t(14;16)(q32.33;q24.1).	IRF8
24435047	10.1182/blood-2013-05-500264	2014	Mutations in linker histone genes HIST1H1 B, C, D, and E; OCT2 (POU2F2); IRF8; and ARID1A underlying the pathogenesis of follicular lymphoma.	IRF8
24886876	10.1186/1756-8722-7-43	2014	Polymorphisms in microRNA target sites modulate risk of lymphoblastic and myeloid leukemias and affect microRNA binding.	IRF8
25265348		2014	Intrinsic defect in B-lymphoblastoid cell lines from patients with X-linked lymphoproliferative disease type 1. II. receptor-mediated Akt/PKB and ERK1/2 activation and transcription factors expression profile.	IRF8
25331958	10.1074/jbc.M114.571182	2014	Interferon regulatory factor 8 (IRF8) interacts with the B cell lymphoma 6 (BCL6) corepressor BCOR.	IRF8
23292937	10.1073/pnas.1205299110	2013	Genetic heterogeneity of diffuse large B-cell lymphoma.	IRF8
23307532	10.1158/1055-9965.EPI-12-1217	2013	Mapping of the IRF8 gene identifies a 3'UTR variant associated with risk of chronic lymphocytic leukemia but not other common non-Hodgkin lymphoma subtypes.	IRF8
23770605	10.1038/ng.2652	2013	Genome-wide association study identifies multiple risk loci for chronic lymphocytic leukemia.	IRF8
