pmid	doi	year	title	Hugo_Symbol
29228628	10.18632/oncotarget.22178	2022	Drug sensitivity profiling identifies potential therapies for lymphoproliferative disorders with overactive JAK/STAT3 signaling.	JAK1
32431543	10.2147/CMAR.S242903	2022	Clinicopathological Characteristics and Mutational Profiling of Adult T-Cell Lymphoblastic Lymphoma in a Chinese Population.	JAK1
33225311	10.1158/2643-3230.BCD-20-0051	2022	Genomic characterization of HIV-associated plasmablastic lymphoma identifies pervasive mutations in the JAK-STAT pathway.	JAK1
33403355	10.1097/HS9.0000000000000516	2022	Challenges and Perspectives for Therapeutic Targeting of Myeloproliferative Neoplasms.	JAK1
33569430	10.21037/atm-20-7574	2022	Molecular profiling of Chinese systemic anaplastic large cell lymphoma patients: novel evidence of genetic heterogeneity.	JAK1
33579790	10.1136/gutjnl-2020-322935	2022	Oncogenetic landscape of lymphomagenesis in coeliac disease.	JAK1
33901030	10.1097/PAI.0000000000000936	2022	ALK-Negative Anaplastic Large Cell Lymphoma (ALCL): Prognostic Implications of Molecular Subtyping and JAK-STAT Pathway.	JAK1
33980611	10.1158/1541-7786.MCR-21-0267	2022	EGR1 Addiction in Diffuse Large B-cell Lymphoma.	JAK1
34521299	10.1080/10428194.2021.1969388	2022	Adherence to ruxolitinib, an oral JAK1/2 inhibitor, in patients with myelofibrosis: interim analysis from an Italian, prospective cohort study (ROMEI).	JAK1
34587248	10.1182/blood.2021012976	2022	Genome-wide CRISPR-Cas9 screen identifies rationally designed combination therapies for CRLF2-rearranged Ph-like ALL.	JAK1
34653242	10.1182/blood.2021013379	2022	A phase 2 biomarker-driven study of ruxolitinib demonstrates effectiveness of JAK/STAT targeting in T-cell lymphomas.	JAK1
34745769	10.1080/2162402X.2021.1995999	2022	Metformin promotes anticancer activity of NK cells in a p38 MAPK dependent manner.	JAK1
34997949	10.1096/fj.202101447R	2022	TSLP up-regulates inflammatory responses through induction of autophagy in T cells.	JAK1
35037568	10.1080/10428194.2021.2024819	2022	Current salvage therapies in Hodgkin lymphoma.	JAK1
35100463	10.1111/cas.15277	2022	Inhibition of adult T-cell leukemia cell proliferation by polymerized proanthocyanidin from blueberry leaves through JAK proteolysis.	JAK1
35101664	10.1016/j.bbrc.2022.01.070	2022	Ruxolitinib reduces severe CRS response by suspending CAR-T cell function instead of damaging CAR-T cells.	JAK1
35131871	10.1158/0008-5472.CAN-21-3386	2022	Transient Inhibition of the JAK/STAT Pathway Prevents B-ALL Development in Genetically Predisposed Mice.	JAK1
35218354	10.1093/rheumatology/keac111	2022	Ruxolitinib Inhibits IFNγ-stimulated Sjögren's Salivary Gland MSC HLA-DR Expression and Chemokine-Dependent T-cell Migration.	JAK1
35260349	10.1016/j.clml.2022.01.012	2022	A Phase 1/2 Study of the Oral Janus Kinase 1 Inhibitors INCB052793 and Itacitinib Alone or in Combination With Standard Therapies for Advanced Hematologic Malignancies.	JAK1
35366115	10.1007/s00428-022-03309-4	2022	Cutaneous presentation of enteropathy-associated T-cell lymphoma masquerading as a DUSP22-rearranged CD30+ lymphoproliferation.	JAK1
35418687	10.1038/s41586-022-04585-5	2022	CAR T cell killing requires the IFNγR pathway in solid but not liquid tumours.	JAK1
35685993	10.21147/j.issn.1000-9604.2022.02.03	2022	Genomic landscape of T-cell lymphoblastic lymphoma.	JAK1
35708139	10.3324/haematol.2022.281226	2022	Monomorphic epitheliotropic intestinal T-cell lymphoma comprises morphologic and genomic heterogeneity impacting outcome.	JAK1
35776779	10.1371/journal.ppat.1010676	2022	STAT and Janus kinase targeting by human herpesvirus 8 interferon regulatory factor in the suppression of type-I interferon signaling.	JAK1
35789258	10.1182/blood.2022015674	2022	Human complete NFAT1 deficiency causes a triad of joint contractures, osteochondromas, and B cell malignancy.	JAK1
35805957	10.3390/ijms23136952	2022	Regulation of S100As Expression by Inflammatory Cytokines in Chronic Lymphocytic Leukemia.	JAK1
35879049	10.1136/gutjnl-2021-326257	2022	Immunopathogenesis and environmental triggers in coeliac disease.	JAK1
35920299	10.1096/fj.202200061RR	2022	Mcm2 hypomorph leads to acute leukemia or hematopoietic stem cell failure, dependent on genetic context.	JAK1
31711337	10.1080/10428194.2019.1688323	2021	Risk factors for infections and secondary malignancies in patients with a myeloproliferative neoplasm treated with ruxolitinib: a dual-center, propensity score-matched analysis.	JAK1
32185560	10.1007/s11894-020-0756-8	2021	Refractory Celiac Disease.	JAK1
32297800	10.1080/10428194.2020.1749606	2021	Management of myelofibrosis after ruxolitinib failure.	JAK1
32558259	10.1111/jcmm.15362	2021	Tubulosine selectively inhibits JAK3 signalling by binding to the ATP-binding site of the kinase of JAK3.	JAK1
32560455	10.3390/cancers12061603	2021	A Novel JAK1 Mutant Breast Implant-Associated Anaplastic Large Cell Lymphoma Patient-Derived Xenograft Fostering Pre-Clinical Discoveries.	JAK1
32767332	10.26355/eurrev_202008_22489	2021	MTMR2 promotes the progression of NK/T cell lymphoma by targeting JAK1.	JAK1
32801162	10.1158/1541-7786.MCR-19-1098	2021	Targeting TSLP-Induced Tyrosine Kinase Signaling Pathways in <i>CRLF2</i>-Rearranged Ph-like ALL.	JAK1
32843425	10.1101/mcs.a004994	2021	Failure of tofacitinib to achieve an objective response in a <i>DDX3X-MLLT10</i> T-lymphoblastic leukemia with activating <i>JAK3</i> mutations.	JAK1
32998963	10.1158/1078-0432.CCR-20-1739	2021	Itacitinib (INCB039110), a JAK1 Inhibitor, Reduces Cytokines Associated with Cytokine Release Syndrome Induced by CAR T-cell Therapy.	JAK1
33168949	10.1038/s41375-020-01082-4	2021	Characterization of p190-Bcr-Abl chronic myeloid leukemia reveals specific signaling pathways and therapeutic targets.	JAK1
33222197	10.1111/bjh.17192	2021	Second primary malignancy in myelofibrosis patients treated with ruxolitinib.	JAK1
33290262	10.18632/aging.202146	2021	The improved anticancer effects of Bortezomib-loaded hollow mesoporous silica nanospheres on lymphoma development.	JAK1
33307035	10.1016/j.ajpath.2020.12.001	2021	PIM Kinases Promote Survival and Immune Escape in Primary Mediastinal Large B-Cell Lymphoma through Modulation of JAK-STAT and NF-κB Activity.	JAK1
33331925	10.1182/blood.2020005372	2021	Chromosome 20 loss is characteristic of breast implant-associated anaplastic large cell lymphoma.	JAK1
33512474	10.1182/blood.2020006528	2021	CBL mutations drive PI3K/AKT signaling via increased interaction with LYN and PIK3R1.	JAK1
33523540	10.1111/ejh.13593	2021	Ruxolitinib as adjunctive therapy for secondary hemophagocytic lymphohistiocytosis: A case series.	JAK1
33544565	10.1097/PAS.0000000000001658	2021	Immunophenotypic Spectrum and Genomic Landscape of Refractory Celiac Disease Type II.	JAK1
