pmid	doi	year	title	Hugo_Symbol
32885355	10.1007/s10637-020-00996-1	2022	The anti-malaria agent artesunate exhibits cytotoxic effects in primary effusion lymphoma.	JUNB
34303663	10.1016/j.ejphar.2021.174373	2022	The antipsychotic drug pimozide is effective against human T-cell leukemia virus type 1-infected T cells.	JUNB
34818414	10.1182/blood.2021012734	2022	Genome-wide CRISPR screen identifies CDK6 as a therapeutic target in adult T-cell leukemia/lymphoma.	JUNB
36045346	10.1186/s12943-022-01640-7	2022	PDGFRβ promotes oncogenic progression via STAT3/STAT5 hyperactivation in anaplastic large cell lymphoma.	JUNB
31935288	10.1182/bloodadvances.2019000947	2021	Expression of the prosurvival kinase HCK requires PAX5 and mutated MYD88 signaling in MYD88-driven B-cell lymphomas.	JUNB
32299901	10.3324/haematol.2019.241307	2021	miR-939 acts as tumor suppressor by modulating JUNB transcriptional activity in pediatric anaplastic large cell lymphoma.	JUNB
32780889	10.1111/ejh.13508	2021	The role of CUDC-907, a dual phosphoinositide-3 kinase and histone deacetylase inhibitor, in inhibiting proliferation of adult T-cell leukemia.	JUNB
33821477	10.1002/ijc.33584	2021	A rare variant in EZH2 is associated with prostate cancer risk.	JUNB
34277639	10.3389/fcell.2021.693706	2021	HIV-1 Transactivator of Transcription (Tat) Co-operates With AP-1 Factors to Enhance <i>c-MYC</i> Transcription.	JUNB
30213827	10.3324/haematol.2018.203224	2020	<i>JUNB</i>, <i>DUSP2</i>, <i>SGK1</i>, <i>SOCS1</i> and <i>CREBBP</i> are frequently mutated in T-cell/histiocyte-rich large B-cell lymphoma.	JUNB
31577659	10.1097/PRS.0000000000006390	2020	Does Breast Implant-Associated ALCL Begin as a Lymphoproliferative Disorder?	JUNB
31996318	10.1016/j.ejphar.2020.172953	2020	Evaluation of artesunate for the treatment of adult T-cell leukemia/lymphoma.	JUNB
28879465	10.1007/s00292-017-0335-4	2019	[Nodular lymphocyte-dominant Hodgkin's lymphoma : LP cells show recurrent mutations in DUSP2, SGK1 and JUNB].	JUNB
29689246	10.1016/j.humpath.2018.04.007	2019	IL-13 is produced by tumor cells in breast implant-associated anaplastic large cell lymphoma: implications for pathogenesis.	JUNB
30375407	10.1038/s41598-018-34199-9	2019	The c-Jun and JunB transcription factors facilitate the transit of classical Hodgkin lymphoma tumour cells through G<sub>1</sub>.	JUNB
27340921	10.18632/oncotarget.10210	2018	Impact of the SCF signaling pathway on leukemia stem cell-mediated ATL initiation and progression in an HBZ transgenic mouse model.	JUNB
27600282	10.1007/s10238-016-0436-z	2018	Expression patterns of the activator protein-1 (AP-1) family members in lymphoid neoplasms.	JUNB
27793034	10.18632/oncotarget.12876	2018	Therapeutic efficacy of the bromodomain inhibitor OTX015/MK-8628 in ALK-positive anaplastic large cell lymphoma: an alternative modality to overcome resistant phenotypes.	JUNB
28586006	10.3892/ijo.2017.4026	2018	Butein inhibits NF-κB, AP-1 and Akt activation in adult T-cell leukemia/lymphoma.	JUNB
28659618	10.1038/leu.2017.203	2018	An oncogenic axis of STAT-mediated BATF3 upregulation causing MYC activity in classical Hodgkin lymphoma and anaplastic large cell lymphoma.	JUNB
28976960	10.1038/nature24037	2018	Cancer drug addiction is relayed by an ERK2-dependent phenotype switch.	JUNB
29048633	10.3892/or.2017.5978	2018	In vitro and in vivo anti-primary effusion lymphoma activities of fucoidan extracted from Cladosiphon okamuranus Tokida.	JUNB
29901068	10.3892/ijo.2018.4427	2018	Mitotic kinase PBK/TOPK as a therapeutic target for adult T‑cell leukemia/lymphoma.	JUNB
26133723	10.3109/10428194.2015.1068306	2017	Silibinin suppresses NPM-ALK, potently induces apoptosis and enhances chemosensitivity in ALK-positive anaplastic large cell lymphoma.	JUNB
26979456	10.1093/asj/sjw023	2017	Biomarkers Provide Clues to Early Events in the Pathogenesis of Breast Implant-Associated Anaplastic Large Cell Lymphoma.	JUNB
20302775		2016	[Expression and function of TRAF1 in Hodgkin's lymphoma cells.].	JUNB
25813203	10.3109/10428194.2015.1034704	2016	The expression levels of JunB, JunD and p-c-Jun are positively correlated with tumor cell proliferation in diffuse large B-cell lymphomas.	JUNB
25987255	10.1038/leu.2015.127	2016	Constitutive control of AKT1 gene expression by JUNB/CJUN in ALK+ anaplastic large-cell lymphoma: a novel crosstalk mechanism.	JUNB
26045176	10.1016/j.joca.2015.05.011	2016	Distinctive pro-inflammatory gene signatures induced in articular chondrocytes by oncostatin M and IL-6 are regulated by Suppressor of Cytokine Signaling-3.	JUNB
26658840	10.1038/leu.2015.328	2016	Highly recurrent mutations of SGK1, DUSP2 and JUNB in nodular lymphocyte predominant Hodgkin lymphoma.	JUNB
26725775	10.1016/j.leukres.2015.11.016	2016	miRNA-149* promotes cell proliferation and suppresses apoptosis by mediating JunB in T-cell acute lymphoblastic leukemia.	JUNB
26747248	10.1182/blood-2015-07-655647	2016	CARMA1- and MyD88-dependent activation of Jun/ATF-type AP-1 complexes is a hallmark of ABC diffuse large B-cell lymphomas.	JUNB
24850846	10.1158/1078-0432.CCR-14-0307	2015	Ectopic expression of cancer-testis antigens in cutaneous T-cell lymphoma patients.	JUNB
25013898	10.1371/journal.pone.0100822	2015	Reliable quantification of protein expression and cellular localization in histological sections.	JUNB
