pmid	doi	year	title	Hugo_Symbol
35977101	10.1182/blood.2022016056	2022	Discovery of novel predisposing coding and noncoding variants in familial Hodgkin lymphoma.	KDR
32997825	10.1111/ejh.13526	2021	VEGFR2 and VEGFA polymorphisms are not associated with an inferior prognosis in Caucasian patients with aggressive B-cell lymphoma.	KDR
33410241	10.1111/cas.14801	2021	VEGFR2 blockade augments the effects of tyrosine kinase inhibitors by inhibiting angiogenesis and oncogenic signaling in oncogene-driven non-small-cell lung cancers.	KDR
34219681	10.3233/TUB-211510	2021	Angiogenesis' related genetic variants alter clinical features and prognosis of diffuse large B-cell lymphoma patients.	KDR
34471499	10.1016/j.csbj.2021.08.003	2021	A data-driven methodology towards evaluating the potential of drug repurposing hypotheses.	KDR
32158186	10.2147/DDDT.S227477	2020	Apatinib in Patients with Relapsed or Refractory Diffuse Large B Cell Lymphoma: A Phase II, Open-Label, Single-Arm, Prospective Study.	KDR
32565964	10.3892/ol.2020.11552	2020	Comprehensive characterization of driver genes in diffuse large B cell lymphoma.	KDR
30423319	10.1016/j.ejphar.2018.11.012	2019	Apatinib exerts anti-tumor activity to non-Hodgkin lymphoma by inhibition of the Ras pathway.	KDR
30896872	10.3892/mmr.2019.10074	2019	Umbilical cord blood‑derived Helios‑positive regulatory T cells promote angiogenesis in acute lymphoblastic leukemia in mice via CCL22 and the VEGFA‑VEGFR2 pathway.	KDR
31126146	10.3390/cells8050498	2019	c-Cbl: An Important Regulator and a Target in Angiogenesis and Tumorigenesis.	KDR
31211886	10.1111/ejh.13279	2019	Bevacizumab synergises with the BCL 2 inhibitor venetoclax to effectively treat B-cell non-Hodgkin's lymphoma.	KDR
29345176	10.1080/10428194.2017.1422858	2018	Bone marrow VEGFC expression is associated with multilineage dysplasia and several prognostic markers in adult acute myeloid leukemia, but not with survival.	KDR
29455107	10.1016/j.leukres.2018.02.007	2018	Helios expression in regulatory T cells promotes immunosuppression, angiogenesis and the growth of leukemia cells in pediatric acute lymphoblastic leukemia.	KDR
29588308	10.1158/1078-0432.CCR-18-0103	2018	Exome Sequencing of Plasma DNA Portrays the Mutation Landscape of Colorectal Cancer and Discovers Mutated VEGFR2 Receptors as Modulators of Antiangiogenic Therapies.	KDR
29636358	10.1158/1078-0432.CCR-17-2452	2018	Resistance Mechanisms to Targeted Therapies in <i>ROS1</i><sup>+</sup> and <i>ALK</i><sup>+</sup> Non-small Cell Lung Cancer.	KDR
29854308	10.18632/oncotarget.25209	2018	Comparative oncology DNA sequencing of canine T cell lymphoma via human hotspot panel.	KDR
29864401	10.1016/j.yexcr.2018.05.038	2018	CS2164 exerts an antitumor effect against human Non-Hodgkin's lymphomas in vitro and in vivo.	KDR
30005850	10.1016/j.cancergen.2018.04.119	2018	Challenges in next generation sequencing analysis of somatic mutations in transplant patients.	KDR
30074936	10.1097/CAD.0000000000000667	2018	Apatinib reverses alectinib resistance by targeting vascular endothelial growth factor receptor 2 and attenuating the oncogenic signaling pathway in echinoderm microtubule-associated protein-like 4-anaplastic lymphoma kinase fusion gene-positive lung cancer cell lines.	KDR
