pmid	doi	year	title	Hugo_Symbol
29657712	10.12688/f1000research.13826.1	2022	Recent advances in understanding the biology of marginal zone lymphoma.	KLF2
34494161	10.1007/s00428-021-03186-3	2022	Mutational landscape of marginal zone B-cell lymphomas of various origin: organotypic alterations and diagnostic potential for assignment of organ origin.	KLF2
34582557	10.1182/blood.2021012091	2022	PEG10 amplification at 7q21.3 potentiates large-cell transformation in cutaneous T-cell lymphoma.	KLF2
34653238	10.1182/blood.2021012386	2022	Genetic and phenotypic attributes of splenic marginal zone lymphoma.	KLF2
35030632	10.1182/bloodadvances.2021006410	2022	Distinct clinical and genetic features of hepatitis B virus-associated follicular lymphoma in Chinese patients.	KLF2
35205796	10.3390/cancers14041050	2022	Immunophenotypic Analysis of Hairy Cell Leukemia (HCL) and Hairy Cell Leukemia-like (HCL-like) Disorders.	KLF2
35339566	10.1016/j.humpath.2022.03.008	2022	Myeloid nuclear differentiation antigen: an aid in differentiating lymphoplasmacytic lymphoma and splenic marginal zone lymphoma in bone marrow biopsies at presentation.	KLF2
35454811	10.3390/cancers14081904	2022	Deciphering Genetic Alterations of Hairy Cell Leukemia and Hairy Cell Leukemia-like Disorders in 98 Patients.	KLF2
35687490	10.1182/bloodadvances.2021006654	2022	Genomic characterization of lymphomas in patients with inborn errors of immunity.	KLF2
32723198	10.1080/10428194.2020.1797006	2021	RNA-sequencing of acute promyelocytic leukemia primary blasts reveals novel molecular biomarkers of early death events.	KLF2
32732678	10.1097/PPO.0000000000000463	2021	Marginal Zone Lymphomas.	KLF2
32947237	10.1016/j.tranon.2020.100855	2021	Identification of clinical molecular targets for childhood Burkitt lymphoma.	KLF2
33968070	10.3389/fimmu.2021.666935	2021	Single-Cell RNA Sequencing Reveals Tissue Compartment-Specific Plasticity of Mycosis Fungoides Tumor Cells.	KLF2
30002791	10.1016/j.csbj.2018.06.001	2020	Lung Cancer Therapy Targeting Histone Methylation: Opportunities and Challenges.	KLF2
31144355	10.1002/jcb.28861	2020	MicroRNA-25 aggravates Aβ1-42-induced hippocampal neuron injury in Alzheimer's disease by downregulating KLF2 via the Nrf2 signaling pathway in a mouse model.	KLF2
31320741	10.1038/s41598-019-46906-1	2020	Systematic Review of Somatic Mutations in Splenic Marginal Zone Lymphoma.	KLF2
31713921	10.1002/jcb.29517	2020	Downregulated microRNA-92a-3p inhibits apoptosis and promotes proliferation of pancreatic acinar cells in acute pancreatitis by enhancing KLF2 expression.	KLF2
32075248	10.3390/microorganisms8020258	2020	Epstein-Barr Virus miR-BART17-5p Promotes Migration and Anchorage-Independent Growth by Targeting Kruppel-Like Factor 2 in Gastric Cancer.	KLF2
29989027	10.18632/oncotarget.25601	2019	New generation sequencing of targeted genes in the classical and the variant form of hairy cell leukemia highlights mutations in epigenetic regulation genes.	KLF2
30623224	10.1007/s00347-018-0840-8	2019	[New molecular pathological strategies for malignant iris tumors].	KLF2
27121112	10.3109/10428194.2016.1173212	2018	Genetic aberrations in small B-cell lymphomas and leukemias: molecular pathology, clinical relevance and therapeutic targets.	KLF2
28522570	10.3324/haematol.2016.161711	2018	Clinical and diagnostic relevance of <i>NOTCH2</i>-and <i>KLF2</i>-mutations in splenic marginal zone lymphoma.	KLF2
28751561	10.3324/haematol.2016.160192	2018	Exome sequencing identifies recurrent <i>BCOR</i> alterations and the absence of <i>KLF2</i>, <i>TNFAIP3</i> and <i>MYD88</i> mutations in splenic diffuse red pulp small B-cell lymphoma.	KLF2
26989207	10.1182/blood-2015-11-624312	2017	Splenic marginal zone lymphoma: from genetics to management.	KLF2
27197189	10.1158/0008-5472.CAN-15-2698	2017	Ribosomal Protein Rpl22 Controls the Dissemination of T-cell Lymphoma.	KLF2
27335277	10.1182/blood-2016-02-696757	2017	The genetics of nodal marginal zone lymphoma.	KLF2
27503810	10.1016/j.semcancer.2016.08.002	2017	NF-κB deregulation in splenic marginal zone lymphoma.	KLF2
28188237	10.1042/CS20160930	2017	First identification of <i>Krüppel-like factor 2</i> mutation in heritable pulmonary arterial hypertension.	KLF2
28288718	10.1016/j.beha.2016.09.005	2017	Splenic marginal zone lymphoma.	KLF2
28297625	10.1200/JCO.2016.71.1556	2017	Genomics of Hairy Cell Leukemia.	KLF2
28892161	10.1002/path.4982	2017	A gene is known by the company it keeps: enrichment of TNFAIP3 gene aberrations in MALT lymphomas expressing IGHV4-34 antigen receptors.	KLF2
25728499	10.1111/apha.12476	2016	Dopamine and T cells: dopamine receptors and potent effects on T cells, dopamine production in T cells, and abnormalities in the dopaminergic system in T cells in autoimmune, neurological and psychiatric diseases.	KLF2
25779943	10.1158/1078-0432.CCR-14-2759	2016	Genetics and Prognostication in Splenic Marginal Zone Lymphoma: Revelations from Deep Sequencing.	KLF2
25283840	10.1038/leu.2014.294	2015	The Krüppel-like factor 2 transcription factor gene is recurrently mutated in splenic marginal zone lymphoma.	KLF2
25428260	10.1038/leu.2014.330	2015	KLF2 mutation is the most frequent somatic change in splenic marginal zone lymphoma and identifies a subset with distinct genotype.	KLF2
25612624	10.1182/blood-2014-08-596247	2015	DNA methylation profiling identifies two splenic marginal zone lymphoma subgroups with different clinical and genetic features.	KLF2
