pmid	doi	year	title	Hugo_Symbol
32012328	10.1002/hon.2718	2020	High throughput sequencing reveals high specificity of TNFAIP3 mutations in ocular adnexal marginal zone B-cell lymphomas.	KLHL6
32059783	10.1016/j.cell.2020.01.029	2020	Lymphoma Driver Mutations in the Pathogenic Evolution of an Iconic Human Autoantibody.	KLHL6
30646831	10.1080/15384101.2019.1568765	2019	KLHL6 is a tumor suppressor gene in diffuse large B-cell lymphoma.	KLHL6
29695787	10.1038/s41556-018-0084-5	2018	Loss of KLHL6 promotes diffuse large B-cell lymphoma growth and survival by stabilizing the mRNA decay factor roquin2.	KLHL6
29738359	10.1097/PAS.0000000000001071	2018	Genomic Profile and Pathologic Features of Diffuse Large B-Cell Lymphoma Subtype of Methotrexate-associated Lymphoproliferative Disorder in Rheumatoid Arthritis Patients.	KLHL6
30209976	10.1080/15384101.2018.1522912	2018	PTPN14 regulates Roquin2 stability by tyrosine dephosphorylation.	KLHL6
28479318	10.1016/j.jid.2017.04.010	2017	Identification of Somatic Mutations in Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type by Massive Parallel Sequencing.	KLHL6
28807996	10.4049/jimmunol.1700708	2017	Klhl6 Deficiency Impairs Transitional B Cell Survival and Differentiation.	KLHL6
29140403	10.1093/ajcp/aqx099	2017	KLHL6 Is Preferentially Expressed in Germinal Center-Derived B-Cell Lymphomas.	KLHL6
27248180	10.18632/oncotarget.9678	2016	The genetic landscape of dural marginal zone lymphomas.	KLHL6
23531283	10.1186/1752-0509-7-25	2013	MutComFocal: an integrative approach to identifying recurrent and focal genomic alterations in tumor samples.	KLHL6
22585168	10.1158/2159-8290.CD-11-0208	2012	Molecular ontogeny of donor-derived follicular lymphomas occurring after hematopoietic cell transplantation.	KLHL6
19465900	10.1038/modpathol.2009.54	2009	Lymphocyte-rich classical Hodgkin's lymphoma: distinctive tumor and microenvironment markers.	KLHL6
