pmid	doi	year	title	Hugo_Symbol
33431788	10.1038/s41392-020-00437-8	2022	CREBBP/EP300 mutations promoted tumor progression in diffuse large B-cell lymphoma through altering tumor-associated macrophage polarization via FBXW7-NOTCH-CCL2/CSF1 axis.	KMT2C
33829512	10.1111/his.14378	2022	Bcl-2-negative IGH-BCL2 translocation-negative follicular lymphoma of the thyroid differs genetically and epigenetically from Bcl-2-positive IGH-BCL2 translocation-positive follicular lymphoma.	KMT2C
34341476	10.1038/s10038-021-00965-3	2022	PAX3/7-FOXO1 fusion-negative alveolar rhabdomyosarcoma in Schuurs-Hoeijmakers syndrome.	KMT2C
34390161	10.1002/pbc.29285	2022	Molecular features of non-anaplastic peripheral T-cell lymphoma in children and adolescents.	KMT2C
34591292	10.1007/s12185-021-03229-0	2022	Successful treatment of hepatosplenic T-cell lymphoma with fludarabine, high-dose cytarabine and subsequent unrelated umbilical cord blood transplantation.	KMT2C
34980830	10.1097/PAS.0000000000001859	2022	Clinicopathologic and Genetic Features of Primary T-cell Lymphomas of the Central Nervous System: An Analysis of 11 Cases Using Targeted Gene Sequencing.	KMT2C
35008340	10.3390/cancers14010176	2022	Recent Advances in the Genetic of MALT Lymphomas.	KMT2C
35300216	10.2147/JIR.S341355	2022	The Mutation of <i>BTG2</i> Gene Predicts a Poor Outcome in Primary Testicular Diffuse Large B-Cell Lymphoma.	KMT2C
35504960	10.1038/s41598-022-11247-z	2022	A retrospective study on the clinicopathological and molecular features of 22 cases of natural killer/T-cell lymphoma in children and adolescents.	KMT2C
35522148	10.3324/haematol.2021.280005	2022	Focal structural variants revealed by whole genome sequencing disrupt the histone demethylase <i>KDM4C</i> in B cell lymphomas.	KMT2C
35834399	10.1097/PAS.0000000000001932	2022	Pediatric-Type Indolent B-Cell Lymphomas With Overlapping Clinical, Pathologic, and Genetic Features.	KMT2C
31028364	10.1038/s41379-019-0279-8	2021	Whole exome sequencing reveals mutations in FAT1 tumor suppressor gene clinically impacting on peripheral T-cell lymphoma not otherwise specified.	KMT2C
32191807	10.1182/bloodadvances.2019001396	2021	Genomic profiles and clinical outcomes of de novo blastoid/pleomorphic MCL are distinct from those of transformed MCL.	KMT2C
32469082	10.1002/cncr.32866	2021	Genome-defined African ancestry is associated with distinct mutations and worse survival in patients with diffuse large B-cell lymphoma.	KMT2C
32560455	10.3390/cancers12061603	2021	A Novel JAK1 Mutant Breast Implant-Associated Anaplastic Large Cell Lymphoma Patient-Derived Xenograft Fostering Pre-Clinical Discoveries.	KMT2C
33655698	10.1002/cam4.3649	2021	Integration of comprehensive genomic profiling, tumor mutational burden, and PD-L1 expression to identify novel biomarkers of immunotherapy in non-small cell lung cancer.	KMT2C
34256839	10.1186/s40164-021-00232-3	2021	Progress in molecular feature of smoldering mantle cell lymphoma.	KMT2C
29629950	10.1097/PAI.0000000000000644	2020	A Survey of Somatic Mutations in 41 Genes in a Cohort of T-Cell Lymphomas Identifies Frequent Mutations in Genes Involved in Epigenetic Modification.	KMT2C
31092896	10.1038/s41375-019-0473-1	2020	Molecular heterogeneity in peripheral T-cell lymphoma, not otherwise specified revealed by comprehensive genetic profiling.	KMT2C
31221981	10.1038/s12276-019-0230-6	2020	The cancer driver genes IDH1/2, JARID1C/ KDM5C, and UTX/ KDM6A: crosstalk between histone demethylation and hypoxic reprogramming in cancer metabolism.	KMT2C
31288594	10.1080/10428194.2019.1630620	2020	Misidentification of <i>MLL3</i> and other mutations in cancer due to highly homologous genomic regions.	KMT2C
31774495	10.1182/blood.2019001904	2020	Gene alterations in epigenetic modifiers and JAK-STAT signaling are frequent in breast implant-associated ALCL.	KMT2C
32239765	10.1002/ajh.25796	2020	Efficacy of venetoclax in high risk relapsed mantle cell lymphoma (MCL) - outcomes and mutation profile from venetoclax resistant MCL patients.	KMT2C
32770099	10.1038/s41598-020-70310-9	2020	Genetic heterogeneity and prognostic impact of recurrent ANK2 and TP53 mutations in mantle cell lymphoma: a multi-centre cohort study.	KMT2C
30401751	10.1182/bloodadvances.2018022962	2019	Insights into the genomic landscape of MYD88 wild-type Waldenström macroglobulinemia.	KMT2C
26647218	10.1158/1078-0432.CCR-15-2123	2018	Genetic Landscapes of Relapsed and Refractory Diffuse Large B-Cell Lymphomas.	KMT2C
27203213	10.18632/oncotarget.9400	2018	Genetic landscape of T- and NK-cell post-transplant lymphoproliferative disorders.	KMT2C
26551667	10.1038/ng.3442	2016	The mutational landscape of cutaneous T cell lymphoma and Sézary syndrome.	KMT2C
26880370	10.1186/s12943-016-0500-z	2016	Mutation of epigenetic regulators TET2 and MLL3 in patients with HTLV-I-induced acute adult T-cell leukemia.	KMT2C
