pmid	doi	year	title	Hugo_Symbol
33579790	10.1136/gutjnl-2020-322935	2022	Oncogenetic landscape of lymphomagenesis in coeliac disease.	KMT2D
34265801	10.1097/PAS.0000000000001780	2022	Plasticity of Mature B Cells Between Follicular and Classic Hodgkin Lymphomas: A Series of 22 Cases Expanding the Spectrum of Transdifferentiation.	KMT2D
34325497	10.4143/crt.2021.752	2022	Plasma Circulating Tumor DNA in Patients with Primary Central Nervous System Lymphoma.	KMT2D
34494161	10.1007/s00428-021-03186-3	2022	Mutational landscape of marginal zone B-cell lymphomas of various origin: organotypic alterations and diagnostic potential for assignment of organ origin.	KMT2D
34515044	10.1159/000518227	2022	A Patient with Kabuki Syndrome Mutation Presenting with Very Severe Aplastic Anemia.	KMT2D
34553842	10.1002/cnr2.1559	2022	Genetic features of B-cell lymphoblastic lymphoma with TCF3-PBX1.	KMT2D
34601504	10.1038/s41379-021-00938-z	2022	Histopathologic, immunophenotypic, and mutational landscape of follicular lymphomas with plasmacytic differentiation.	KMT2D
34654055	10.1182/bloodadvances.2021006034	2022	Diffuse large B-cell lymphomas in adults with aberrant coexpression of CD10, BCL6, and MUM1 are enriched in IRF4 rearrangements.	KMT2D
34664256	10.1111/bjh.17894	2022	Tracking the evolution of untreated high-intermediate/high-risk diffuse large B-cell lymphoma by circulating tumour DNA.	KMT2D
34837284	10.1111/cas.15224	2022	Decreased expression of T-cell-associated immune markers predicts poor prognosis in patients with follicular lymphoma.	KMT2D
34957565	10.1002/path.5861	2022	Widespread in situ follicular neoplasia in patients who subsequently developed follicular lymphoma.	KMT2D
34967008	10.1111/bjh.17990	2022	The molecular ontogeny of follicular lymphoma: gene mutations succeeding the BCL2 translocation define common precursor cells.	KMT2D
34977845	10.1016/j.xjidi.2021.100068	2022	Genomic Analysis of Cutaneous CD30-Positive Lymphoproliferative Disorders.	KMT2D
34980601	10.1158/1078-0432.CCR-21-2949	2022	Genetic Subtyping and Phenotypic Characterization of the Immune Microenvironment and MYC/BCL2 Double Expression Reveal Heterogeneity in Diffuse Large B-cell Lymphoma.	KMT2D
35022084	10.1186/s13046-021-02234-9	2022	The follicular lymphoma epigenome regulates its microenvironment.	KMT2D
35038193	10.1111/his.14617	2022	Incidence, clinicopathological features and genetics of in-situ follicular neoplasia: a comprehensive screening study in a Japanese cohort.	KMT2D
