pmid	doi	year	title	Hugo_Symbol
31820339	10.1007/s40259-019-00398-7	2021	A Randomized, Double-Blind, Efficacy and Safety Study of PF-05280586 (a Rituximab Biosimilar) Compared with Rituximab Reference Product (MabThera<sup>®</sup>) in Subjects with Previously Untreated CD20-Positive, Low-Tumor-Burden Follicular Lymphoma (LTB-FL).	LTB
33847924	10.1007/s12185-021-03151-5	2021	Pretreatment levels of serum soluble interleukin-2 receptor are useful in selecting the treatment regimen for newly diagnosed advanced-stage follicular lymphoma with low tumor burden.	LTB
29504848	10.1080/08916934.2018.1446525	2019	Signalling pathways identified in salivary glands from primary Sjögren's syndrome patients reveal enhanced adipose tissue development.	LTB
29665320	10.1002/cjp2.97	2019	Reduced lymphotoxin-beta production by tumour cells is associated with loss of follicular dendritic cell phenotype and diffuse growth in follicular lymphoma.	LTB
29377265	10.1111/jgh.14100	2018	Watch-and-wait policy versus rituximab-combined chemotherapy in Japanese patients with intestinal follicular lymphoma.	LTB
26382560	10.3109/00365521.2015.1087589	2016	The role of watch and wait in intestinal follicular lymphoma in rituximab era.	LTB
26456771	10.1111/bjh.13760	2016	Lymphotoxin-β receptor in microenvironmental cells promotes the development of T-cell acute lymphoblastic leukaemia with cortical/mature immunophenotype.	LTB
25211095	10.18632/oncotarget.2390	2015	Methylation of miR-155-3p in mantle cell lymphoma and other non-Hodgkin's lymphomas.	LTB
23233615	10.1182/asheducation-2012.1.433	2013	Is there a role for watch and wait in follicular lymphoma in the rituximab era?	LTB
20001230	10.3109/10428190903350397	2010	Genetic changes including gene copy number alterations and their relation to prognosis in childhood acute myeloid leukemia.	LTB
18561999	10.1016/j.leukres.2008.05.005	2008	5-LOX, 12-LOX and 15-LOX in immature forms of human leukemic blasts.	LTB
15914563	10.1182/blood-2004-10-3898	2005	Splenic marginal zone lymphoma: proposal of new diagnostic and prognostic markers identified after tissue and cDNA microarray analysis.	LTB
12801841		2004	Lymphotoxin beta expression is high in chronic lymphocytic leukemia but low in small lymphocytic lymphoma: a quantitative real-time reverse transcriptase polymerase chain reaction analysis.	LTB
15035852	10.1089/107999004322917034	2004	Transcriptional response of T cells to IFN-alpha: changes induced in IFN-alpha-sensitive and resistant cutaneous T cell lymphoma.	LTB
15240709	10.4049/jimmunol.173.2.1184	2004	Role of IFN regulatory factor-1 and IL-12 in immunological resistance to pathogenesis of N-methyl-N-nitrosourea-induced T lymphoma.	LTB
10953976	10.3109/10428190009059274	2001	Tumour necrosis factor gene polymorphisms in lymphoproliferative disease.	LTB
11092613	10.1007/s002620000127	2001	Expression of genes coding for the tumor necrosis factor and lymphotoxin ligand-receptor system in non-Hodgkin's lymphomas.	LTB
9299492	10.1006/bbrc.1997.7277	1997	Identification of two lymphotoxin beta isoforms expressed in human lymphoid cell lines and non-Hodgkin's lymphomas.	LTB
9317127		1997	Characterization of lymphotoxin-alpha beta complexes on the surface of mouse lymphocytes.	LTB
