pmid	doi	year	title	Hugo_Symbol
32669871	10.2147/CMAR.S242135	2022	Sevoflurane Regulates Glioma Progression by Circ_0002755/miR-628-5p/MAGT1 Axis.	MAGT1
33869058	10.3389/fonc.2021.653266	2022	Case Report: EBV-Positive Extra-Nodal Marginal Zone Lymphoma Associated With XMEN Disease Caused by a Novel Hemizygous Mutation in <i>MAGT1</i>.	MAGT1
35145548	10.3389/fgene.2022.768000	2022	Further Delineation of the Spectrum of XMEN Disease in Six Chinese Pediatric Patients.	MAGT1
35264785	10.1038/s41435-022-00166-8	2022	Identification of a novel MAGT1 mutation supports a diagnosis of XMEN disease.	MAGT1
35524383	10.18502/ijaai.v21i1.8622	2022	Scales of Magt1 Gene: Novel Mutations, Different Presentations.	MAGT1
32229066	10.1016/j.blre.2020.100676	2021	Magnesium: The overlooked electrolyte in blood cancers?	MAGT1
32451662	10.1007/s10875-020-00790-x	2021	An Update on XMEN Disease.	MAGT1
33162537	10.11406/rinketsu.61.1365	2021	[Lymphoproliferative disorders and inborn errors of immunity].	MAGT1
34447369	10.3389/fimmu.2021.671755	2021	Primary Immune Regulatory Disorders With an Autoimmune Lymphoproliferative Syndrome-Like Phenotype: Immunologic Evaluation, Early Diagnosis and Management.	MAGT1
34638238	10.3390/cancers13194752	2021	Epstein-Barr Virus in Inborn Immunodeficiency-More Than Infection.	MAGT1
31402499	10.1111/imr.12791	2020	Signaling pathways involved in the T-cell-mediated immunity against Epstein-Barr virus: Lessons from genetic diseases.	MAGT1
31507602	10.3389/fimmu.2019.02000	2020	Magnesium Restores Activity to Peripheral Blood Cells in a Patient With Functionally Impaired Interleukin-2-Inducible T Cell Kinase.	MAGT1
29342998	10.3760/cma.j.issn.0578-1310.2018.01.013	2018	[X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection, and neoplasia: report of a family and literature review].	MAGT1
24752033	10.1684/mrh.2014.0357	2015	The channel-kinase TRPM7, revealing the untold story of Mg(2+) in cellular signaling.	MAGT1
25339095	10.1007/s10875-014-0110-8	2015	Interleukin-2-inducible T-cell kinase (ITK) deficiency - clinical and molecular aspects.	MAGT1
25504528	10.1007/s10875-014-0116-2	2015	Identification of a novel mutation in MAGT1 and progressive multifocal leucoencephalopathy in a 58-year-old man with XMEN disease.	MAGT1
25956530	10.1016/j.clim.2015.04.015	2015	A case of XMEN syndrome presented with severe auto-immune disorders mimicking autoimmune lymphoproliferative disease.	MAGT1
24550228	10.1182/blood-2013-11-538686	2014	XMEN disease: a new primary immunodeficiency affecting Mg2+ regulation of immunity against Epstein-Barr virus.	MAGT1
23846901	10.1126/science.1240094	2013	Mg2+ regulates cytotoxic functions of NK and CD8 T cells in chronic EBV infection through NKG2D.	MAGT1
