pmid	doi	year	title	Hugo_Symbol
32771436	10.1016/j.drudis.2020.07.021	2022	Myeloid cell leukemin-1 inhibitors: a growing arsenal for cancer therapy.	MCL1
33514658	10.1158/1541-7786.MCR-20-0973	2022	Selective ERBB2 and BCL2 Inhibition Is Synergistic for Mitochondrial-Mediated Apoptosis in MDS and AML Cells.	MCL1
33853293	10.3324/haematol.2020.272609	2022	Pevonedistat and azacitidine upregulate NOXA (PMAIP1) to increase sensitivity to venetoclax in preclinical models of acute myeloid leukemia.	MCL1
33870156	10.1016/j.jhepr.2021.100250	2022	Genetic or pharmacological reduction of cholangiocyte senescence improves inflammation and fibrosis in the <i>Mdr2</i> <sup><i>-/-</i></sup>  mouse.	MCL1
34153472	10.1016/j.bmcl.2021.128215	2022	Design, synthesis and biological evaluation of dual Bcl-2/Mcl-1 inhibitors bearing 2-(1H-indol-4-yl)benzoic acid scaffold.	MCL1
34343635	10.1016/j.canlet.2021.07.045	2022	Evasion of cell death: A contributory factor in prostate cancer development and treatment resistance.	MCL1
34601571	10.1182/blood.2021013156	2022	Effective therapy for AML with RUNX1 mutation by cotreatment with inhibitors of protein translation and BCL2.	MCL1
34610112	10.1182/bloodadvances.2021004513	2022	Inhibiting casein kinase 2 sensitizes acute lymphoblastic leukemia cells to venetoclax via MCL1 degradation.	MCL1
34625423	10.1158/0008-5472.CAN-21-1023	2022	Inhibition of PIM Kinases in DLBCL Targets MYC Transcriptional Program and Augments the Efficacy of Anti-CD20 Antibodies.	MCL1
34728569	10.1158/1535-7163.MCT-21-0511	2022	Anti-apoptotic MCL1 Protein Represents Critical Survival Molecule for Most Burkitt Lymphomas and BCL2-negative Diffuse Large B-cell Lymphomas.	MCL1
34913076	10.3892/ijo.2021.5292	2022	Synergism of a novel MCL‑1 downregulator, acriflavine, with navitoclax (ABT‑263) in triple‑negative breast cancer, lung adenocarcinoma and glioblastoma multiforme.	MCL1
35023102	10.1007/978-3-030-78787-5_20	2022	Early and Very Early GRIM19 and MCL1 Expression Are Correlated to Late Acquired Prednisolone Effects in a T-Cell Acute Leukemia Cell Line.	MCL1
35035775	10.18632/oncotarget.28177	2022	GZ17-6.02 and palbociclib interact to kill ER+ breast cancer cells.	MCL1
35058488	10.1038/s41598-022-04916-6	2022	Inhibition of MCL1 induces apoptosis in anaplastic large cell lymphoma and in primary effusion lymphoma.	MCL1
35136485	10.18632/oncotarget.28189	2022	GZ17-6.02 and axitinib interact to kill renal carcinoma cells.	MCL1
35185150	10.1038/s41392-021-00870-3	2022	Activation of RAS/MAPK pathway confers MCL-1 mediated acquired resistance to BCL-2 inhibitor venetoclax in acute myeloid leukemia.	MCL1
35233562	10.15212/amm-2021-0002	2022	The regulation of neuronal autophagy and cell survival by MCL1 in Alzheimer's disease.	MCL1
35704690	10.1182/blood.2021014304	2022	Deregulation and epigenetic modification of BCL2-family genes cause resistance to venetoclax in hematologic malignancies.	MCL1
35979721	10.3324/haematol.2022.280631	2022	Selective inhibition of MCL1 overcomes venetoclax-resistance in a murine model of myelodysplastic syndromes.	MCL1
30055346	10.1016/j.tranon.2018.07.007	2021	Variable Responses of MYC Translocation Positive Lymphoma Cell Lines To Different Combinations of Novel Agents: Impact of BCL2 Family Protein Expression.	MCL1
31501195	10.1101/cshperspect.a035089	2021	Bcl-2-Protein Family as Modulators of IP<sub>3</sub> Receptors and Other Organellar Ca<sup>2+</sup> Channels.	MCL1
31601689	10.3324/haematol.2019.220525	2021	Specific interactions of BCL-2 family proteins mediate sensitivity to BH3-mimetics in diffuse large B-cell lymphoma.	MCL1
32045477	10.1182/bloodadvances.2019000359	2021	Venetoclax response is enhanced by selective inhibitor of nuclear export compounds in hematologic malignancies.	MCL1
32126142	10.1182/bloodadvances.2019000844	2021	Copanlisib synergizes with conventional and targeted agents including venetoclax in B- and T-cell lymphoma models.	MCL1
32204955	10.1016/j.blre.2020.100672	2021	Targeting MCL-1 in hematologic malignancies: Rationale and progress.	MCL1
32290241	10.3390/cancers12040938	2021	BCL-2 Proteins in Pathogenesis and Therapy of B-Cell Non-Hodgkin Lymphomas.	MCL1
32385800	10.1007/s12017-020-08600-8	2021	Downregulation of Microrna-421 Relieves Cerebral Ischemia/Reperfusion Injuries: Involvement of Anti-apoptotic and Antioxidant Activities.	MCL1
32397113	10.3390/ijms21093323	2021	Identification of Lenalidomide Sensitivity and Resistance Mechanisms in Non-Del(5q) Myelodysplastic Syndromes.	MCL1
32569380	10.1182/bloodadvances.2019001416	2021	Cotargeting BCL-2 and MCL-1 in high-risk B-ALL.	MCL1
32600066	10.1080/13543784.2020.1789588	2021	Enhancing venetoclax activity in hematological malignancies.	MCL1
32665700	10.1038/s41375-020-0968-9	2021	Correction: Dependency on the TYK2/STAT1/MCL1 axis in anaplastic large cell lymphoma.	MCL1
32731448	10.3390/biom10081114	2021	Predicted Hotspot Residues Involved in Allosteric Signal Transmission in Pro-Apoptotic Peptide-Mcl1 Complexes.	MCL1
32764384	10.3390/cancers12082182	2021	Simultaneously Inhibiting BCL2 and MCL1 Is a Therapeutic Option for Patients with Advanced Melanoma.	MCL1
32860732	10.1002/psp4.12552	2021	Multiscale Model Identifies Improved Schedule for Treatment of Acute Myeloid Leukemia In Vitro With the Mcl-1 Inhibitor AZD5991.	MCL1
32862872	10.1016/S2152-2650(20)30464-X	2021	Harnessing Apoptosis in AML.	MCL1
32898245	10.1182/bloodadvances.2019001393	2021	AKT signaling restrains tumor suppressive functions of FOXO transcription factors and GSK3 kinase in multiple myeloma.	MCL1
32907612	10.1186/s12943-020-01254-x	2021	Loss of FBXW7-mediated degradation of BRAF elicits resistance to BET inhibitors in adult T cell leukemia cells.	MCL1
32943617	10.1038/s41419-020-02944-6	2021	BDA-366, a putative Bcl-2 BH4 domain antagonist, induces apoptosis independently of Bcl-2 in a variety of cancer cell models.	MCL1
33039369	10.1016/j.humpath.2020.09.016	2021	Decreased BIM expression in BCL2-negative follicular lymphoma: a potential mechanism for resistance to apoptosis.	MCL1
33067607	10.1182/blood.2020008017	2021	Tumor-targeted nanoparticles improve the therapeutic index of BCL2 and MCL1 dual inhibition.	MCL1
33125144	10.3892/or.2020.7797	2021	Dracocephalum palmatum Stephan extract induces caspase‑ and mitochondria‑dependent apoptosis via Myc inhibition in diffuse large B cell lymphoma.	MCL1
33205684	10.1080/17474086.2020.1852923	2021	Apoptosis targeted therapies in acute myeloid leukemia: an update.	MCL1
33259592	10.1182/blood.2020008528	2021	Targeting Bfl-1 via acute CDK9 inhibition overcomes intrinsic BH3-mimetic resistance in lymphomas.	MCL1
33298918	10.1038/s41467-020-20136-w	2021	Primary effusion lymphoma enhancer connectome links super-enhancers to dependency factors.	MCL1
33446629	10.1038/s41408-020-00402-2	2021	MCL-1 dependency as a novel vulnerability for aggressive B cell lymphomas.	MCL1
33471866	10.1371/journal.ppat.1009179	2021	Kaposi's sarcoma-associated herpesvirus latency-associated nuclear antigen dysregulates expression of MCL-1 by targeting FBW7.	MCL1
33512431	10.1182/blood.2020007452	2021	Impaired ribosome biogenesis checkpoint activation induces p53-dependent MCL-1 degradation and MYC-driven lymphoma death.	MCL1
33560385	10.1182/bloodadvances.2020003429	2021	Antileukemic efficacy of a potent artemisinin combined with sorafenib and venetoclax.	MCL1
33658484	10.1038/s41419-020-03351-7	2021	Phosphatase PP2A enhances MCL-1 protein half-life in multiple myeloma cells.	MCL1
33670870	10.3390/cancers13051002	2021	Apoptotic Blocks in Primary Non-Hodgkin B Cell Lymphomas Identified by BH3 Profiling.	MCL1
33735476	10.1002/ajh.26163	2021	R-MACLO-IVAM regimen followed by maintenance therapy induces durable remissions in untreated mantle cell lymphoma - Long term follow up results.	MCL1
33777762	10.3389/fonc.2021.618908	2021	CS2164 and Venetoclax Show Synergistic Antitumoral Activities in High Grade B-Cell Lymphomas With <i>MYC</i> and <i>BCL2</i> Rearrangements.	MCL1
33803505	10.3390/biology10030234	2021	E3 Ubiquitin Ligase ASB17 Promotes Apoptosis by Ubiquitylating and Degrading BCLW and MCL1.	MCL1
34007050	10.1038/s41375-021-01291-5	2021	MAPK-ERK is a central pathway in T-cell acute lymphoblastic leukemia that drives steroid resistance.	MCL1
34061027	10.7554/eLife.67336	2021	Contingency and chance erase necessity in the experimental evolution of ancestral proteins.	MCL1
34088885	10.18632/aging.203098	2021	Revealing the therapeutic targets and molecular mechanisms of emodin-treated coronavirus disease 2019 via a systematic study of network pharmacology.	MCL1
34339789	10.1016/j.ijbiomac.2021.07.166	2021	Myeloid cell leukemia 1 (MCL-1): Structural characteristics and application in cancer therapy.	MCL1
34465776	10.1038/s41467-021-25405-w	2021	Molecular and functional profiling identifies therapeutically targetable vulnerabilities in plasmablastic lymphoma.	MCL1
34475520	10.1038/s42003-021-02564-6	2021	The multiple mechanisms of MCL1 in the regulation of cell fate.	MCL1
