pmid	doi	year	title	Hugo_Symbol
31355228	10.21037/atm.2019.05.28	2022	Prognostic significance of the <i>PANK</i> family expression in acute myeloid leukemia.	MET
31576173	10.2147/CMAR.S194337	2022	Bortezomib sensitivity is tissue dependent and high expression of the 20S proteasome precludes good response in malignant pleural mesothelioma.	MET
31749998	10.1136/bmjgh-2019-001825	2022	Cost and cost-effectiveness of childhood cancer treatment in low-income and middle-income countries: a systematic review.	MET
31807491	10.4103/sajc.sajc_373_18	2022	Predictive biomarkers in nonsmall cell carcinoma and their clinico-pathological association.	MET
32346306	10.2147/IJGM.S245779	2022	Patterns of Glucose Fluctuation are Challenging in Patients Treated for Non-Hodgkin's Lymphoma.	MET
32408414	10.5045/br.2020.2020032	2022	Apparent diffusion coefficient as a valuable quantitative parameter for predicting clinical outcomes in patients with newly diagnosed primary CNS lymphoma.	MET
32457620	10.3389/fphar.2020.00621	2022	Safety of Anticancer Agents Used in Children: A Focus on Their Off-Label Use Through Data From the Spontaneous Reporting System.	MET
32577090	10.6001/actamedica.v27i1.4260	2022	Improvement in childhood cancer survival in Lithuania over three decades.	MET
32606772	10.2147/OTT.S250233	2022	HDAC1/2 Inhibitor Romidepsin Suppresses DEN-Induced Hepatocellular Carcinogenesis in Mice.	MET
32656132	10.4103/ajns.AJNS_366_19	2022	Radiologic-Histopathologic Correlation of Adult Spinal Tumors: A Retrospective Study.	MET
32661506	10.15344/2456-8007/2020/145	2022	Prevalence of Malignancy Among Urban Black Rheumatoid Arthritis Patients.	MET
33043062	10.36469/jheor.2020.17088	2022	Diagnostic Accuracy of Next Generation Sequencing Panel using Circulating Tumor DNA in Patients with Advanced Non-Small Cell Lung Cancer: A Systematic Review and Meta-Analysis.	MET
33094130	10.14338/IJPT-20-00010.1	2022	Reducing Heart Dose with Protons and Cardiac Substructure Sparing for Mediastinal Lymphoma Treatment.	MET
33145207	10.4103/ajns.AJNS_208_20	2022	Outcome and Prognostic Factors of Primary Central Nervous System Lymphoma in Southern Thailand.	MET
33402590	10.4103/ijc.IJC_470_19	2022	FISH patterns of ROS1, MET, and ALK with a correlation of ALK immunohistochemistry in lung cancer: a case for introducing ALK immunohistochemistry 'Equivocal' interpretation category in the Ventana anti-ALK (D5F3) CDx assay - A tertiary cancer center experience.	MET
33423957	10.1016/j.jasc.2020.12.002	2022	Oncogenic gene transcripts detection by FISH on liquid-based cytology slides of 338 advanced lung cancer patients.	MET
33487576	10.1016/j.clml.2020.12.015	2022	Primary Mediastinal (Thymic) Large B-Cell Lymphoma: Fidelity of Diagnosis Using WHO Criteria.	MET
33537137	10.1016/j.amsu.2021.01.059	2022	A case series of hilar cholangiocarcinoma: A single surgeon experience over 20-years.	MET
33632668	10.1016/j.clml.2020.12.012	2022	A Phase 1b Study to Evaluate the Safety and Efficacy of Durvalumab in Combination With Tremelimumab or Danvatirsen in Patients With Relapsed or Refractory Diffuse Large B-Cell Lymphoma.	MET
33660798	10.26355/eurrev_202102_25083	2022	Restricted mean survival time in advanced non-small cell lung cancer treated with immune checkpoint inhibitors.	MET
