pmid	doi	year	title	Hugo_Symbol
34807923	10.1371/journal.pone.0259674	2022	Establishment of the TBX-code reveals aberrantly activated T-box gene TBX3 in Hodgkin lymphoma.	MGA
35054466	10.3390/life12010073	2022	The Pathologic and Genetic Characteristics of Extranodal NK/T-Cell Lymphoma.	MGA
35106936	10.1002/cam4.4550	2022	SGK1 mutation status can further stratify patients with germinal center B-cell-like diffuse large B-cell lymphoma into different prognostic subgroups.	MGA
35592856	10.3389/fmed.2022.808378	2022	A Somatic Mutation Signature Predicts the Best Overall Response to Anti-programmed Cell Death Protein-1 Treatment in Epidermal Growth Factor Receptor/Anaplastic Lymphoma Kinase-Negative Non-squamous Non-small Cell Lung Cancer.	MGA
31822801	10.1038/s41379-019-0415-5	2021	Mutational profile and EBV strains of extranodal NK/T-cell lymphoma, nasal type in Latin America.	MGA
32469082	10.1002/cncr.32866	2021	Genome-defined African ancestry is associated with distinct mutations and worse survival in patients with diffuse large B-cell lymphoma.	MGA
32085520	10.3390/cancers12020474	2020	Biological Features and Prognostic Impact of Bone Marrow Infiltration in Patients with Diffuse Large B-Cell Lymphoma.	MGA
32922661	10.18632/oncotarget.27683	2020	The NKL-code for innate lymphoid cells reveals deregulated expression of NKL homeobox genes HHEX and HLX in anaplastic large cell lymphoma (ALCL).	MGA
30134235	10.1159/000492835	2018	Frequent Mutations in Natural Killer/T Cell Lymphoma.	MGA
26192917	10.1038/ng.3358	2016	Exome sequencing identifies somatic mutations of DDX3X in natural killer/T-cell lymphoma.	MGA
26446488	10.1038/ncomms9325	2016	LRF maintains genome integrity by regulating the non-homologous end joining pathway of DNA repair.	MGA
24413735	10.1038/ng.2874	2014	RAG-mediated recombination is the predominant driver of oncogenic rearrangement in ETV6-RUNX1 acute lymphoblastic leukemia.	MGA
24596209	10.1158/2159-8290.CD-RW2014-018	2014	ETV6-RUNX1-positive ALL may be driven by aberrant RAG activity.	MGA
23039309	10.3109/10428194.2012.723706	2013	MGA, a suppressor of MYC, is recurrently inactivated in high risk chronic lymphocytic leukemia.	MGA
23339445	10.3109/10428194.2012.755179	2013	MYC addiction in chronic lymphocytic leukemia.	MGA
3183925	10.1248/bpb1978.11.472	1988	Local induction of a tumor necrosis factor (TNF)-like cytotoxic factor in murine tissues with tumorous and nontumorous inflammation after systemic administration of antitumor polysaccharides.	MGA
6814410	10.1111/j.1445-5994.1982.tb03807.x	1982	Immunological types of lymphoproliferative disorders in a cohort: a 4-year study.	MGA
