pmid	doi	year	title	Hugo_Symbol
35241462	10.1136/bmjopen-2020-041961	2022	Utility of KI-67 as a prognostic biomarker in pulmonary neuroendocrine neoplasms: a systematic review and meta-analysis.	MKI67
35248490	10.1016/j.clbc.2022.02.001	2022	Changes in Ki-67 in Residual Tumor and Outcome of Primary Inflammatory Breast Cancer Treated With Trimodality Therapy.	MKI67
35393909	10.1080/09513590.2022.2061454	2022	Effects of clinical and metabolic variables and hormones on the expression of immune protein biomarkers in the endometrium of women with polycystic ovary syndrome and normal-cycling controls.	MKI67
35583604	10.1158/1078-0432.CCR-21-3347	2022	Interactome of Aiolos/Ikaros Reveals Combination Rationale of Cereblon Modulators with HDAC Inhibitors in DLBCL.	MKI67
32873701	10.1136/jclinpath-2020-206956	2021	Improving precise counting of mitotic cells in mantle cell lymphoma using phosphohistone H3 (PHH3) antibody.	MKI67
33136585	10.1097/PAS.0000000000001609	2021	Biomarkers for Risk Stratification in Patients With Previously Untreated Follicular Lymphoma Receiving Anti-CD20-based Biological Therapy.	MKI67
33404293	10.1080/15548627.2020.1871204	2021	BNIP3L-mediated mitophagy is required for mitochondrial remodeling during the differentiation of optic nerve oligodendrocytes.	MKI67
33723149	10.4103/jcrt.JCRT_311_19	2021	Role of WT1, B-cell lymphoma 2, Ki-67 (Mib1), and Her2/Neu as diagnostic and prognostic immunomarkers in ovarian serous and endometroid carcinoma.	MKI67
33737021	10.1016/j.taap.2021.115491	2021	Pyrazole (1, 2-diazole) induce apoptosis in lymphoma cells by targeting BCL-2 and BCL-XL genes and mitigate murine solid tumour development by regulating cyclin-D1 and Ki-67 expression.	MKI67
33788720	10.21873/anticanres.14886	2021	Tumor Cell Microenvironment and Microvessel Density Analysis in MALT Type Lymphoma.	MKI67
33941102	10.1186/s12885-021-08142-7	2021	Normal and cancer fibroblasts differentially regulate TWIST1, TOX and cytokine gene expression in cutaneous T-cell lymphoma.	MKI67
33991204	10.1007/s00277-021-04473-4	2021	Elevated expression of HMGB1 is prognostic of poor survival in patients with relapsed/refractory T/NK-CL.	MKI67
34258959	10.7754/Clin.Lab.2021.201132	2021	Prognostic Values of MicroRNA-21 and Ki-67 in Diffuse Large B-Cell Lymphoma Patients: Egyptian Experience.	MKI67
34339560	10.1111/pin.13148	2021	Diagnostic utility and prognostic significance of the Ki-67 labeling index in diffuse large B-cell lymphoma transformed from follicular lymphoma: a study of 76 patients.	MKI67
34535585	10.1159/000518452	2021	Efficacy of the Antigenicity-Retaining Ability of Fixative Solutions for Liquid-Based Cytology: Immunocytochemistry of Long-Term Storage.	MKI67
34898577	10.3390/curroncol28060383	2021	Evaluation of Ki-67 as a Prognostic Marker in Diffuse Large B-Cell Lymphoma-A Single-Center Retrospective Cohort Study.	MKI67
