pmid	doi	year	title	Hugo_Symbol
29721381	10.1080/2162402X.2017.1423183	2022	FOXO1 promotes resistance of non-Hodgkin lymphomas to anti-CD20-based therapy.	MS4A1
34743199	10.1038/s41416-021-01611-7	2022	CD20 expression, TrkB activation and functional activity of diffuse large B cell lymphoma-derived small extracellular vesicles.	MS4A1
36030374	10.1002/eji.202250037	2022	IRF8 regulates efficacy of therapeutic anti-CD20 monoclonal antibodies.	MS4A1
31682318	10.1002/cyto.b.21852	2021	CD20-positive primary nasal peripheral T-cell lymphoma: An analysis of one case and review of the literature.	MS4A1
31907371	10.1038/s41419-019-2210-0	2021	Novel HDAC inhibitor Chidamide synergizes with Rituximab to inhibit diffuse large B-cell lymphoma tumour growth by upregulating CD20.	MS4A1
32585766	10.1002/1878-0261.12753	2021	Identification of BLNK and BTK as mediators of rituximab-induced programmed cell death by CRISPR screens in GCB-subtype diffuse large B-cell lymphoma.	MS4A1
32589730	10.1182/bloodadvances.2020001696	2021	Genetic and evolutionary patterns of treatment resistance in relapsed B-cell lymphoma.	MS4A1
33686443	10.2340/00015555-3775	2021	Role of B-cells in Mycosis Fungoides.	MS4A1
34061467	10.1002/cam4.3983	2021	A new score including CD43 and CD180: Increased diagnostic value for atypical chronic lymphocytic leukemia.	MS4A1
34252986	10.1111/cas.15055	2021	Pyruvate dehydrogenase kinase 4-mediated metabolic reprogramming is involved in rituximab resistance in diffuse large B-cell lymphoma by affecting the expression of MS4A1/CD20.	MS4A1
31669559	10.1016/j.exphem.2019.10.004	2020	Depletion of the transcriptional coactivators CREB-binding protein or EP300 downregulates CD20 in diffuse large B-cell lymphoma cells and impairs the cytotoxic effects of anti-CD20 antibodies.	MS4A1
32210425	10.1371/journal.pone.0229170	2020	CD20 is dispensable for B-cell receptor signaling but is required for proper actin polymerization, adhesion and migration of malignant B cells.	MS4A1
32314054	10.1007/s00428-020-02776-x	2020	CD20-positive extranodal NK/T cell lymphoma: clinicopathologic and prognostic features.	MS4A1
32669656	10.1038/s41598-020-68360-0	2020	Pharmacokinetics and safety of IBI301 versus rituximab in patients with CD20<sup>+</sup> B-cell lymphoma: a multicenter, randomized, double-blind, parallel-controlled study.	MS4A1
32792392	10.1126/science.abb8008	2020	Binding mechanisms of therapeutic antibodies to human CD20.	MS4A1
