pmid	doi	year	title	Hugo_Symbol
32782434	10.1186/s12935-020-01457-8	2022	Evaluation of the upregulation and surface expression of hypoxanthine guanine phosphoribosyltransferase in acute lymphoblastic leukemia and Burkitt's B cell lymphoma.	MSH2
33928678	10.1111/den.14004	2022	Clinicopathological features and risk factors for developing colorectal neoplasia in Hodgkin's lymphoma survivors.	MSH2
34538134	10.1177/03009858211022704	2022	Mismatch repair deficiency in canine neoplasms.	MSH2
34761252	10.1093/jjco/hyab173	2022	A novel Lynch syndrome pedigree bearing germ-line MSH2 missense mutation c.1808A&gt;T (Asp603Val).	MSH2
34787334	10.1111/pde.14861	2022	Eruptive nevi in a patient with constitutional mismatch repair deficiency (CMMRD).	MSH2
34973016	10.1007/978-3-030-78775-2_14	2022	Adiponectin and Its Effects on Acute Leukemia Cells: An Experimental and Bioinformatics Approach.	MSH2
35812033	10.1136/flgastro-2022-102123	2022	Diagnosis and management of Lynch syndrome.	MSH2
36097110	10.1007/s11033-022-07761-y	2022	Looking beyond the cytogenetics in haematological malignancies: decoding the role of tandem repeats in DNA repair genes.	MSH2
32022486	10.1002/cam4.2870	2021	Microsatellite instability and its associations with the clinicopathologic characteristics of diffuse large B-cell lymphoma.	MSH2
33191405	10.1038/s41388-020-01542-2	2021	Germline variants of DNA repair genes in early onset mantle cell lymphoma.	MSH2
34086170	10.1007/s10549-021-06258-9	2021	Double heterozygotes of BRCA1/BRCA2 and mismatch repair gene pathogenic variants: case series and clinical implications.	MSH2
28761921	10.1016/j.jdcr.2017.04.007	2020	A possible association between mycosis fungoides and Muir-Torre syndrome: Two disorders with microsatellite instability.	MSH2
28943948	10.3892/ol.2017.6721	2020	Analysis of the expression level and methylation of tumor protein p53, phosphatase and tensin homolog and mutS homolog 2 in N-methyl-N-nitrosourea-induced thymic lymphoma in C57BL/6 mice.	MSH2
29510549	10.3390/cancers10030064	2020	The Role of Oncogenic Tyrosine Kinase NPM-ALK in Genomic Instability.	MSH2
31697823	10.1182/blood.2019002220	2020	Therapy-induced mutations drive the genomic landscape of relapsed acute lymphoblastic leukemia.	MSH2
33143351	10.3390/pathogens9110909	2020	Bovine Leukemia Virus Infection Affects Host Gene Expression Associated with DNA Mismatch Repair.	MSH2
29892060	10.1038/s41591-018-0043-5	2019	DNA repair processes are critical mediators of p53-dependent tumor suppression.	MSH2
29904176	10.1038/s41431-018-0197-0	2019	Cancer prevention by aspirin in children with Constitutional Mismatch Repair Deficiency (CMMRD).	MSH2
30551794	10.1016/j.bulcan.2018.10.008	2019	[Constitutional MMR deficiency: Genetic bases and clinical implications].	MSH2
30734108	10.1007/s00428-019-02528-6	2019	Comprehensive analysis of PD-L1 expression, HER2 amplification, ALK/EML4 fusion, and mismatch repair deficiency as putative predictive and prognostic factors in ovarian carcinoma.	MSH2
28142295	10.1080/10428194.2017.1283029	2018	Identification of a tumor suppressor network in T-cell leukemia.	MSH2
28728506	10.1080/10245332.2017.1354428	2018	Microsatellite Instability and Promoter Hypermethylation of DNA repair genes in Hematologic Malignancies: a forthcoming direction toward diagnostics.	MSH2
28856790	10.1111/ped.13365	2018	MSH2 deletion with CREBBP and KRAS mutations in pediatric high-hyperdiploid acute lymphoblastic leukemia.	MSH2
