pmid	doi	title	Hugo_Symbol
36051080	10.1002/jha2.535	Pharmacologic screen identifies active combinations with BET inhibitors and LRRK2 as a novel putative target in lymphoma.	MTOR
36029491	10.14715/cmb/2022.68.5.21	Effects of Atractylon on Proliferation and Apoptosis of Intestinal Cancer Cells Through PI3K/AKT/mTOR Signaling Pathway.	MTOR
35981361	10.19746/j.cnki.issn.1009-2137.2022.04.012	[Effect of Netrin-1 on VEGFA Expression in T-ALL Cells and Its Related Mechanism].	MTOR
35929918	10.1080/01443615.2022.2106834	The effects of REG4 expression on chemoresistance of ovarian cancer.	MTOR
35908982	10.1016/j.blre.2022.100992	Follicular lymphoma: The long and winding road leading to your cure?	MTOR
35875136	10.3389/fonc.2022.913487	Phosphoproteomic Analysis Reveals a Different Proteomic Profile in Pediatric Patients With T-Cell Lymphoblastic Lymphoma or T-Cell Acute Lymphoblastic Leukemia.	MTOR
35864538	10.1186/s13045-022-01315-2	hUC-EVs-ATO reduce the severity of acute GVHD by resetting inflammatory macrophages toward the M2 phenotype.	MTOR
35857791	10.1080/15548627.2022.2100105	Lack of COL6/collagen VI causes megakaryocyte dysfunction by impairing autophagy and inducing apoptosis.	MTOR
35810594	10.1016/j.bbrc.2022.06.089	RHEB is a potential therapeutic target in T cell acute lymphoblastic leukemia.	MTOR
35785030	10.1155/2022/2253436	Targeting Inhibition of Accumulation and Function of Myeloid-Derived Suppressor Cells by Artemisinin via PI3K/AKT, mTOR, and MAPK Pathways Enhances Anti-PD-L1 Immunotherapy in Melanoma and Liver Tumors.	MTOR
35774848	10.1155/2022/3276925	Identification of CXCR4 Upregulation in Diffuse Large B-Cell Lymphoma Associated with Prognostic Significance and Clinicopathological Characteristics.	MTOR
35774599	10.3389/fphar.2022.914733	UPLC-MS/MS Technology for the Quantitative Methodology and Pharmacokinetic Analysis of Voxtalisib in Rat Plasma.	MTOR
