pmid	doi	year	title	Hugo_Symbol
28840016	10.21037/jtd.2017.06.20	2022	Lung adenocarcinoma: from molecular basis to genome-guided therapy and immunotherapy.	NF1
33730843	10.3324/haematol.2020.269431	2022	Clinical significance of RAS pathway alterations in pediatric acute myeloid leukemia.	NF1
34308104	10.1093/jncics/pkab007	2022	Frequency of Pathogenic Germline Variants in Cancer-Susceptibility Genes in the Childhood Cancer Survivor Study.	NF1
34339711	10.1016/j.brainres.2021.147594	2022	Role of the parental NF1 carrier in effects of pharmacological inhibition of anaplastic lymphoma kinase in Neurofibromatosis 1 mutant mice.	NF1
34995897	10.1016/j.cancergen.2021.12.005	2022	A complex KMT2A::AFF3 fusion resulting from a three-way chromosomal rearrangement in pediatric B lymphoblastic leukemia.	NF1
35077772	10.1016/j.bbr.2022.113767	2022	Long-term effects of pharmacological inhibition of anaplastic lymphoma kinase in neurofibromatosis 1 mutant mice.	NF1
35098592	10.1111/jdv.17974	2022	Identification of three clinical neurofibromatosis 1 subtypes: Latent class analysis of a series of 1351 patients.	NF1
35363510	10.1200/JCO.21.02840	2022	Phase II Study of Selumetinib in Children and Young Adults With Tumors Harboring Activating Mitogen-Activated Protein Kinase Pathway Genetic Alterations: Arm E of the NCI-COG Pediatric MATCH Trial.	NF1
35373885	10.1002/pbc.29575	2022	Retrospective and integrative analyses of molecular characteristics and their specific imaging parameters in pediatric grade 1 gliomas.	NF1
35515133	10.3389/fonc.2022.851572	2022	Case Report: Precision Medicine Target Revealed by <i>In Vitro</i> Modeling of Relapsed, Refractory Acute Lymphoblastic Leukemia From a Child With Neurofibromatosis.	NF1
35689207	10.1186/s12943-022-01583-z	2022	Mutations in ALK signaling pathways conferring resistance to ALK inhibitor treatment lead to collateral vulnerabilities in neuroblastoma cells.	NF1
35749292	10.1148/rg.210235	2022	Neurofibromatosis from Head to Toe: What the Radiologist Needs to Know.	NF1
35777330	10.1016/j.anndiagpath.2022.151997	2022	VEGF and VEGFR family members are expressed by neoplastic cells of NF1-associated tumors and may play an oncogenic role in malignant peripheral nerve sheath tumor growth through an autocrine loop.	NF1
35870258	10.1016/j.lungcan.2022.07.011	2022	Genetic correlation of crizotinib efficacy and resistance in ALK- rearranged non-small-cell lung cancer.	NF1
35920299	10.1096/fj.202200061RR	2022	Mcm2 hypomorph leads to acute leukemia or hematopoietic stem cell failure, dependent on genetic context.	NF1
31439678	10.3324/haematol.2019.230375	2021	Genomic profiling of primary histiocytic sarcoma reveals two molecular subgroups.	NF1
32366782	10.1097/MPH.0000000000001811	2021	Coincidental Expression of Classic Hodgkin Lymphoma and Neurofibromatosis Type I and Literature Review.	NF1
32925410	10.1097/MPH.0000000000001936	2021	Further Lessons Learned From a Child With NF1 and Classical Hodgkin Lymphoma.	NF1
32929178	10.1038/s41379-020-00673-x	2021	The mutational landscape of histiocytic sarcoma associated with lymphoid malignancy.	NF1
33211573	10.2214/AJR.19.22283	2021	Imaging Features of Neurofibromatosis Type 1 in the Abdomen and Pelvis.	NF1
33395032	10.1097/CCO.0000000000000711	2021	MEK inhibitors in RASopathies.	NF1
33669386	10.3390/ijms22041954	2021	Spontaneous and Engineered Large Animal Models of Neurofibromatosis Type 1.	NF1
33750258	10.1080/0284186X.2021.1900908	2021	Genomic landscape of B-other acute lymphoblastic leukemia in an adult retrospective cohort with a focus on <i>BCR-ABL1</i>-like subtype.	NF1
34011343	10.1186/s13023-021-01856-8	2021	Lymphoproliferative malignancies in patients with neurofibromatosis 1.	NF1
34944796	10.3390/cancers13246174	2021	RNA Sequencing of Primary Cutaneous and Breast-Implant Associated Anaplastic Large Cell Lymphomas Reveals Infrequent Fusion Transcripts and Upregulation of PI3K/AKT Signaling via Neurotrophin Pathway Genes.	NF1
28413392	10.1159/000456029	2020	T-Cell Lymphoma in a Patient with Neurofibromatosis Type 1 and AIDS.	NF1
28487787	10.1155/2017/5083463	2020	EBV-Negative Monomorphic B-Cell Posttransplant Lymphoproliferative Disorder with Marked Morphologic Pleomorphism and Pathogenic Mutations in <i>ASXL1</i>, <i>BCOR</i>, <i>CDKN2A</i>, <i>NF1</i>, and <i>TP53</i>.	NF1
30774551	10.4103/wjnm.WJNM_11_18	2020	Can we differentiate malignant peripheral nerve sheath tumor from benign neurofibroma without invasive sampling.	NF1
30946933	10.1016/j.humpath.2019.03.004	2020	The repertoire of genetic alterations in salivary duct carcinoma including a novel HNRNPH3-ALK rearrangement.	NF1
31240424	10.1007/s10689-019-00138-4	2020	Multiple primary malignancies associated with a germline SMARCB1 pathogenic variant.	NF1
31257073	10.1016/j.ccell.2019.05.015	2020	RAC1<sup>P29S</sup> Induces a Mesenchymal Phenotypic Switch via Serum Response Factor to Promote Melanoma Development and Therapy Resistance.	NF1
31261022	10.1016/j.leukres.2019.106177	2020	High resolution Chromosomal Microarray Analysis (CMA) enhances the genetic profile of pediatric B-cell Acute Lymphoblastic Leukemia patients.	NF1
31693904	10.1016/j.celrep.2019.09.071	2020	Genomic Profiling of Childhood Tumor Patient-Derived Xenograft Models to Enable Rational Clinical Trial Design.	NF1
32104235	10.3892/etm.2020.8418	2020	MicroRNA-103a-3p potentiates chemoresistance to cisplatin in non-small cell lung carcinoma by targeting neurofibromatosis 1.	NF1
29354122	10.3389/fimmu.2017.01901	2019	Neurofibromin 1 Impairs Natural Killer T-Cell-Dependent Antitumor Immunity against a T-Cell Lymphoma.	NF1
29636358	10.1158/1078-0432.CCR-17-2452	2019	Resistance Mechanisms to Targeted Therapies in <i>ROS1</i><sup>+</sup> and <i>ALK</i><sup>+</sup> Non-small Cell Lung Cancer.	NF1
29846633	10.1210/jc.2017-01845	2019	Methodology, Criteria, and Characterization of Patient-Matched Thyroid Cell Lines and Patient-Derived Tumor Xenografts.	NF1
30280491	10.1002/pbc.27496	2019	Clinical and biological relevance of genetic alterations in pediatric T-cell acute lymphoblastic leukemia in Taiwan.	NF1
30322862	10.1158/0008-5472.CAN-18-1867	2019	Lorlatinib Treatment Elicits Multiple On- and Off-Target Mechanisms of Resistance in ALK-Driven Cancer.	NF1
27102345	10.1038/modpathol.2016.79	2018	Comprehensive genomic profiling of orbital and ocular adnexal lymphomas identifies frequent alterations in MYD88 and chromatin modifiers: new routes to targeted therapies.	NF1
28318056	10.1111/pde.13094	2018	Cutaneous and Systemic Findings in Mosaic Neurofibromatosis Type 1.	NF1
29179212	10.1159/000485415	2018	LukS-PV-Regulated MicroRNA-125a-3p Promotes THP-1 Macrophages Differentiation and Apoptosis by Down-Regulating NF1 and Bcl-2.	NF1
29184034	10.1126/scisignal.aam7550	2018	MEK inhibitor trametinib does not prevent the growth of anaplastic lymphoma kinase (ALK)-addicted neuroblastomas.	NF1
27174491	10.1038/leu.2016.83	2017	MEK and PI3K-AKT inhibitors synergistically block activated IL7 receptor signaling in T-cell acute lymphoblastic leukemia.	NF1
27181063	10.1016/j.exphem.2016.04.011	2017	Comprehensive genomic analysis reveals FLT3 activation and a therapeutic strategy for a patient with relapsed adult B-lymphoblastic leukemia.	NF1
27565932	10.1016/j.lungcan.2016.07.002	2017	Drastic initial response and subsequent response to two ALK inhibitors in a patient with a highly aggressive ALK-rearranged inflammatory myofibroblastic tumor arising in the pleural cavity.	NF1
27628603		2017	Primary Effusion Lymphoma-like Lymphoma in a Patient with Neurofibromatosis Type 1.	NF1
27659822	10.1007/s00381-016-3163-6	2017	An integrative molecular and genomic analysis of pediatric hemispheric low-grade gliomas: an update.	NF1
27696251	10.1007/s12020-016-1080-9	2017	Targeted next-generation sequencing for TP53, RAS, BRAF, ALK and NF1 mutations in anaplastic thyroid cancer.	NF1
27976555	10.24953/turkjped.2016.02.005	2017	Are the methylenetetrahydrofolate reductase 1298 and 677 gene polymorphisms related to optic glioma and hamartoma risk in neurofibromatosis type 1 patients?	NF1
27997540	10.1371/journal.pmed.1002200	2017	IL-7 Receptor Mutations and Steroid Resistance in Pediatric T cell Acute Lymphoblastic Leukemia: A Genome Sequencing Study.	NF1
28057529	10.1016/j.bbr.2017.01.003	2017	Genetic inhibition of Anaplastic Lymphoma Kinase rescues cognitive impairments in Neurofibromatosis 1 mutant mice.	NF1
28408464	10.1182/blood-2016-12-758979	2017	Targetable kinase gene fusions in high-risk B-ALL: a study from the Children's Oncology Group.	NF1
28474981	10.3171/2017.2.PEDS16497	2017	Pediatric meningiomas: 65-year experience at a single institution.	NF1
28629962	10.1016/j.bbr.2017.06.024	2017	Pharmacological inhibition of Anaplastic Lymphoma Kinase rescues spatial memory impairments in Neurofibromatosis 1 mutant mice.	NF1
28694326	10.1182/blood-2017-02-768234	2017	Genomic analysis of 220 CTCLs identifies a novel recurrent gain-of-function alteration in RLTPR (p.Q575E).	NF1
26073032	10.1111/cge.12625	2016	Neurofibromatosis type 1 and malignancy in childhood.	NF1
26432421	10.1002/cam4.551	2016	Whole-exome sequencing of breast cancer, malignant peripheral nerve sheath tumor and neurofibroma from a patient with neurofibromatosis type 1.	NF1
26536237	10.1371/journal.pgen.1005611	2016	Anaplastic Lymphoma Kinase Acts in the Drosophila Mushroom Body to Negatively Regulate Sleep.	NF1
27013922	10.2174/1389202916666151014221954	2016	Genetics of Bladder Malignant Tumors in Childhood.	NF1
24469042	10.1038/onc.2013.587	2015	SPRED1, a RAS MAPK pathway inhibitor that causes Legius syndrome, is a tumour suppressor downregulated in paediatric acute myeloblastic leukaemia.	NF1
