pmid	doi	title	Hugo_Symbol
36009586	10.3390/biomedicines10082038	Genomic Aberrations Generate Fusion Gene FOXK2::TP63 and Activate NFKB1 in Cutaneous T-Cell Lymphoma.	NFKB1
35021606	10.3324/haematol.2021.280003	Immune pathway upregulation and lower genomic instability distinguish EBV-positive nodal T/NK-cell lymphoma from ENKTL and PTCL-NOS.	NFKB1
34401669	10.1016/j.isci.2021.102888	Bisphenol A-induced DNA damages promote to lymphoma progression in human lymphoblastoid cells through aberrant CTNNB1 signaling pathway.	NFKB1
34364837	10.1016/j.cbi.2021.109619	Anticancer effects of oleanolic acid on human melanoma cells.	NFKB1
33684151	10.1371/journal.pone.0248259	SNPs in genes encoding for IL-10, TNF-α, and NFκB p105/p50 are associated with clinical prognostic factors for patients with Hodgkin lymphoma.	NFKB1
33202260	10.1016/j.ajhg.2020.10.015	Multiplexed Functional Assessment of Genetic Variants in CARD11.	NFKB1
32912211	10.1186/s12977-020-00538-w	A novel positive feedback-loop between the HTLV-1 oncoprotein Tax and NF-κB activity in T-cells.	NFKB1
32712875	10.1007/s11064-020-03096-x	miR-29c-3p Increases Cell Viability and Suppresses Apoptosis by Regulating the TNFAIP1/NF-κB Signaling Pathway via TNFAIP1 in Aβ-Treated Neuroblastoma Cells.	NFKB1
31803180	10.3389/fimmu.2019.02618	Late-Onset Antibody Deficiency Due to Monoallelic Alterations in <i>NFKB1</i>.	NFKB1
31497245	10.18632/oncotarget.27098	Proliferative, pro-inflammatory, and angiogenesis regulator gene expression profile defines prognosis in different histopathological subtypes of nodal peripheral T-cell lymphoma.	NFKB1
31344550	10.1016/j.virol.2019.07.011	Association of polymorphisms in NFκB1 promoter and NFκBIA gene with the development of antibodies against HHV-8 in HIV-infected individuals.	NFKB1
30885361	10.1016/bs.acr.2019.01.004	HVEM network signaling in cancer.	NFKB1
30711250	10.1016/j.bbrc.2019.01.089	NF-κB-dependent RANKL expression in a mouse model of immature T-cell leukemia.	NFKB1
30127896	10.3892/ol.2018.9010	Burkitt lymphoma-associated network construction and important network motif analysis.	NFKB1
29593668	10.3389/fmicb.2018.00380	Simulation Study of cDNA Dataset to Investigate Possible Association of Differentially Expressed Genes of Human THP1-Monocytic Cells in Cancer Progression Affected by Bacterial Shiga Toxins.	NFKB1
29449436	10.3324/haematol.2017.182048	Mixed-species RNAseq analysis of human lymphoma cells adhering to mouse stromal cells identifies a core gene set that is also differentially expressed in the lymph node microenvironment of mantle cell lymphoma and chronic lymphocytic leukemia patients.	NFKB1
29333957	10.1177/1533034617745761	MiR-98 Promotes Apoptosis of Glioma Cells via Suppressing IKBKE/NF-κB Pathway.	NFKB1
28689659	10.1016/j.molcel.2017.06.011	Bcl3 Phosphorylation by Akt, Erk2, and IKK Is Required for Its Transcriptional Activity.	NFKB1
28684863	10.1038/emm.2017.89	Bcl3: a regulator of NF-κB inducible by TWEAK in acute kidney injury with anti-inflammatory and antiapoptotic properties in tubular cells.	NFKB1
28672935	10.3892/etm.2017.4464	Next-generation sequencing reveals lymph node metastasis associated genetic markers in colorectal cancer.	NFKB1
28369050	10.1038/ni.3716	Antagonism of B cell enhancer networks by STAT5 drives leukemia and poor patient survival.	NFKB1
28368397	10.1038/onc.2017.90	Molecular impact of selective NFKB1 and NFKB2 signaling on DLBCL phenotype.	NFKB1
28281555	10.1038/modpathol.2017.5	NF-κB p50 activation associated with immune dysregulation confers poorer survival for diffuse large B-cell lymphoma patients with wild-type p53.	NFKB1
27489104	10.1074/jbc.M116.719302	The Nuclear Protein IκBζ Forms a Transcriptionally Active Complex with Nuclear Factor-κB (NF-κB) p50 and the Lcn2 Promoter via the N- and C-terminal Ankyrin Repeat Motifs.	NFKB1
27338827	10.1007/s10875-016-0306-1	NF-κB1 Haploinsufficiency Causing Immunodeficiency and EBV-Driven Lymphoproliferation.	NFKB1
26767426	10.1016/j.jid.2015.12.027	MALT1 Protease Activity Controls the Expression of Inflammatory Genes in Keratinocytes upon Zymosan Stimulation.	NFKB1
26573110	10.3892/ijo.2015.3238	Involvement of cyclic-nucleotide response element-binding family members in the radiation response of Ramos B lymphoma cells.	NFKB1
26526716	10.1053/j.gastro.2015.10.017	BCL3 Reduces the Sterile Inflammatory Response in Pancreatic and Biliary Tissues.	NFKB1
26487345	10.1038/srep15215	Transcription factor and miRNA co-regulatory network reveals shared and specific regulators in the development of B cell and T cell.	NFKB1
