pmid	doi	year	title	Hugo_Symbol
34714908	10.1182/bloodadvances.2021005486	2022	Integrative genomic and transcriptomic analysis in plasmablastic lymphoma identifies disruption of key regulatory pathways.	NFKB2
36009586	10.3390/biomedicines10082038	2022	Genomic Aberrations Generate Fusion Gene FOXK2::TP63 and Activate NFKB1 in Cutaneous T-Cell Lymphoma.	NFKB2
33184494	10.1038/s41375-020-01088-y	2021	A novel model of alternative NF-κB pathway activation in anaplastic large cell lymphoma.	NFKB2
31586084	10.1038/s41598-019-50528-y	2020	Expression Of Intracellular Components of the NF-κB Alternative Pathway (NF-κB2, RelB, NIK and Bcl3) is Associated With Clinical Outcome of NSCLC Patients.	NFKB2
32350066	10.1158/0008-5472.CAN-19-2247	2020	FBXW7 Triggers Degradation of KMT2D to Favor Growth of Diffuse Large B-cell Lymphoma Cells.	NFKB2
29973688	10.1038/s41388-018-0363-4	2019	Alternative NF-κB signaling promotes colorectal tumorigenesis through transcriptionally upregulating Bcl-3.	NFKB2
30401751	10.1182/bloodadvances.2018022962	2019	Insights into the genomic landscape of MYD88 wild-type Waldenström macroglobulinemia.	NFKB2
30857150	10.3390/ijms20051182	2019	Temporal Splicing Switches in Elements of the TNF-Pathway Identified by Computational Analysis of Transcriptome Data for Human Cell Lines.	NFKB2
29693141	10.3892/mmr.2018.8911	2018	Analysis of NFKB2‑mediated regulation of mechanisms underlying the development of Hodgkin's lymphoma.	NFKB2
25912249	10.4274/tjh.2014.0190	2017	Deregulated Levels of the NF-κB1, NF-κB2, and Rel Genes in Ukrainian Patients with Leukemia and Lymphoma in the Post-Chernobyl Period.	NFKB2
27039262	10.1016/j.jid.2016.03.024	2017	Identification of Gene Mutations and Fusion Genes in Patients with Sézary Syndrome.	NFKB2
28368397	10.1038/onc.2017.90	2017	Molecular impact of selective NFKB1 and NFKB2 signaling on DLBCL phenotype.	NFKB2
28689659	10.1016/j.molcel.2017.06.011	2017	Bcl3 Phosphorylation by Akt, Erk2, and IKK Is Required for Its Transcriptional Activity.	NFKB2
26455434	10.1038/ncomms9428	2016	Transcriptional repression by the HDAC4-RelB-p52 complex regulates multiple myeloma survival and growth.	NFKB2
26556860	10.18632/oncotarget.5715	2016	The Hsp90 inhibitor SNX-7081 is synergistic with fludarabine nucleoside via DNA damage and repair mechanisms in human, p53-negative chronic lymphocytic leukemia.	NFKB2
25873174	10.1016/j.ccell.2015.03.006	2015	Convergent mutations and kinase fusions lead to oncogenic STAT3 activation in anaplastic large cell lymphoma.	NFKB2
25873381	10.1128/mBio.00441-15	2015	Changes in expression induced by Epstein-Barr Virus LMP1-CTAR1: potential role of bcl3.	NFKB2
26112410	10.1074/jbc.M114.630061	2015	The Transitional Endoplasmic Reticulum ATPase p97 Regulates the Alternative Nuclear Factor NF-κB Signaling via Partial Degradation of the NF-κB Subunit p100.	NFKB2
21787835	10.1016/j.mce.2011.07.021	2012	Inhibition of Bcl3 gene expression mediates the anti-proliferative action of estrogen in pituitary lactotrophs in primary culture.	NFKB2
21871426	10.1016/j.ajpath.2011.07.003	2012	p52 Activation in monomorphic B-cell posttransplant lymphoproliferative disorder/diffuse large B-cell lymphoma without BAFF-R expression.	NFKB2
22083306	10.1007/s10059-011-0177-5	2012	Nuclear factor-κB2 represses Sp1-mediated transcription at the CD99 promoter.	NFKB2
22624040	10.1371/journal.pone.0037498	2012	A computational profiling of changes in gene expression and transcription factors induced by vFLIP K13 in primary effusion lymphoma.	NFKB2
22642622	10.1186/1471-2407-12-203	2012	NF-κB2 mutation targets survival, proliferation and differentiation pathways in the pathogenesis of plasma cell tumors.	NFKB2
21228035	10.3324/haematol.2010.030577	2011	Polymorphisms of nuclear factor-κB family genes are associated with development of multiple myeloma and treatment outcome in patients receiving bortezomib-based regimens.	NFKB2
19773279	10.1136/oem.2008.044024	2010	Association between genetic variants in VEGF, ERCC3 and occupational benzene haematotoxicity.	NFKB2
20558726	10.1074/jbc.M110.112128	2010	BCL-3 degradation involves its polyubiquitination through a FBW7-independent pathway and its binding to the proteasome subunit PSMB1.	NFKB2
20598117	10.1186/1471-2407-10-348	2010	Myc suppression of Nfkb2 accelerates lymphomagenesis.	NFKB2
