pmid	doi	title	Hugo_Symbol
35885481	10.3390/diagnostics12071575	Cell-Free DNA for Genomic Analysis in Primary Mediastinal Large B-Cell Lymphoma.	NFKBIA
35600392	10.3389/fonc.2022.881801	SOCS3 Acts as an Onco-immunological Biomarker With Value in Assessing the Tumor Microenvironment, Pathological Staging, Histological Subtypes, Therapeutic Effect, and Prognoses of Several Types of Cancer.	NFKBIA
35296646	10.1038/s41419-022-04684-1	Dual BTK/SYK inhibition with CG-806 (luxeptinib) disrupts B-cell receptor and Bcl-2 signaling networks in mantle cell lymphoma.	NFKBIA
34405005	10.7150/jca.60390	Serial surveillance by circulating tumor DNA profiling after chimeric antigen receptor T therapy for the guidance of r/r diffuse large B cell lymphoma precise treatment.	NFKBIA
34113355	10.3389/fimmu.2021.684424	Hippo Pathway Counter-Regulates Innate Immunity in Hepatitis B Virus Infection.	NFKBIA
33847741	10.1182/bloodadvances.2020003431	Deciphering the mechanisms of CC-122 resistance in DLBCL via a genome-wide CRISPR screen.	NFKBIA
33824284	10.1038/s41419-021-03638-3	Single loss of a Trp53 allele triggers an increased oxidative, DNA damage and cytokine inflammatory responses through deregulation of IκBα expression.	NFKBIA
33757561	10.1186/s13104-021-05521-y	HTLV-1-associated myelopathy/tropical spastic paraparesis (HAM/TSP) versus adult T-cell leukemia/lymphoma (ATLL).	NFKBIA
32961552	10.1182/blood.2020007507	Mutational landscape of gray zone lymphoma.	NFKBIA
32817282	10.3324/haematol.2019.236455	A three-gene signature based on <i>MYC</i>, <i>BCL-2</i> and <i>NFKBIA</i> improves risk stratification in diffuse large B-cell lymphoma.	NFKBIA
32065117	10.12659/MSM.921649	Huai Qi Huang Potentiates Dexamethasone-Mediated Lethality in Acute Lymphoblastic Leukemia Cells by Upregulating Glucocorticoid Receptor α.	NFKBIA
30563911	10.1101/gr.241141.118	Human papillomavirus and the landscape of secondary genetic alterations in oral cancers.	NFKBIA
27566587	10.18632/oncotarget.11548	Recurrent mutations in NF-κB pathway components, KMT2D, and NOTCH1/2 in ocular adnexal MALT-type marginal zone lymphomas.	NFKBIA
27563822	10.18632/oncotarget.11507	The BCR-ABL/NF-κB signal transduction network: a long lasting relationship in Philadelphia positive Leukemias.	NFKBIA
27221964	10.1016/j.semcancer.2016.05.001	NF-κB deregulation in Hodgkin lymphoma.	NFKBIA
26727576	10.1038/oncsis.2015.44	A mix of S and ΔS variants of STAT3 enable survival of activated B-cell-like diffuse large B-cell lymphoma cells in culture.	NFKBIA
26647777	10.3892/ijo.2015.3247	Diallyl trisulfide induces apoptosis by suppressing NF-κB signaling through destabilization of TRAF6 in primary effusion lymphoma.	NFKBIA
26526716	10.1053/j.gastro.2015.10.017	BCL3 Reduces the Sterile Inflammatory Response in Pancreatic and Biliary Tissues.	NFKBIA
26492364	10.1038/cddis.2015.260	The RCAN1 inhibits NF-κB and suppresses lymphoma growth in mice.	NFKBIA
26488500	10.12659/msm.895257	Common Polymorphisms in the NFKBIA Gene and Cancer Susceptibility: A Meta-Analysis.	NFKBIA
26247921	10.1002/jcp.25122	Nuclear Translocation of p65 is Controlled by Sec6 via the Degradation of IκBα.	NFKBIA
26237500	10.1097/CAD.0000000000000274	Bortezomib and fenretinide induce synergistic cytotoxicity in mantle cell lymphoma through apoptosis, cell-cycle dysregulation, and IκBα kinase downregulation.	NFKBIA
25985447	10.1055/s-0034-1398628	Bortezomib Treatment can Overcome Glucocorticoid Resistance in Childhood B-cell Precursor Acute Lymphoblastic Leukemia Cell Lines.	NFKBIA
25916485	10.1007/s13346-015-0230-6	TAT cell-penetrating peptide modulates inflammatory response and apoptosis in human lung epithelial cells.	NFKBIA
25394713	10.1038/leu.2014.324	GAPDH enhances the aggressiveness and the vascularization of non-Hodgkin's B lymphomas via NF-κB-dependent induction of HIF-1α.	NFKBIA
25333578	10.3892/mmr.2014.2704	An enzymatically fortified ginseng extract inhibits proliferation and induces apoptosis of KATO3 human gastric cancer cells via modulation of Bax, mTOR, PKB and IκBα.	NFKBIA
25280822	10.1016/j.jstrokecerebrovasdis.2014.05.032	Anti-inflammatory and antiapoptotic effects of mesenchymal stem cells transplantation in rat brain with cerebral ischemia.	NFKBIA
24992336	10.1371/journal.pone.0101314	Guanylyl cyclase-G modulates jejunal apoptosis and inflammation in mice with intestinal ischemia and reperfusion.	NFKBIA
23868181	10.1002/path.4239	Constitutive activation of distinct NF-κB signals in EBV-associated nasopharyngeal carcinoma.	NFKBIA
