pmid	doi	year	title	Hugo_Symbol
35885481	10.3390/diagnostics12071575	2022	Cell-Free DNA for Genomic Analysis in Primary Mediastinal Large B-Cell Lymphoma.	NFKBIE
35964234	10.1093/ajcp/aqac087	2022	Histiocytic Sarcoma With CCND1 Gene Rearrangement Clonally Related and Transdifferentiated From Mantle Cell Lymphoma.	NFKBIE
32079702	10.3324/haematol.2019.237719	2021	Targeted genotyping of circulating tumor DNA for classical Hodgkin lymphoma monitoring: a prospective study.	NFKBIE
32961552	10.1182/blood.2020007507	2021	Mutational landscape of gray zone lymphoma.	NFKBIE
34405005	10.7150/jca.60390	2021	Serial surveillance by circulating tumor DNA profiling after chimeric antigen receptor T therapy for the guidance of r/r diffuse large B cell lymphoma precise treatment.	NFKBIE
32012328	10.1002/hon.2718	2020	High throughput sequencing reveals high specificity of TNFAIP3 mutations in ocular adnexal marginal zone B-cell lymphomas.	NFKBIE
32170099	10.1038/s41408-020-0305-6	2020	Nfkbie-deficiency leads to increased susceptibility to develop B-cell lymphoproliferative disorders in aged mice.	NFKBIE
32585984	10.3390/cancers12061669	2020	Discovery of Novel Recurrent Mutations and Clinically Meaningful Subgroups in Nodal Marginal Zone Lymphoma.	NFKBIE
32947237	10.1016/j.tranon.2020.100855	2020	Identification of clinical molecular targets for childhood Burkitt lymphoma.	NFKBIE
29449436	10.3324/haematol.2017.182048	2018	Mixed-species RNAseq analysis of human lymphoma cells adhering to mouse stromal cells identifies a core gene set that is also differentially expressed in the lymph node microenvironment of mantle cell lymphoma and chronic lymphocytic leukemia patients.	NFKBIE
29857068	10.1016/j.jid.2018.04.038	2018	Genomic Analyses Identify Recurrent Alterations in Immune Evasion Genes in Diffuse Large B-Cell Lymphoma, Leg Type.	NFKBIE
29899297	10.3390/ijms19061758	2018	Molecular Mechanisms of Disease Progression in Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type during Ibrutinib Therapy.	NFKBIE
26647218	10.1158/1078-0432.CCR-15-2123	2016	Genetic Landscapes of Relapsed and Refractory Diffuse Large B-Cell Lymphomas.	NFKBIE
27489104	10.1074/jbc.M116.719302	2016	The Nuclear Protein IκBζ Forms a Transcriptionally Active Complex with Nuclear Factor-κB (NF-κB) p50 and the Lcn2 Promoter via the N- and C-terminal Ankyrin Repeat Motifs.	NFKBIE
27670424	10.1182/blood-2016-03-704528	2016	Frequent NFKBIE deletions are associated with poor outcome in primary mediastinal B-cell lymphoma.	NFKBIE
25987724	10.1084/jem.20142009	2015	Functional loss of IκBε leads to NF-κB deregulation in aggressive chronic lymphocytic leukemia.	NFKBIE
19573080	10.1111/j.1365-2141.2009.07790.x	2009	Common genetic variants in candidate genes and risk of familial lymphoid malignancies.	NFKBIE
19773279	10.1136/oem.2008.044024	2009	Association between genetic variants in VEGF, ERCC3 and occupational benzene haematotoxicity.	NFKBIE
16360644	10.1016/j.bcp.2005.11.013	2006	Inhibition of transcription factor NF-kappaB signaling proteins IKKbeta and p65 through specific cysteine residues by epoxyquinone A monomer: correlation with its anti-cancer cell growth activity.	NFKBIE
16464740		2005	Differential effects of tumor necrosis factor-alpha and CD40L on NF-kappa B inhibitory proteins I kappa B alpha, beta and epsilon and on the induction of the Jun amino-terminal kinase pathway in Ramos Burkitt lymphoma cells.	NFKBIE
14595753	10.1002/path.1454	2003	Inactivating I kappa B epsilon mutations in Hodgkin/Reed-Sternberg cells.	NFKBIE
10384125		1999	Constitutive nuclear translocation of NF-kappa B in B cells in the absence of I kappa B degradation.	NFKBIE
9223487	10.1128/JVI.71.8.5972-5981.1997	1997	VBP and RelA regulate avian leukosis virus long terminal repeat-enhanced transcription in B cells.	NFKBIE
