pmid	doi	year	title	Hugo_Symbol
34857887	10.1038/s41388-021-02126-4	2022	HMGN1 plays a significant role in CRLF2 driven Down Syndrome leukemia and provides a potential therapeutic target in this high-risk cohort.	P2RY8
35484080	10.1016/j.clml.2022.03.007	2022	Clinico-hematological and Outcome Profile of Pediatric B-other-ALL and BCR::ABL1-like pre-B-ALL: An Integrated Genomic Study From North India.	P2RY8
35537330	10.1016/j.cyto.2022.155896	2022	High occurrence of CRLF2 abnormalities in Mexican children with B-cell acute lymphoblastic leukemia.	P2RY8
35912172	10.3389/fonc.2022.896858	2022	Recurrent Novel <i>P2RY8/IGH</i> Translocations in B-Lymphoblastic Leukemia/Lymphoma.	P2RY8
36076986	10.3390/ijms23179587	2022	Characterization of Philadelphia-like Pre-B Acute Lymphoblastic Leukemia: Experiences in Mexican Pediatric Patients.	P2RY8
33615710	10.1111/ijlh.13419	2021	Effects of different aberrations in the CRLF2 gene on the biological characteristics and drug sensitivities of Nalm6 cells.	P2RY8
33707599	10.1038/s41598-021-85213-6	2021	Philadelphia chromosome-negative B-cell acute lymphoblastic leukaemia with kinase fusions in Taiwan.	P2RY8
33750258	10.1080/0284186X.2021.1900908	2021	Genomic landscape of B-other acute lymphoblastic leukemia in an adult retrospective cohort with a focus on <i>BCR-ABL1</i>-like subtype.	P2RY8
33781217	10.1186/s12885-020-07781-6	2021	Low incidence of ABL-class and JAK-STAT signaling pathway alterations in uniformly treated pediatric and adult B-cell acute lymphoblastic leukemia patients using MRD risk-directed approach - a population-based study.	P2RY8
33812392	10.19746/j.cnki.issn.1009-2137.2021.02.001	2021	[Clinical Features and Prognosis of Acute Lymphoblastic Leukemia Children with P2RY8-CRLF2 Gene Rearrangement].	P2RY8
33890726	10.1002/cjp2.211	2021	CRLF2 and IKZF1 abnormalities in Mexican children with acute lymphoblastic leukemia and recurrent gene fusions: exploring surrogate markers of signaling pathways.	P2RY8
34159401	10.1007/s00277-021-04574-0	2021	Hematological characteristics, cytogenetic features, and post-induction measurable residual disease in thymic stromal lymphopoietin receptor (TSLPR) overexpressed B-cell acute lymphoblastic leukemia in an Indian cohort.	P2RY8
34732618	10.11406/rinketsu.62.1465	2021	[Down syndrome and acute lymphoblastic leukemia].	P2RY8
33113607	10.3760/cma.j.issn.0253-2727.2020.09.008	2020	[Diagnosis of adult Philadelphia chromosome-like acute lymphoblastic leukemia by fluorescence in situ hybridization].	P2RY8
