pmid	doi	year	title	Hugo_Symbol
29263590	10.14202/vetworld.2017.1307-1313	2022	Immunocytochemical study of canine lymphomas and its correlation with exposure to tobacco smoke.	PAX5
29296913	10.1182/bloodadvances.2017009472	2022	Clinicopathologic consensus study of gray zone lymphoma with features intermediate between DLBCL and classical HL.	PAX5
33398683	10.1007/s12105-020-01276-3	2022	Combined Modality Management of Sinonasal Anaplastic Lymphoma Kinase Negative Anaplastic Large Cell Lymphoma in a Geriatric Patient-Report of a Rare Case.	PAX5
34049715	10.1016/j.pathol.2021.02.013	2022	Expression of BCL6 in paediatric B-cell acute lymphoblastic leukaemia and association with prognosis.	PAX5
34190415	10.1002/dc.24821	2022	ALK-negative anaplastic large cell lymphoma, null type with aberrant expression of PAX5 and CD138: A diagnostic pitfall.	PAX5
34282671	10.1177/03009858211030523	2022	Histopathological features and immunophenotyping of canine transmural gastrointestinal lymphoma using full-thickness biopsy samples.	PAX5
34310368	10.1097/PAS.0000000000001785	2022	Reactive Intralymphovascular Immunoblastic Proliferations Mimicking Aggressive Lymphomas.	PAX5
34371436	10.1016/j.leukres.2021.106683	2022	Proposal and clinical application of molecular genetic risk scoring system, MRplus, for BCR-ABL1 negative pediatric B-cell acute lymphoblastic leukemia- report from a single centre.	PAX5
34374890	10.1007/s12029-021-00662-6	2022	Primary ALK-Positive Large B Cell Lymphoma of Pancreas.	PAX5
34499743	10.1111/1556-4029.14879	2022	Sudden death in an adolescent due to undiagnosed classic Hodgkin lymphoma.	PAX5
34547766	10.1182/bloodadvances.2021004895	2022	Distinct clinical characteristics of DUX4- and PAX5-altered childhood B-lymphoblastic leukemia.	PAX5
34560683	10.1097/PAS.0000000000001813	2022	A Comprehensive Clinicopathologic and Molecular Study of 19 Primary Effusion Lymphomas in HIV-infected Patients.	PAX5
34591292	10.1007/s12185-021-03229-0	2022	Successful treatment of hepatosplenic T-cell lymphoma with fludarabine, high-dose cytarabine and subsequent unrelated umbilical cord blood transplantation.	PAX5
34657128	10.1038/s41375-021-01448-2	2022	Prognostic impact of chromosomal abnormalities and copy number alterations in adult B-cell precursor acute lymphoblastic leukaemia: a UKALL14 study.	PAX5
34707037	10.3960/jslrt.21025	2022	t(9;14)(p13;q32)/PAX5-IGH translocation as a secondary cytogenetic abnormality in diffuse large B-cell lymphoma.	PAX5
