pmid	doi	year	title	Hugo_Symbol
32431543	10.2147/CMAR.S242903	2022	Clinicopathological Characteristics and Mutational Profiling of Adult T-Cell Lymphoblastic Lymphoma in a Chinese Population.	PHF6
32821125	10.2147/OTT.S258365	2022	<i>SET-CAN</i> Fusion Gene in Acute Leukemia and Myeloid Neoplasms: Report of Three Cases and a Literature Review.	PHF6
34440292	10.3390/genes12081118	2022	T-Cell Acute Lymphoblastic Leukemia: Biomarkers and Their Clinical Usefulness.	PHF6
34465864	10.1038/s41375-021-01392-1	2022	PHF6 and JAK3 mutations cooperate to drive T-cell acute lymphoblastic leukemia progression.	PHF6
35253299	10.1002/gcc.23036	2022	CRLF2 overexpression defines an immature-like subgroup which is rescued through restoration of the PRC2 function in T-cell precursor acute lymphoblastic leukemia.	PHF6
35685993	10.21147/j.issn.1000-9604.2022.02.03	2022	Genomic landscape of T-cell lymphoblastic lymphoma.	PHF6
35734596	10.3389/fonc.2022.846573	2022	The Clinical Characteristics and Prognosis of AYA and Older Adult ETP-ALL/LBL: A Real-World Multicenter Study in China.	PHF6
36000950	10.1002/pbc.29926	2022	Diverse mutations and structural variations contribute to Notch signaling deregulation in paediatric T-cell lymphoblastic lymphoma.	PHF6
36008597	10.1007/s12015-022-10447-4	2022	The Role of PHF6 in Hematopoiesis and Hematologic Malignancies.	PHF6
33095873	10.1182/bloodadvances.2019001307	2021	Landscape of driver mutations and their clinical impacts in pediatric B-cell precursor acute lymphoblastic leukemia.	PHF6
33436855	10.1038/s41598-020-80613-6	2021	Targeted sequencing to identify genetic alterations and prognostic markers in pediatric T-cell acute lymphoblastic leukemia.	PHF6
33578108	10.1016/j.jbior.2021.100788	2021	Mutations that collaborate with IL-7Ra signaling pathways to drive ALL.	PHF6
33634864	10.1002/ijc.33527	2021	Deleterious point mutations in T-cell acute lymphoblastic leukemia: Mechanistic insights into leukemogenesis.	PHF6
30171027	10.3324/haematol.2017.186320	2020	Clinical and molecular characteristics of <i>MEF2D</i> fusion-positive B-cell precursor acute lymphoblastic leukemia in childhood, including a novel translocation resulting in <i>MEF2D-HNRNPH1</i> gene fusion.	PHF6
30567843	10.1158/2159-8290.CD-18-1005	2020	<i>Phf6</i> Loss Enhances HSC Self-Renewal Driving Tumor Initiation and Leukemia Stem Cell Activity in T-ALL.	PHF6
30810217	10.1111/bjh.15812	2020	Phenotype switch in acute lymphoblastic leukaemia associated with 3 years of persistent CAR T cell directed-CD19 selective pressure.	PHF6
31270080	10.1182/bloodadvances.2018028993	2020	Clinical and biological features of PTPN2-deleted adult and pediatric T-cell acute lymphoblastic leukemia.	PHF6
31992840	10.1038/s41375-019-0685-4	2020	Adult T-cell acute lymphoblastic leukemias with IL7R pathway mutations are slow-responders who do not benefit from allogeneic stem-cell transplantation.	PHF6
32164600	10.1186/s12885-020-6709-7	2020	Genetic mutational analysis of pediatric acute lymphoblastic leukemia from a single center in China using exon sequencing.	PHF6
33283700	10.19746/j.cnki.issn.1009-2137.2020.06.001	2020	[Gene Mutation in Acute Lymphoblastic Leukemia by DNA Sequencing].	PHF6
30117174	10.1002/ajh.25256	2019	Genomic and clinical characterization of B/T mixed phenotype acute leukemia reveals recurrent features and T-ALL like mutations.	PHF6
30209976	10.1080/15384101.2018.1522912	2019	PTPN14 regulates Roquin2 stability by tyrosine dephosphorylation.	PHF6
30280491	10.1002/pbc.27496	2019	Clinical and biological relevance of genetic alterations in pediatric T-cell acute lymphoblastic leukemia in Taiwan.	PHF6
30551478	10.1016/j.biopha.2018.11.083	2019	The depletion of PHF6 decreases the drug sensitivity of T-cell acute lymphoblastic leukemia to prednisolone.	PHF6
30635552	10.1038/s12276-018-0195-x	2019	CDKN2B downregulation and other genetic characteristics in T-acute lymphoblastic leukemia.	PHF6
27602765	10.18632/oncotarget.11796	2018	Genomic characterization of pediatric T-cell acute lymphoblastic leukemia reveals novel recurrent driver mutations.	PHF6
27874290	10.1080/10428194.2016.1260124	2018	Impact of clinical factors on outcome of leukemia patients with TLS-ERG fusion gene.	PHF6
28747286	10.4274/tjh.2017.0194	2018	Coexistence of EZH2, NOTCH1, IL7R, and PHF6 Mutations in Adult T-cell Acute Lymphoblastic Leukemia.	PHF6
30111389	10.7534/j.issn.1009-2137.2018.04.001	2018	[Study on Immunophenotypes and Gene of Acute Lymphoblastic Leukemia].	PHF6
27531766	10.7534/j.issn.1009-2137.2016.04.010	2017	[Mutation of IL-7R in Adult Patients with T-cell Acute Lymphoblastic Leukemia and Its Clinical Significance].	PHF6
28607179	10.1101/gad.295857.117	2017	PHF6 regulates phenotypic plasticity through chromatin organization within lineage-specific genes.	PHF6
