pmid	doi	year	title	Hugo_Symbol
33401995	10.1080/08820139.2020.1863982	2022	The First Iranian Cohort of Pediatric Patients with Activated Phosphoinositide 3-Kinase-δ (PI3Kδ) Syndrome (APDS).	PIK3CD
33782541	10.1038/s41401-021-00644-1	2022	SAF-248, a novel PI3Kδ-selective inhibitor, potently suppresses the growth of diffuse large B-cell lymphoma.	PIK3CD
34688842	10.1016/j.canlet.2021.10.022	2022	Repressing MYC by targeting BET synergizes with selective inhibition of PI3Kα against B cell lymphoma.	PIK3CD
34992612	10.3389/fimmu.2021.813261	2022	Case Report: First Occurrence of Plasmablastic Lymphoma in Activated Phosphoinositide 3-Kinase δ Syndrome.	PIK3CD
35021606	10.3324/haematol.2021.280003	2022	Immune pathway upregulation and lower genomic instability distinguish EBV-positive nodal T/NK-cell lymphoma from ENKTL and PTCL-NOS.	PIK3CD
35084470	10.1182/blood.2021011597	2022	PI3Kδ/γ inhibition promotes human CART cell epigenetic and metabolic reprogramming to enhance antitumor cytotoxicity.	PIK3CD
35247100	10.1007/s00277-022-04809-8	2022	Successful treatment for diffuse large B-cell lymphoma in a Japanese adolescent with PIK3CD germ-line mutation: stem cell transplantation after reduced-intensity conditioning.	PIK3CD
35687490	10.1182/bloodadvances.2021006654	2022	Genomic characterization of lymphomas in patients with inborn errors of immunity.	PIK3CD
35990641	10.3389/fimmu.2022.937872	2022	Genomic crossroads between non-Hodgkin's lymphoma and common variable immunodeficiency.	PIK3CD
31964785	10.1158/1078-0432.CCR-19-3061	2021	Efficacy and Safety of Duvelisib Following Disease Progression on Ofatumumab in Patients with Relapsed/Refractory CLL or SLL in the DUO Crossover Extension Study.	PIK3CD
32603749	10.1016/j.jid.2020.05.110	2021	Cutaneous T-Cell Lymphoma PDX Drug Screening Platform Identifies Cooperation between Inhibitions of PI3Kα/δ and HDAC.	PIK3CD
32784091	10.1016/j.bmcl.2020.127479	2021	Design, synthesis and structure-activity relationship study of piperazinone-containing thieno[3,2-d]pyrimidine derivatives as new PI3Kδ inhibitors.	PIK3CD
32992346	10.1055/a-1252-2476	2021	DBS Assay with LC-MS/MS for the Determination of Idelalisib, A Selective PI3K-δ Inhibitor in Mice Blood and Its Application to a Pharmacokinetic Study.	PIK3CD
33142237	10.1016/j.neo.2020.10.004	2021	SHC014748M, a novel selective inhi-bitor of PI3Kδ, demonstrates promising preclinical antitumor activity in B cell lymphomas and chronic lymphocytic leukemia.	PIK3CD
33297683	10.1021/acs.jmedchem.0c01264	2021	Discovery of a Potent and Selective PI3Kδ Inhibitor (<i>S</i>)-2,4-Diamino-6-((1-(7-fluoro-1-(4-fluorophenyl)-4-oxo-3-phenyl-4<i>H</i>-quinolizin-2-yl)ethyl)amino)pyrimidine-5-carbonitrile with Improved Pharmacokinetic Profile and Superior Efficacy in Hematological Cancer Models.	PIK3CD
33467550	10.3390/ijms22020819	2021	Transcriptional Regulation of PIK3CD and PIKFYVE in T-Cell Acute Lymphoblastic Leukemia by IKAROS and Protein Kinase CK2.	PIK3CD
33786583	10.1182/blood.2020010187	2021	Synergistic efficacy of the dual PI3K-δ/γ inhibitor duvelisib with the Bcl-2 inhibitor venetoclax in Richter syndrome PDX models.	PIK3CD
34173009	10.1007/s00262-021-02988-3	2021	The PI3Kδ inhibitor idelalisib impairs the function of human dendritic cells.	PIK3CD
34249806	10.3389/fped.2021.652405	2021	Activated PI3Kinase Delta Syndrome-A Multifaceted Disease.	PIK3CD
34352450	10.1016/j.jaip.2021.07.044	2021	Clinical Manifestations and Outcomes of Activated Phosphoinositide 3-Kinase δ Syndrome from the USIDNET Cohort.	PIK3CD
34447369	10.3389/fimmu.2021.671755	2021	Primary Immune Regulatory Disorders With an Autoimmune Lymphoproliferative Syndrome-Like Phenotype: Immunologic Evaluation, Early Diagnosis and Management.	PIK3CD
29336479	10.1002/jcp.26474	2020	Inhibition of glycolytic metabolism in glioblastoma cells by Pt3glc combinated with PI3K inhibitor via SIRT3-mediated mitochondrial and PI3K/Akt-MAPK pathway.	PIK3CD
30619796	10.3389/fped.2018.00402	2020	Evaluation of Lymphoproliferative Disease and Increased Risk of Lymphoma in Activated Phosphoinositide 3 Kinase Delta Syndrome: A Case Report With Discussion.	PIK3CD
30779244	10.1002/gcc.22743	2020	A recurrent clonally distinct Burkitt lymphoma case highlights genetic key events contributing to oncogenesis.	PIK3CD
30819916	10.3324/haematol.2018.212811	2020	A B-cell receptor-related gene signature predicts response to ibrutinib treatment in mantle cell lymphoma cell lines.	PIK3CD
31033788	10.1097/MPH.0000000000001487	2020	A Rare Case of Activated Phosphoinositide 3-Kinase Delta Syndrome (APDS) Presenting With Hemophagocytosis Complicated With Hodgkin Lymphoma.	PIK3CD
31355927	10.1111/bjh.16118	2020	Single and combined BTK and PI3Kδ inhibition with acalabrutinib and ACP-319 in pre-clinical models of aggressive lymphomas.	PIK3CD
