pmid	doi	year	title	Hugo_Symbol
33401995	10.1080/08820139.2020.1863982	2022	The First Iranian Cohort of Pediatric Patients with Activated Phosphoinositide 3-Kinase-δ (PI3Kδ) Syndrome (APDS).	PIK3R1
34382383	10.3324/haematol.2020.263251	2022	Whole-genome profiling of primary cutaneous anaplastic large cell lymphoma.	PIK3R1
34799485	10.1097/PAS.0000000000001834	2022	Resistance of B-Cell Lymphomas to CAR T-Cell Therapy Is Associated With Genomic Tumor Changes Which Can Result in Transdifferentiation.	PIK3R1
34831026	10.3390/cells10112803	2022	Fluctuations in AKT and PTEN Activity Are Linked by the E3 Ubiquitin Ligase cCBL.	PIK3R1
35990641	10.3389/fimmu.2022.937872	2022	Genomic crossroads between non-Hodgkin's lymphoma and common variable immunodeficiency.	PIK3R1
33512474	10.1182/blood.2020006528	2021	CBL mutations drive PI3K/AKT signaling via increased interaction with LYN and PIK3R1.	PIK3R1
33757561	10.1186/s13104-021-05521-y	2021	HTLV-1-associated myelopathy/tropical spastic paraparesis (HAM/TSP) versus adult T-cell leukemia/lymphoma (ATLL).	PIK3R1
34249806	10.3389/fped.2021.652405	2021	Activated PI3Kinase Delta Syndrome-A Multifaceted Disease.	PIK3R1
34307262	10.3389/fped.2021.702546	2021	Case Report: Hodgkin Lymphoma and Refractory Systemic Lupus Erythematosus Unveil Activated Phosphoinositide 3-Kinase-δ Syndrome 2 in an Adult Patient.	PIK3R1
34352450	10.1016/j.jaip.2021.07.044	2021	Clinical Manifestations and Outcomes of Activated Phosphoinositide 3-Kinase δ Syndrome from the USIDNET Cohort.	PIK3R1
34447369	10.3389/fimmu.2021.671755	2021	Primary Immune Regulatory Disorders With an Autoimmune Lymphoproliferative Syndrome-Like Phenotype: Immunologic Evaluation, Early Diagnosis and Management.	PIK3R1
34604146	10.3389/fped.2021.757229	2021	Corrigendum: Case Report: Hodgkin Lymphoma and Refractory Systemic Lupus Erythematosus Unveil Activated Phosphoinositide 3-Kinase-δ Syndrome 2 in an Adult Patient.	PIK3R1
31918102	10.1016/j.chemosphere.2019.125794	2020	Antagonistic effect of selenium on lead-induced neutrophil apoptosis in chickens via miR-16-5p targeting of PiK3R1 and IGF1R.	PIK3R1
31942637	10.1182/blood.2019002072	2020	Increased activation of PI3 kinase-δ predisposes to B-cell lymphoma.	PIK3R1
32936972	10.1002/ajh.25998	2020	A novel germline variant in PIK3R1 results in SHORT syndrome associated with TAL/LMO T-cell acute lymphoblastic leukemia.	PIK3R1
28895406	10.4149/neo_2017_603	2019	Identification of potential key genes associated with diffuse large B-cell lymphoma based on microarray gene expression profiling.	PIK3R1
29643030		2019	[Screening and verification of key genes in T-cell acute lymphoblastic leukemia].	PIK3R1
29857068	10.1016/j.jid.2018.04.038	2019	Genomic Analyses Identify Recurrent Alterations in Immune Evasion Genes in Diffuse Large B-Cell Lymphoma, Leg Type.	PIK3R1
28561224	10.1055/s-0043-104218	2018	Variant PIK3R1 Hypermorphic Mutation and Clinical Phenotypes in a Family with Short Statures, Mild Immunodeficiency and Lymphoma.	PIK3R1
27221134	10.1016/j.jaci.2016.03.022	2017	Clinical and immunologic phenotype associated with activated phosphoinositide 3-kinase δ syndrome 2: A cohort study.	PIK3R1
28671688	10.1038/ng.3909	2017	The genomic landscape of pediatric and young adult T-lineage acute lymphoblastic leukemia.	PIK3R1
28694326	10.1182/blood-2017-02-768234	2017	Genomic analysis of 220 CTCLs identifies a novel recurrent gain-of-function alteration in RLTPR (p.Q575E).	PIK3R1
28978570	10.1182/blood-2017-06-792184	2017	Enhancer profiling identifies critical cancer genes and characterizes cell identity in adult T-cell leukemia.	PIK3R1
25951043	10.1080/15548627.2015.1017192	2016	The role of STAT3 in autophagy.	PIK3R1
26210919	10.1016/j.plefa.2015.06.003	2016	Phosphorylation of serine 523 on 5-lipoxygenase in human B lymphocytes.	PIK3R1
26251039	10.1111/cas.12766	2016	Potential roles of microRNA-29a in the molecular pathophysiology of T-cell acute lymphoblastic leukemia.	PIK3R1
24659799	10.1242/jcs.141689	2015	Rab5 is required in metastatic cancer cells for Caveolin-1-enhanced Rac1 activation, migration and invasion.	PIK3R1
25227228	10.1534/g3.114.013482	2015	The genome of the chicken DT40 bursal lymphoma cell line.	PIK3R1
25956014	10.1016/j.jaci.2015.02.037	2015	Advances in basic and clinical immunology in 2014.	PIK3R1
24418330	10.1186/1479-5876-12-10	2014	Frequent copy number variations of PI3K/AKT pathway and aberrant protein expressions of PI3K subunits are associated with inferior survival in diffuse large B cell lymphoma.	PIK3R1
23143597	10.1038/ng.2468	2013	The genetic landscape of mutations in Burkitt lymphoma.	PIK3R1
23215766	10.3109/08830185.2012.737073	2013	HIV-1 Nef in macrophage-mediated disease pathogenesis.	PIK3R1
23292937	10.1073/pnas.1205299110	2013	Genetic heterogeneity of diffuse large B-cell lymphoma.	PIK3R1
23341541	10.1182/blood-2012-10-460832	2013	P110α-mediated constitutive PI3K signaling limits the efficacy of p110δ-selective inhibition in mantle cell lymphoma, particularly with multiple relapse.	PIK3R1
23603894	10.1254/jphs.12149fp	2013	Inhibition of the PI3K/AKT-NF-κB pathway with curcumin enhanced radiation-induced apoptosis in human Burkitt's lymphoma.	PIK3R1
22609116	10.1016/j.ajpath.2012.03.013	2012	Quantitative proteomics reveals that miR-155 regulates the PI3K-AKT pathway in diffuse large B-cell lymphoma.	PIK3R1
21077741	10.3109/10428194.2010.530360	2011	Posttranscriptional regulation of the p85α adapter subunit of phosphatidylinositol 3-kinase in human leukemia cells.	PIK3R1
21266193	10.1016/j.ygeno.2011.01.005	2011	Differential expression of immune-associated cancer regulatory genes in low- versus high-dose-rate irradiated AKR/J mice.	PIK3R1
19406940	10.1210/en.2009-0212	2009	Computational and functional analysis of growth hormone (GH)-regulated genes identifies the transcriptional repressor B-cell lymphoma 6 (Bc16) as a participant in GH-regulated transcription.	PIK3R1
18704194	10.1172/JCI33337	2008	Ablation of PI3K blocks BCR-ABL leukemogenesis in mice, and a dual PI3K/mTOR inhibitor prevents expansion of human BCR-ABL+ leukemia cells.	PIK3R1
16289966	10.1016/j.cellsig.2005.10.001	2006	Activation of Epstein-Barr virus/C3d receptor (gp140, CR2, CD21) on human B lymphoma cell surface triggers Cbl tyrosine phosphorylation, its association with p85 subunit, Crk-L and Syk and its dissociation with Vav.	PIK3R1
14530346	10.4049/jimmunol.171.8.4227	2004	Dual phosphorylation of phosphoinositide 3-kinase adaptor Grb2-associated binder 2 is responsible for superoxide formation synergistically stimulated by Fc gamma and formyl-methionyl-leucyl-phenylalanine receptors in differentiated THP-1 cells.	PIK3R1
14968112	10.1038/sj.onc.1207398	2004	Identification of NPM-ALK interacting proteins by tandem mass spectrometry.	PIK3R1
11986952	10.1038/sj.leu.2402484	2002	Expression of a mutated form of the p85alpha regulatory subunit of phosphatidylinositol 3-kinase in a Hodgkin's lymphoma-derived cell line (CO).	PIK3R1
11157475	10.1182/blood.v97.3.608	2001	SHP2 and cbl participate in alpha-chemokine receptor CXCR4-mediated signaling pathways.	PIK3R1
9233773	10.1038/sj.onc.1201163	1997	Cloning and characterization of APS, an adaptor molecule containing PH and SH2 domains that is tyrosine phosphorylated upon B-cell receptor stimulation.	PIK3R1
9259313	10.1210/mend.11.9.9980	1997	Phosphorylation of cbl after stimulation of Nb2 cells with prolactin and its association with phosphatidylinositol 3-kinase.	PIK3R1
8766817	10.1016/0014-5793(96)00552-2	1996	Sam68 from an immortalised B-cell line associates with a subset of SH3 domains.	PIK3R1
8896416		1996	The protein product of the proto-oncogene c-cbl forms a complex with phosphatidylinositol 3-kinase p85 and CD19 in anti-IgM-stimulated human B-lymphoma cells.	PIK3R1
8294442		1994	Identification of two SH3-binding motifs in the regulatory subunit of phosphatidylinositol 3-kinase.	PIK3R1
