pmid	doi	year	title	Hugo_Symbol
35053500	10.3390/cancers14020338	2022	High ETV6 Levels Support Aggressive B Lymphoma Cell Survival and Predict Poor Outcome in Diffuse Large B-Cell Lymphoma Patients.	PIM2
34625423	10.1158/0008-5472.CAN-21-1023	2021	Inhibition of PIM Kinases in DLBCL Targets MYC Transcriptional Program and Augments the Efficacy of Anti-CD20 Antibodies.	PIM2
30658101	10.1016/j.lfs.2019.01.022	2019	PIM inhibitor SMI-4a induces cell apoptosis in B-cell acute lymphocytic leukemia cells via the HO-1-mediated JAK2/STAT3 pathway.	PIM2
30340823	10.1016/j.bbrc.2018.09.062	2018	Proviral insertion in murine lymphomas 2 promotes stomach cancer progression by regulating apoptosis via reactive oxygen species-triggered endoplasmic reticulum stress.	PIM2
30370255	10.15430/JCP.2018.23.3.109	2018	PIM Kinase as an Executional Target in Cancer.	PIM2
28698206	10.1182/blood-2017-01-760702	2017	Expression of PIM kinases in Reed-Sternberg cells fosters immune privilege and tumor cell survival in Hodgkin lymphoma.	PIM2
28729093	10.1016/j.yexcr.2017.07.019	2017	PIM kinases 1, 2 and 3 in intracellular LIF signaling, proliferation and apoptosis in trophoblastic cells.	PIM2
26764044	10.3109/10428194.2015.1124991	2016	Elevated PIM2 gene expression is associated with poor survival of patients with acute myeloid leukemia.	PIM2
26824321	10.18632/oncotarget.7036	2016	Differential regulation of mTOR signaling determines sensitivity to AKT inhibition in diffuse large B cell lymphoma.	PIM2
26340096	10.1371/journal.pone.0137210	2015	Ribosomal Biogenesis and Translational Flux Inhibition by the Selective Inhibitor of Nuclear Export (SINE) XPO1 Antagonist KPT-185.	PIM2
26643319	10.1186/s12943-015-0477-z	2015	Loss of PIM2 enhances the anti-proliferative effect of the pan-PIM kinase inhibitor AZD1208 in non-Hodgkin lymphomas.	PIM2
24131033	10.1517/13543776.2014.848196	2014	Small molecule inhibitors of PIM1 kinase: July 2009 to February 2013 patent update.	PIM2
24474669	10.1158/1078-0432.CCR-13-2062	2014	Pan-PIM kinase inhibition provides a novel therapy for treating hematologic cancers.	PIM2
25207815	10.1371/journal.pone.0106788	2014	Gene expression profiling identifies IRF4-associated molecular signatures in hematological malignancies.	PIM2
23135987	10.1002/stem.1277	2013	TEL (ETV6)-AML1 (RUNX1) initiates self-renewing fetal pro-B cells in association with a transcriptional program shared with embryonic stem cells in mice.	PIM2
23360755	10.1186/1756-8722-6-12	2013	Abnormal hematopoietic phenotypes in Pim kinase triple knockout mice.	PIM2
23752607	10.5604/17322693.1052449	2013	Expression of PIM-2 and NF-κB genes is increased in patients with acute myeloid leukemia (AML) and acute lymphoblastic leukemia (ALL) and is associated with complete remission rate and overall survival.	PIM2
24009772	10.1371/journal.pone.0074420	2013	Metformin induces apoptosis through AMPK-dependent inhibition of UPR signaling in ALL lymphoblasts.	PIM2
24900629	10.1021/ml400307j	2013	Structure Guided Optimization, in Vitro Activity, and in Vivo Activity of Pan-PIM Kinase Inhibitors.	PIM2
