pmid	doi	year	title	Hugo_Symbol
34382383	10.3324/haematol.2020.263251	2022	Whole-genome profiling of primary cutaneous anaplastic large cell lymphoma.	PRDM1
34844236	10.1159/000520070	2022	Dysregulated MDR1 by PRDM1/Blimp1 Is Involved in the Doxorubicin Resistance of Non-Germinal Center B-Cell-Like Diffuse Large B-Cell Lymphoma.	PRDM1
34980830	10.1097/PAS.0000000000001859	2022	Clinicopathologic and Genetic Features of Primary T-cell Lymphomas of the Central Nervous System: An Analysis of 11 Cases Using Targeted Gene Sequencing.	PRDM1
35429891	10.1016/j.prp.2022.153860	2022	The genetic deletion and protein expression of PRDM1 and its clinical implications in diffuse large B cell lymphoma: A retrospective cohort study in China.	PRDM1
35444638	10.3389/fimmu.2022.871096	2022	Labial Gland Mesenchymal Stem Cell Derived Exosomes-Mediated miRNA-125b Attenuates Experimental Sjogren's Syndrome by Targeting PRDM1 and Suppressing Plasma Cells.	PRDM1
35697790	10.1038/s41375-022-01623-z	2022	Genomic profiling identifies distinct genetic subtypes in extra-nodal natural killer/T-cell lymphoma.	PRDM1
35759728	10.1182/blood.2022015926	2022	Aberrant expansion of spontaneous splenic germinal centers induced by hallmark genetic lesions of aggressive lymphoma.	PRDM1
35794478	10.1038/s41586-022-04906-8	2022	Super-enhancer hypermutation alters oncogene expression in B cell lymphoma.	PRDM1
32273478	10.3324/haematol.2020.251579	2021	Genetic lesions in MYC and STAT3 drive oncogenic transcription factor overexpression in plasmablastic lymphoma.	PRDM1
32732362	10.3324/haematol.2020.254276	2021	Genetic manipulation of primary human natural killer cells to investigate the functional and oncogenic roles of PRDM1.	PRDM1
33199235	10.1016/j.intimp.2020.107137	2021	Agrimophol suppresses RANKL-mediated osteoclastogenesis through Blimp1-Bcl6 axis and prevents inflammatory bone loss in mice.	PRDM1
33426772	10.1111/cas.14806	2021	Genetic profile of adult T-cell leukemia/lymphoma in Okinawa: Association with prognosis, ethnicity, and HTLV-1 strains.	PRDM1
33569430	10.21037/atm-20-7574	2021	Molecular profiling of Chinese systemic anaplastic large cell lymphoma patients: novel evidence of genetic heterogeneity.	PRDM1
33629212	10.1007/s12032-021-01470-5	2021	Identification BCL6 and miR-30 family associating with Ibrutinib resistance in activated B-cell-like diffuse large B-cell lymphoma.	PRDM1
34236648	10.1007/978-1-0716-1669-7_20	2021	Generation and Surgical Analysis of Genetic Mouse Models to Study NF-κB-Driven Pathogenesis of Diffuse Large B Cell Lymphoma.	PRDM1
34484219	10.3389/fimmu.2021.716240	2021	Coupled Antigen and BLIMP1 Asymmetric Division With a Large Segregation Between Daughter Cells Recapitulates the Temporal Transition From Memory B Cells to Plasma Cells and a DZ-to-LZ Ratio in the Germinal Center.	PRDM1
35008340	10.3390/cancers14010176	2021	Recent Advances in the Genetic of MALT Lymphomas.	PRDM1
31725418	10.1097/PAP.0000000000000253	2020	Lymphoid Neoplasms With Plasmablastic Differentiation: A Comprehensive Review and Diagnostic Approaches.	PRDM1
