pmid	doi	year	title	Hugo_Symbol
35411950	10.1002/cbf.3702	2022	USP7 sustains an active epigenetic program via stabilizing MLL2 and WDR5 in diffuse large B-cell lymphoma.	PRKCB
32779615	10.3960/jslrt.20019	2021	Clinical application of genomic aberrations in adult T-cell leukemia/lymphoma.	PRKCB
33098696	10.1111/ejh.13540	2021	RLTPR Q575E: A novel recurrent gain-of-function mutation in patients with adult T-cell leukemia/lymphoma.	PRKCB
33241658	10.1111/jcmm.16117	2021	Anti-coronavirus disease 2019 (COVID-19) targets and mechanisms of puerarin.	PRKCB
33426772	10.1111/cas.14806	2021	Genetic profile of adult T-cell leukemia/lymphoma in Okinawa: Association with prognosis, ethnicity, and HTLV-1 strains.	PRKCB
31757376	10.1016/j.jtho.2019.07.021	2020	Coexistence of a Novel PRKCB-ALK, EML4-ALK Double-Fusion in a Lung Adenocarcinoma Patient and Response to Crizotinib.	PRKCB
31883669	10.1016/j.pathol.2019.09.014	2020	The clinicopathological and genetic features of ovarian diffuse large B-cell lymphoma.	PRKCB
31961925	10.1182/blood.2019001815	2020	Genomic landscape of young ATLL patients identifies frequent targetable CD28 fusions.	PRKCB
29084771	10.1182/blood-2017-01-761874	2019	Prognostic relevance of integrated genetic profiling in adult T-cell leukemia/lymphoma.	PRKCB
30097855	10.1007/s10689-018-0099-x	2019	Candidate susceptibility variants in angioimmunoblastic T-cell lymphoma.	PRKCB
31035338	10.3390/ijms20092089	2019	Marek's Disease Virus Regulates the Ubiquitylome of Chicken CD4<sup>+</sup> T Cells to Promote Tumorigenesis.	PRKCB
27835906	10.18632/oncotarget.13239	2018	Whole-exome and transcriptome sequencing of refractory diffuse large B-cell lymphoma.	PRKCB
28246354	10.1042/BSR20160445	2018	Protein kinase C β inhibits autophagy and sensitizes cervical cancer Hela cells to cisplatin.	PRKCB
28115366	10.1182/blood-2016-09-692574	2017	Adult T-cell leukemia: molecular basis for clonal expansion and transformation of HTLV-1-infected T cells.	PRKCB
28369050	10.1038/ni.3716	2017	Antagonism of B cell enhancer networks by STAT5 drives leukemia and poor patient survival.	PRKCB
28627735	10.1111/cas.13303	2017	Genetic alterations in adult T-cell leukemia/lymphoma.	PRKCB
28694326	10.1182/blood-2017-02-768234	2017	Genomic analysis of 220 CTCLs identifies a novel recurrent gain-of-function alteration in RLTPR (p.Q575E).	PRKCB
25693686	10.1093/abbs/gmv003	2016	Effects of azidothymidine on protein kinase C activity and expression in erythroleukemic cell K562 and acute lymphoblastic leukemia cell HSB-2.	PRKCB
26437031	10.1038/ng.3415	2016	Integrated molecular analysis of adult T cell leukemia/lymphoma.	PRKCB
26462016	10.18632/oncotarget.5462	2016	Expression and activity of eIF6 trigger malignant pleural mesothelioma growth in vivo.	PRKCB
27169444	10.11406/rinketsu.57.417	2016	[Genetic landscape of adult T-cell leukemia/lymphoma].	PRKCB
25502755	10.1038/ncomms6719	2015	An integrated epigenomic analysis for type 2 diabetes susceptibility loci in monozygotic twins.	PRKCB
25548371	10.1093/jmcb/mju050	2015	Protein kinase C-δ and -β coordinate flow-induced directionality and deformation of migratory human blood T-lymphocytes.	PRKCB
26121314	10.1038/labinvest.2015.83	2015	Gene fusion detection in formalin-fixed paraffin-embedded benign fibrous histiocytomas using fluorescence in situ hybridization and RNA sequencing.	PRKCB
21997316	10.2310/JIM.0b013e318237eb55	2013	Protein kinase C-beta inhibition induces apoptosis and inhibits cell cycle progression in acquired immunodeficiency syndrome-related non-hodgkin lymphoma cells.	PRKCB
23328482	10.1016/j.ccr.2012.12.003	2013	Protein kinase c-β-dependent activation of NF-κB in stromal cells is indispensable for the survival of chronic lymphocytic leukemia B cells in vivo.	PRKCB
23861246	10.1182/blood-2013-01-478156	2013	Mer receptor tyrosine kinase is a therapeutic target in pre-B-cell acute lymphoblastic leukemia.	PRKCB
20439192	10.3816/CLC.2010.n.021	2010	Protein kinase C-beta gene variants, pathway activation, and enzastaurin activity in lung cancer.	PRKCB
20846475		2010	Specific inhibition of protein kinase Cbeta expression by antisense RNA affects the activation of Jurkat T lymphoma cells.	PRKCB
17926183	10.1080/10428190701636443	2008	Protein expression and cellular localization in two prognostic subgroups of diffuse large B-cell lymphoma: higher expression of ZAP70 and PKC-beta II in the non-germinal center group and poor survival in patients deficient in nuclear PTEN.	PRKCB
15090600	10.1242/jcs.00955	2005	Leukocyte-specific protein 1 targets the ERK/MAP kinase scaffold protein KSR and MEK1 and ERK2 to the actin cytoskeleton.	PRKCB
14699138	10.1074/jbc.M306672200	2004	Ki-1/57 interacts with RACK1 and is a substrate for the phosphorylation by phorbol 12-myristate 13-acetate-activated protein kinase C.	PRKCB
12730099	10.1182/blood-2002-11-3621	2003	Integration of DAG signaling systems mediated by PKC-dependent phosphorylation of RasGRP3.	PRKCB
12118249	10.1038/ni823	2002	PKC-beta controls I kappa B kinase lipid raft recruitment and activation in response to BCR signaling.	PRKCB
10641798	10.1016/s1357-2725(99)00097-7	2000	HIV-1 reverse transcriptase is phosphorylated in vitro and in a cellular system.	PRKCB
10212259	10.1074/jbc.274.18.12753	1999	Ca2+/calmodulin-dependent protein kinase II regulates Tiam1 by reversible protein phosphorylation.	PRKCB
